feature	Peptoniphilaceae	Oscillospiraceae	Lachnospiraceae	Campylobacteraceae	Phyllobacteriaceae	Pseudomonadaceae	Peptostreptococcaceae	Streptococcaceae	Clostridiaceae	Veillonellaceae	Enterobacteriaceae	Lactobacillaceae	Eubacteriales_unclassified_order	Anaerovoracaceae	Lysobacteraceae	Bacteroidaceae	Propionibacteriaceae	Moraxellaceae	Rhizobiaceae	Staphylococcaceae	Oxalobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Enterococcaceae	Pasteurellaceae	Planococcaceae	Corynebacteriaceae	Bacillaceae	Brucellaceae	Burkholderiaceae	Gemellaceae	Fusobacteriaceae	Tannerellaceae	Carnobacteriaceae	Prevotellaceae	Porphyromonadaceae	Sphaerotilaceae	Atopobiaceae	Yersiniaceae	Sphingomonadaceae	Aerococcaceae	Natronincolaceae	Erwiniaceae	Acidaminococcaceae	Pectobacteriaceae	Bruguierivoracaceae	Vibrionaceae	Actinomycetaceae	Microbacteriaceae	Morganellaceae	Methylobacteriaceae	Hafniaceae	Methylocystaceae	Comamonadaceae	Burkholderiales_unclassified_order	Selenomonadaceae	Aeromonadaceae	Filifactoraceae	Tissierellaceae	Neisseriaceae	Rhodocyclaceae	Flavobacteriaceae	Listeriaceae	Sterolibacteriaceae	Devosiaceae	Chromobacteriaceae	Weeksellaceae	Alcaligenaceae	Acetobacteraceae	Sphingosinicellaceae	Hyphomicrobiaceae	Micrococcaceae	Caulobacteraceae	Nitrobacteraceae	Nautiliaceae	Zoogloeaceae	Boseaceae	Hyphomicrobiales_unclassified_order	Stappiaceae	Erythrobacteraceae	Gallionellaceae	Nostocaceae	Beijerinckiaceae	Xanthobacteraceae	Blastochloridaceae	Paracoccaceae	Stellaceae	Roseobacteraceae	Azospirillaceae	Betaproteobacteria_unclassified_class	Synechococcaceae	Oscillatoriaceae	Zymomonadaceae	Rhodospirillaceae
2021_11_16_negKO1_16S_PMAPS	0.353333333333333	0.0590229885057471	0.0816091954022989	0.0118965517241379	0.0147126436781609	0.0014367816091954	0.0470689655172414	0.0723563218390805	0.012183908045977	0.0796551724137931	0.102298850574713	0.00781609195402299	0.0082183908045977	0.0210919540229885	0.000229885057471264	0.00603448275862069	0.00310344827586207	0.00126436781609195	0.000862068965517241	0.000172413793103448	0.000574712643678161	0.0028735632183908	0.00752873563218391	0.0357471264367816	0	5.74712643678161e-05	5.74712643678161e-05	5.74712643678161e-05	0.00137931034482759	0.0109770114942529	0	0.000114942528735632	0.00264367816091954	0.0119540229885057	5.74712643678161e-05	0.00172413793103448	0.000574712643678161	0.00028735632183908	0.00166666666666667	0.005	0.000172413793103448	0.000229885057471264	0.0147126436781609	0	0	5.74712643678161e-05	0.000229885057471264	0	0	0.00155172413793103	0.000114942528735632	0	0.00264367816091954	0.00264367816091954	0.00281609195402299	0	0	0.000114942528735632	0.00362068965517241	0.000114942528735632	0.000689655172413793	5.74712643678161e-05	0	0	0	0	0.00189655172413793	0	5.74712643678161e-05	0	0	0.000574712643678161	0	0	0	0	0	5.74712643678161e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_11_16_negKO3_16S_PMAPS	0.016393733163193	5.90765159033981e-06	0.00392858830757597	0.0075086251713219	0.000632118720166359	0.000118153031806796	0.00472021362068151	0.402139751406021	3.54459095420388e-05	0.292682782740205	0.00789853017628432	0.010031192400397	5.90765159033981e-06	5.90765159033981e-06	0.000448981520865825	0.000242213715203932	1.18153031806796e-05	0	1.18153031806796e-05	0.000425350914504466	0.000413535611323787	0	0.0247885060730658	0.00740819509428612	0	0	0.000212675457252233	1.18153031806796e-05	0.000183137199300534	0.0370468831230209	0.00137057516895884	0.000395812656552767	0.0102615908124202	0.0149581738267404	0.000661656978118058	0.000431258566094806	0.000100430077035777	0.000254029018384612	0.000980670163996408	0.127995179356302	4.72612127227185e-05	5.31688643130583e-05	0.000100430077035777	4.72612127227185e-05	5.90765159033981e-06	1.77229547710194e-05	0.00114608440852592	0	1.18153031806796e-05	2.9538257951699e-05	1.77229547710194e-05	0	0.000856609480599272	0.000561226901082282	0.0109646013516707	5.90765159033981e-06	0.000437166217685146	5.90765159033981e-06	0.00108110024103218	0.000242213715203932	0.00942270428659199	2.36306063613592e-05	0	2.9538257951699e-05	0	5.31688643130583e-05	5.90765159033981e-06	5.90765159033981e-06	1.18153031806796e-05	0	2.36306063613592e-05	0	1.18153031806796e-05	0	0	0	0	0	5.90765159033981e-06	0	0	0	3.54459095420388e-05	0	5.90765159033981e-06	5.90765159033981e-06	5.90765159033981e-06	0	0	0	0	0	0
2021_11_16_negKO2_16S_PMAPS	0.107449091516047	0.0463875244408412	0.163331584720301	0.000462587629357623	0.0326625017883542	4.76894463255282e-06	0.0425342171777386	0.0466068958939387	0.00645238208784396	0.422046831036292	0.032185607325099	0.00843626305498593	0.00522676331727789	0.00557489627545424	0	0.0012733082168916	0.00968095760408222	0.000972864705040775	0.000815489532166532	0.033635366493395	0.00329057179646144	0.00128284610615671	8.10720587533979e-05	0.000100147837283609	1.43068338976584e-05	0.000267060899422958	4.29205016929753e-05	0.000181219896037007	0.00148791072535648	0.00208879774905813	0.00094901998187801	0.00345748485860079	0.000400591349134437	0.00184081262816539	0.000252754065525299	4.76894463255282e-06	0	0.00138776288807287	0.00426343650150222	4.76894463255282e-05	9.53788926510563e-06	7.63031141208451e-05	0.0044065048404788	3.33826124278697e-05	9.53788926510563e-06	0	0.00119700510277076	0	2.38447231627641e-05	4.76894463255282e-06	5.2458390958081e-05	0	0.0011826982688731	5.72273355906338e-05	0.000534121798845915	0.0027993704993085	6.67652248557394e-05	5.2458390958081e-05	2.38447231627641e-05	0.00021937145309743	0	0.00103486098526396	0.000138299394344032	1.90757785302113e-05	0	0	0	0	4.29205016929753e-05	0	0	4.76894463255282e-06	4.76894463255282e-06	1.43068338976584e-05	0.000400591349134437	0	0	3.81515570604225e-05	4.76894463255282e-06	9.53788926510563e-06	0.000157375172874243	0	9.53788926510563e-06	4.76894463255282e-06	5.2458390958081e-05	1.43068338976584e-05	0	0	2.86136677953169e-05	9.06099480185035e-05	0	0	0
2022_04_20_neg_ctrl3_16S_PMAPS	0.00985354660187622	0	0	0	0.00148478099480327	0.00627657420530472	0	0.202942565971519	0	0.066410204494837	0.0478504420597962	0.0110683674158062	6.74900452183303e-05	0	0	0	0.0456232705675913	0.0168725113045826	6.74900452183303e-05	6.74900452183303e-05	0.000134980090436661	0	0.0060066140244314	0	0.0215293244246474	0	0.0185597624350408	6.74900452183303e-05	0.314098670446109	0.0413039076736181	0	0	0.00398191266788149	0.000809880542619964	0	0	0	6.74900452183303e-05	0.135992441114936	0.00202470135654991	0	0.000134980090436661	0	0	6.74900452183303e-05	0	0.000202470135654991	0	0	0	0.000134980090436661	0	0	0	0.000809880542619964	0.000472430316528312	0	0	0.0392117162718499	0	0	0	0	0	0	0	0.000202470135654991	0	0.00236215158264156	0	0.00263211176351488	0	0.000134980090436661	0	0	0	0	0	0.000404940271309982	0	0	0	0	0	0	0	0	0	0	0	0	6.74900452183303e-05	0
2022_04_20_neg_ctrl2_16S_PMAPS	0.0844522429050961	0.00587427525175465	0.000534025022886787	0	0.0574458346048215	0	0.0337198657308514	0.0240311260299054	0	0.00938358254501068	0	0	0	0	0	0.00762892889838267	0	0	0.00022886786695148	0	0.0034330180042722	0	0	0	0.00022886786695148	0	0.00892584681110772	0.00068660360085444	0	0	0.000305157155935307	0	7.62892889838267e-05	0	0	0	0	0	0.655553860238023	0	0	0	0	0	0	0	0	0	7.62892889838267e-05	0	0	0	0	0	0	0	0	0	0.0454684162343607	0	0.0412725053402502	0	0	0	0	0.00877326823314007	0	0	0.0100701861458651	0	0	0	0	0	0	0	0	0.00022886786695148	0.000839182178822093	0	0.000152578577967653	0	0	0	0	0	0	0	0	0	0	0.000610314311870613	0
2022_04_20_neg_ctrl1_16S_PMAPS	0.360724068119567	0.012831963796594	0.0499583184470644	0.0277777777777778	0.000267952840300107	0.000625223294033583	0.139246159342622	0.0226271287364535	0.00104203882338931	0.0604680242943909	0.113373823984756	0.00205430510896749	0.00276884601643444	0.0142908181493391	0.0018161248064785	0.000893176134333691	0	0	0	0.000565678218411337	0.00467428843634631	0.00360247707514589	0.000863403596522568	0.00315588900797904	0	0	0	0	0.0751458854352745	0	0.000535905680600214	0.0022031677980231	0.000387042991544599	0.00851494581398118	0.000833631058711445	0.000803858520900322	0.000565678218411337	0.000446588067166845	0.0590091699416458	0.00110158389901155	0.000387042991544599	0.000357270453733476	0.00214362272240086	8.93176134333691e-05	0.000148862689055615	2.9772537811123e-05	2.9772537811123e-05	0	0.000119090151244492	0.000803858520900322	0.00059545075622246	0	0.000803858520900322	5.9545075622246e-05	0	2.9772537811123e-05	0.000148862689055615	0.000178635226866738	0	0	0	0	2.9772537811123e-05	0	2.9772537811123e-05	0	0.000148862689055615	0.000119090151244492	0.00101226628557818	2.9772537811123e-05	0	0	0.0187566988210075	0	0	2.9772537811123e-05	0	0	0.000148862689055615	0	0	0	0	2.9772537811123e-05	0.000535905680600214	0	0	0	0	0	0	2.9772537811123e-05	0
2022_04_20_neg_ctrl4_16S_PMAPS	0	0	0	0	0.00487709715177526	0.00312134217713617	0	0.092079594225517	0	0.0864221615294577	0	0	0	0	0	0	0.00175575497463909	0.000975419430355053	0	0.00331642606320718	0.000390167772142021	0	0.000585251658213032	0.0267264923917284	0	0	0	0	0.654311353882169	0.000195083886071011	0	0	0.000585251658213032	0.00253609051892314	0	0	0	0.000780335544284042	0.0948107686305111	0.000390167772142021	0	0	0.000195083886071011	0	0	0	0	0	0	0	0	0	0.000390167772142021	0.000195083886071011	0	0	0	0	0.017947717518533	0	0	0	0	0	0	0	0.000585251658213032	0	0.000780335544284042	0	0.00585251658213032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000195083886071011	0	0	0	0
2022_07_11_neg KO 1_16S_PMAPS	0.00872306012137634	0.00012441765624784	0.0428687946693946	0.00814244439221975	0.00132712166664363	0.000345604600688444	0.0233352226384838	0.219610987461465	0.000635912465266738	0.103556962550285	9.67692881927644e-05	0.000649736649294275	6.91209201376889e-05	0.0219251558676749	0	0.000414725520826133	0.00327633161452645	0.00037325296874352	0	0.00160360534719438	0.000331780416660907	0.00414725520826133	0.00729916916653995	0.0611167175857445	0	0.00297219956592062	0.000193538576385529	1.38241840275378e-05	0.241937044665939	0.0301643695480874	0.0685403044085323	0.00909631309011986	0.00309661722216846	0.0240817285759708	0.00214274852426836	1.38241840275378e-05	0.00476934348950053	4.14725520826133e-05	0.027275115086332	0.009331324218588	0.000152066024302916	1.38241840275378e-05	9.67692881927644e-05	0	1.38241840275378e-05	0.000525318993046435	0.0143356788365567	0	1.38241840275378e-05	0	0	0	5.52967361101511e-05	0	0.0196718138711863	0	0.00709180640612688	0	0.0124555898088115	1.38241840275378e-05	0.00536378340268466	0	0	0	0	6.91209201376889e-05	6.91209201376889e-05	0	0.000539143177073973	0	0.00579233310753833	0	0	1.38241840275378e-05	1.38241840275378e-05	0	0	0	4.14725520826133e-05	1.38241840275378e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_07_11_neg KO 2_16S_PMAPS	0.00486121150787914	0	0.0558406823767529	0.00871042359404366	0.00462628307069539	0	0.0130656353910655	0.255258782709267	0.00135535636836779	0.159968194303889	0.000108428509469423	0.000307214110163366	5.42142547347116e-05	0.00410221194159318	0	1.80714182449039e-05	0.000451785456122597	0.00106621367644933	1.80714182449039e-05	0.00166257047853116	3.61428364898077e-05	0.00128307069538817	0.00581899667485904	0.0892366632933353	0	0.000325285528408269	9.03570912245193e-05	1.80714182449039e-05	0.270077345670088	0.0204207026167414	0.0216676304756397	0.00023492843718375	0.00249385571779673	0.0181075610813937	5.42142547347116e-05	0	0.000271071273673558	3.61428364898077e-05	0.00236735579008241	0.00402992626861356	0.000162642764204135	7.22856729796154e-05	0.000271071273673558	3.61428364898077e-05	0	0.000524071129102212	0.00415642619632789	0	5.42142547347116e-05	0.000379499783142981	0	0	3.61428364898077e-05	0	0.0283179123897643	0	0.0070117102790227	0	0.00352392655775625	0	0.000614428220326731	0	1.80714182449039e-05	0	7.22856729796154e-05	0.00460821165245048	5.42142547347116e-05	0	0	0	0.00202399884342923	0	0	0	0	0	0	1.80714182449039e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_07_11_neg KO 3_16S_PMAPS	0.425433881124251	0.0635847028106282	0.0675779450161266	0.164798034096145	0.000153586238673015	0	0.010136691752419	0.0609737367531869	0.00122868990938412	0.0422362156350791	0.0477653202273076	0.000153586238673015	0.00982951927507295	0.010597450468438	0	0.00629703578559361	0	0	0	0.00337889725080633	0	0.0241130394716633	0.00138227614805713	0.00860082936568883	0	0	0	0	0.0317923514053141	0.00184303486407618	0.00199662110274919	0	0.00061434495469206	0.00276455229611427	0.00261096605744125	0	0	0	0.00660420826293964	0.00138227614805713	0	0	0	0.000153586238673015	0	0.000153586238673015	0.00061434495469206	0	0	0.00030717247734603	0	0	0.000153586238673015	0	0	0	0.000153586238673015	0.000153586238673015	0.000153586238673015	0	0	0	0	0	0	0	0	0	0.000153586238673015	0	0	0.000153586238673015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_07_11_neg KO 4_16S_PMAPS	0	0	0.000513083632632119	0	0.00769625448948179	0	0	0.426885582349923	0	0.0487429451000513	0.000513083632632119	0.00102616726526424	0	0	0	0	0.000513083632632119	0.0713186249358645	0	0	0	0	0.00307850179579271	0.244227809132889	0	0.00102616726526424	0.000513083632632119	0	0.00461775269368907	0.0872242175474602	0.0143663417136993	0.00102616726526424	0	0	0.00102616726526424	0	0	0.000513083632632119	0.00667008722421755	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00359158542842483	0	0	0	0	0	0.0636223704463828	0	0	0	0	0	0	0	0	0	0	0	0	0.00153925089789636	0	0	0	0	0	0	0	0	0	0	0	0	0.00461775269368907	0	0	0.00513083632632119	0	0	0	0	0
2022_07_11_neg KO 5_16S_PMAPS	0.00815523059617548	0.00182789651293588	0.00239032620922385	0.00323397075365579	0.000562429696287964	0	0.00492125984251968	0.594910011248594	0.000421822272215973	0.0738188976377953	0	0.00295275590551181	0	0.000281214848143982	0.000562429696287964	0	0.00112485939257593	0.00379640044994376	0.000140607424071991	0.0177165354330709	0	0.000281214848143982	0.0184195725534308	0.0947694038245219	0	0.000843644544431946	0.000140607424071991	0	0.0445725534308212	0.047525309336333	0.000281214848143982	0.000140607424071991	0.0063273340832396	0.000281214848143982	0.00126546681664792	0	0	0.000562429696287964	0.031917885264342	0.0208098987626547	0	0	0.0015466816647919	0	0	0	0.000281214848143982	0	0	0	0	0	0	0.000140607424071991	0	0	0	0	0.0120922384701912	0.000140607424071991	0	0	0	0	0	0	0	0	0.000562429696287964	0	0	0.000140607424071991	0	0	0	0	0	0	0.000140607424071991	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_08_17_neg KO 1_16S_PMAPS	0	0	0	0	0	0.0122343850611719	0	0.0928847392144237	0	0.00998068254990341	0.000160978750804894	0.000482936252414681	0	0	0	0	0.00193174500965873	0.0220540888602704	0	0.000160978750804894	0.0668061815840309	0	0.00869285254346426	0.00692208628461043	0	0	0	0	0.560045074050225	0.0222150676110753	0	0	0.00338055376690277	0	0	0.00595621377978107	0	0	0.160012878300064	0.00482936252414681	0	0	0	0	0	0	0	0	0	0	0	0	0.00144880875724404	0	0	0	0	0	0	0	0	0	0.000160978750804894	0	0	0	0.0154539600772698	0	0.00386349001931745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000160978750804894	0	0.000160978750804894	0	0
