feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acinetobacter__baumannii	Year	2024	10.077243058413	0.876081121319871	262	139	4.80328701864803e-23	3.86760670741539e-19
Shigella__sonnei	Year	2024	-5.67322977366986	0.581683394909637	262	52	3.80510232678799e-18	1.53193419676484e-14
Shigella__dysenteriae	Year	2024	-5.7648092492506	0.601189946935442	262	61	1.07296906884191e-17	2.87984898077168e-14
Paracoccus__liaowanqingii	Year	2025	9.18707367904339	0.968983339310826	262	29	2.114827579532e-17	4.25714791759791e-14
Brevundimonas__bullata	Year	2025	10.505765112024	1.12419600207212	262	27	4.9603993125217e-17	7.98822705288494e-14
Paracoccus__kondratievae	Year	2025	16.5340182718138	1.78426523048866	262	38	8.10310633766255e-17	1.08743687051431e-13
Stenotrophomonas__sp.__G4	Year	2025	11.8894617363911	1.28660140411418	262	27	9.50480396988042e-17	1.09332402236396e-13
Lawsonella__clevelandensis	Year	2024	5.23131975338674	0.58870800369762	262	35	8.56199337773798e-16	8.61764633469328e-13
Klebsiella__pneumoniae	Year	2024	-10.2595658457323	1.16105337749575	262	88	1.16196146451848e-15	9.46952143915278e-13
Cutibacterium__granulosum	Year	2024	10.3965459689002	1.17681641169918	262	58	1.17604588166329e-15	9.46952143915278e-13
Aminipila__terrae	Quarter	2	-5.13633954918195	0.58578195361751	262	61	1.76413250946528e-15	1.29134499692858e-12
Parvimonas__micra	Quarter	2	-6.45957122970529	0.740412303872473	262	70	2.31001911307659e-15	1.55002282487439e-12
Fenollaria__massiliensis	Year	2024	-5.39136173406754	0.624609641538871	262	27	4.06744891810168e-15	2.51931528373498e-12
Limnohabitans__sp.__63ED37.2	Year	2025	9.95290052452756	1.17040771627384	262	40	8.83781809822282e-15	5.08300795192073e-12
Shigella__dysenteriae	Year	2023	-6.07407263545525	0.720488030392422	262	61	1.37654890389992e-14	7.38931451613477e-12
Shigella__sonnei	Year	2023	-5.84783621414646	0.697110664685525	262	52	1.77139048225963e-14	8.9145226019716e-12
Rhodobacter__capsulatus	Year	2025	11.1921426546638	1.33594311601153	262	27	1.89235658317606e-14	8.96309129866683e-12
Epilithonimonas__vandammei	Year	2025	14.9563351676843	1.79091725969253	262	32	2.21942994631909e-14	9.92824995986740e-12
Sinanaerobacter__sp.__ZZT.01	Quarter	2	-4.39718094517512	0.528259225708752	262	62	2.615264065962e-14	1.10832138205926e-11
Enterococcus__faecium	Quarter	2	-5.10556591242457	0.615316240493804	262	120	3.06506489352918e-14	1.23399512613485e-11
Fenollaria__sporofastidiosus	Year	2024	-5.22277668904479	0.63349742580767	262	28	4.21332462539389e-14	1.6155090420796e-11
Fenollaria__massiliensis	Person	N	-4.52806808502946	0.55105018284725	262	27	4.9571641192077e-14	1.81432206763002e-11
Citrobacter__braakii	Year	2025	7.40621438141891	0.905448569593611	262	43	6.20280231859675e-14	2.17152018562352e-11
Anaerococcus__vaginalis	Person	N	-6.85309633986497	0.838561433618271	262	35	6.47350808362501e-14	2.17186196205619e-11
Shigella__sonnei	Year	2022	-4.54689954992934	0.565010695164333	262	52	1.36054702215172e-13	4.21350947014064e-11
Filifactor__alocis	Quarter	2	-4.35282109342215	0.540646077327578	262	33	1.33113159799435e-13	4.21350947014064e-11
Klebsiella__electrica	Year	2024	-4.45098292815856	0.555273175522153	262	56	1.64049097231193e-13	4.61301893616675e-11
Paracoccus__sp.__TOH	Year	2025	16.3371535102204	2.03617654506437	262	46	1.56835300508663e-13	4.61301893616675e-11
Anaerococcus__obesiensis	Person	N	-6.02428508013343	0.751748289579288	262	40	1.66142013349274e-13	4.61301893616675e-11
Enterobacter__hormaechei	Year	2024	-6.90210135985689	0.864547241678076	262	65	1.98610917109497e-13	5.33071701521889e-11
Escherichia__coli	Year	2022	-10.1323058262876	1.27586438780492	262	181	2.54372474481424e-13	6.60711988556266e-11
Blautia__obeum	Year	2024	-7.1034267407364	0.898147827293484	262	34	3.08076898864934e-13	7.75198496768891e-11
Carnobacterium__viridans	Year	2025	9.29529502367541	1.17711693320475	262	38	3.31194216502809e-13	8.08113888266853e-11
Salmonella__enterica	Year	2023	-12.7693483348507	1.63607969575864	262	93	5.67254245002015e-13	1.29713299666566e-10
Salmonella__enterica	Year	2024	-10.6498393722511	1.36517835686953	262	93	5.7994023695931e-13	1.29713299666566e-10
Shigella__flexneri	Year	2023	-9.44841588761756	1.20966669969123	262	87	5.47973901414164e-13	1.29713299666566e-10
Porphyromonas__gingivalis	Quarter	2	-4.94087154130901	0.636248335192038	262	37	7.13196106656856e-13	1.54374749592091e-10
Burkholderia__aenigmatica	Person	N	-3.19791453212149	0.411997127417268	262	57	7.28544521174794e-13	1.54374749592091e-10
Streptococcus__pneumoniae	Quarter	2	-8.25859066782112	1.07246709655214	262	176	1.04169435472598e-12	2.15069819083426e-10
Fenollaria__sporofastidiosus	Person	N	-4.25427501421564	0.558891264413591	262	28	1.74031030494388e-12	3.50324464385203e-10
Shigella__flexneri	Year	2024	-7.677145717385	1.00937063257087	262	87	1.80292069072505e-12	3.54076034188246e-10
Burkholderia__dolosa	Person	N	-2.53544420774697	0.334707889473108	262	47	2.15342126191771e-12	4.03240651185149e-10
Burkholderia__arboris	Person	N	-3.04738523257726	0.402231155570687	262	55	2.13970080540162e-12	4.03240651185149e-10
Planococcus__halotolerans	Year	2025	6.99207417950876	0.928745956876908	262	30	2.81594708564173e-12	5.15318316672436e-10
Megasphaera__elsdenii	Year	2024	-5.13301479805073	0.683424845924868	262	49	3.11902162689114e-12	5.43353673959877e-10
Burkholderia__pyrrocinia	Person	N	-3.96781065056753	0.528490876549551	262	60	3.17158751566247e-12	5.43353673959877e-10
Burkholderia__multivorans	Person	N	-2.26200275074827	0.301162627254498	262	42	3.11583258048391e-12	5.43353673959877e-10
Anaerococcus__vaginalis	Year	2024	-7.12981207539076	0.950500649059431	262	35	3.29597543500565e-12	5.52899879222198e-10
Burkholderia__cenocepacia	Person	N	-6.83820181884045	0.913036767156072	262	76	3.52278007301232e-12	5.78886227508066e-10
Burkholderia__cepacia	Person	N	-4.18373767325011	0.560330847849278	262	62	4.01837802407652e-12	6.47119596997283e-10
Anaerococcus__obesiensis	Year	2024	-6.34643810314476	0.852098854691308	262	40	4.46832513761753e-12	7.05469686433261e-10
Aminipila__luticellarii	Quarter	2	-3.88066719659963	0.521973036378798	262	58	4.82401062378039e-12	7.46979491205378e-10
Burkholderia__glumae	Person	N	-5.77226715212277	0.779423103372145	262	76	5.68608753555132e-12	8.47858830301096e-10
Azospira__oryzae	Year	2022	-5.68683807241374	0.767739721426465	262	27	5.63996609499560e-12	8.47858830301096e-10
Prevotella__corporis	Year	2024	-5.35716182862556	0.727621378762873	262	35	7.27490671048246e-12	1.05314964707628e-09
Klebsiella__electrica	Year	2023	-4.89869842307882	0.665459691402096	262	56	7.32443867812616e-12	1.05314964707628e-09
Klebsiella__pneumoniae	Year	2023	-10.2149501626964	1.39144885139308	262	88	8.21301071545126e-12	1.16019582948796e-09
Blautia__sp.__SC05B48	Year	2024	-6.05048740192245	0.828194179694857	262	32	1.00511766034051e-11	1.39538058638997e-09
Shigella__dysenteriae	Year	2022	-4.26142307611215	0.58395813395459	262	61	1.05266833675879e-11	1.43073585254932e-09
Diaphorobacter__sp.__C33	Year	2022	-3.15058791600229	0.431869090023693	262	28	1.06612209578936e-11	1.43073585254932e-09
Klebsiella__electrica	Year	2022	-3.9321823864121	0.539357467745175	262	56	1.0951516109576e-11	1.44560012646403e-09
Burkholderia__mallei	Person	N	-2.41951905125349	0.333675097172879	262	49	1.36821241948828e-11	1.77691070995478e-09
Streptococcus__mitis	Quarter	2	-7.64728160688556	1.05675716893733	262	177	1.48545412268647e-11	1.86888696810491e-09
X.Ruminococcus.__torques	Year	2024	-5.42468799804959	0.749579067537068	262	29	1.48190697850577e-11	1.86888696810491e-09
Dialister__pneumosintes	Year	2024	-7.73469988198345	1.07118303979656	262	51	1.62428214277348e-11	2.0121107405557e-09
Aminipila__butyrica	Quarter	2	-4.28599865094241	0.595313812287436	262	55	1.82966551854942e-11	2.1665392287294e-09
Paracoccus__sp.__MC1862	Year	2024	5.99184749727617	0.832009121219404	262	37	1.8081832103031e-11	2.1665392287294e-09
Blautia__parvula	Year	2024	-4.14599404539038	0.57548236523695	262	27	1.78071561024314e-11	2.1665392287294e-09
Wansuia__hejianensis	Year	2024	-5.07636140094933	0.70670432247318	262	31	2.00659163058341e-11	2.34160518977646e-09
Burkholderia__sp.__JP2.270	Person	N	-2.02047073017115	0.283620730004132	262	40	2.79832908902545e-11	3.21887797497613e-09
Klebsiella__pneumoniae	Year	2022	-8.00899939570837	1.12777428697906	262	88	3.16909971294559e-11	3.54410984564415e-09
Diaphorobacter__sp.__JS3050	Year	2022	-6.56136029844511	0.923682179518337	262	45	3.13589555039549e-11	3.54410984564415e-09
Burkholderia__stagnalis	Person	N	-2.59745934549114	0.366243790191692	262	44	3.34066548259122e-11	3.68479978983898e-09
Burkholderia__pseudomallei	Person	N	-5.10357476647253	0.724257090096568	262	71	4.30582649164885e-11	4.6852047176698e-09
Burkholderia__ambifaria	Person	N	-3.14731624728636	0.447819388514354	262	54	4.77357210571353e-11	5.12490701269404e-09
Burkholderia__gladioli	Person	N	-2.44852624200263	0.348517665504689	262	52	4.84167051502245e-11	5.12962249828431e-09
Escherichia__fergusonii	Year	2023	-9.69647902538371	1.38149681788858	262	105	5.02593432859467e-11	5.25569132647329e-09
Butyrivibrio__crossotus	Year	2024	-2.85700948479917	0.408188896167533	262	31	5.60314995529149e-11	5.7841748000009e-09
Fenollaria__massiliensis	Year	2023	-5.23658007718821	0.748555049349125	262	27	5.71769806456701e-11	5.82434565449206e-09
Ruminococcus__bovis	Year	2024	-5.43435355679894	0.777066678275074	262	31	5.78673189716052e-11	5.82434565449206e-09
Novisyntrophococcus__fermenticellae	Year	2024	-4.47184344928672	0.639744736473762	262	33	5.89606227728297e-11	5.86112264897314e-09
Pantoea__ananatis	Year	2022	-2.79332810580121	0.400395736802358	262	29	6.35832703887072e-11	6.19722294174089e-09
Lachnospira__eligens	Year	2024	-5.75928169522474	0.825635455800267	262	27	6.38809617690628e-11	6.19722294174089e-09
Burkholderia__contaminans	Person	N	-6.65016346151059	0.956060460788133	262	91	7.12671985665827e-11	6.83147003402528e-09
Escherichia__fergusonii	Year	2022	-7.77470270477007	1.11970812811286	262	105	7.62752047305771e-11	7.22550527636008e-09
Blautia__luti	Year	2024	-6.11696636693218	0.882067240519037	262	35	8.00291391676514e-11	7.49296079741778e-09
Shigella__flexneri	Year	2022	-6.79339960329988	0.980439200737242	262	87	8.26650335872962e-11	7.65079138442424e-09
Salmonella__enterica	Year	2022	-9.17186692275107	1.32604846414428	262	93	8.84397861879538e-11	8.01674378782759e-09
Burkholderia__lata	Person	N	-5.23066917495919	0.756276921903196	262	72	8.86103076399225e-11	8.01674378782759e-09
Burkholderia__metallica	Person	N	-1.62402652438477	0.235009852244014	262	40	9.15284474777549e-11	8.1887451010098e-09
Enterobacter__hormaechei	Year	2023	-7.15585102382209	1.03610504885027	262	65	9.35520102023134e-11	8.2778108368025e-09
Alkaliphilus__oremlandii	Quarter	2	-2.6834421731902	0.389144412038505	262	28	9.92521665792529e-11	8.5018983542143e-09
Ruminococcus__gauvreauii	Year	2024	-3.69964410415444	0.536366868745505	262	32	9.82461564651395e-11	8.5018983542143e-09
Mesorhizobium__terrae	Year	2024	-9.98972633498338	1.44800037710123	262	103	9.75024255034944e-11	8.5018983542143e-09
Escherichia__albertii	Year	2023	-10.483799635854	1.52110694989929	262	97	1.01199839689533e-10	8.5774853597907e-09
Achromobacter__denitrificans	Year	2025	6.2862040863487	0.914287041868584	262	30	1.10927150988276e-10	9.30401478914165e-09
Ruminococcus__sp.__FMB.CY1	Year	2024	-3.82110690474663	0.55679409811445	262	27	1.19027363996551e-10	9.88049829794053e-09
Emergencia__timonensis	Quarter	2	-3.54017161420713	0.516177078321326	262	52	1.21835686534232e-10	1.00104178364657e-08
Comamonas__fluminis	Year	2025	9.20368025635093	1.34900639493292	262	29	1.48309978431609e-10	1.20625449124376e-08
Streptococcus__oralis	Quarter	2	-6.46418222578465	0.947863153405492	262	180	1.50616428184738e-10	1.21276347974351e-08
Burkholderia__sp.__FERM__BP.3421	Person	N	-2.51896870337085	0.369474272134765	262	50	1.52299553571001e-10	1.21417426272643e-08
Anaerobutyricum__hallii	Year	2024	-6.67541458089192	0.980655222071672	262	35	1.61400436331435e-10	1.27411403268697e-08
Enterocloster__bolteae	Year	2024	-5.7199468268177	0.841171508979239	262	42	1.67802949869946e-10	1.30879584281671e-08
Streptococcus__gwangjuense	Quarter	2	-5.8144941193025	0.85524532597251	262	141	1.69044669216266e-10	1.30879584281671e-08
Xanthomonas__oryzae	Year	2025	9.3109583854544	1.37245442026747	262	38	1.82930577269154e-10	1.3895820831804e-08
Carnobacterium__divergens	Year	2025	5.60815876283872	0.826550305771028	262	35	1.82081955478852e-10	1.3895820831804e-08
Dysosmobacter__welbionis	Year	2024	-4.02164830434483	0.593266917495782	262	30	1.88345648043963e-10	1.41734500752336e-08
Blautia__argi	Year	2024	-5.28594186382448	0.782989427313091	262	47	2.1919310045943e-10	1.63420633786975e-08
Enterobacter__cloacae	Year	2024	-4.03717588935057	0.598644743850843	262	41	2.27843902461347e-10	1.68311844276951e-08
Phascolarctobacterium__faecium	Year	2024	-4.69888799439411	0.700699319186642	262	33	2.79849468037736e-10	2.04849810603623e-08
Neotabrizicola__shimadae	Year	2025	15.959153617267	2.38077500743293	262	57	2.83904635471228e-10	2.0594595719048e-08
Lactobacillus__johnsonii	Year	2025	8.41435184577517	1.25581464734111	262	30	2.88606138422648e-10	2.07487198801711e-08
Blautia__producta	Year	2024	-4.61337581068825	0.690221745136711	262	39	3.15428410694101e-10	2.24763678133531e-08
Fusobacterium__nucleatum	Quarter	2	-4.30979426054099	0.64625497205684	262	55	3.4213774385115e-10	2.40316603352302e-08
Burkholderia__anthina	Person	N	-2.6498667719563	0.397422861690517	262	44	3.44458243363238e-10	2.40316603352302e-08
Coprococcus__comes	Year	2024	-4.79411177480201	0.719114516799732	262	32	3.46208718192586e-10	2.40316603352302e-08
Enterobacter__hormaechei	Year	2022	-5.5846699251372	0.839766859940742	262	65	3.78323778896306e-10	2.60364364758381e-08
Mesorhizobium__sp.__Pch.S	Year	2024	-5.21920426876608	0.785295543741177	262	45	3.86780351961954e-10	2.6392842322014e-08
Lacrimispora__saccharolytica	Year	2024	-5.15891726398498	0.77645388761115	262	39	3.90897383544283e-10	2.6449628002509e-08
Delftia__acidovorans	Year	2024	4.68898176155424	0.707813774782512	262	92	4.34465507083701e-10	2.90074642636473e-08
Azospira__oryzae	Year	2024	-5.23556176966665	0.790394679938647	262	27	4.35904517623115e-10	2.90074642636473e-08
Enterobacter__roggenkampii	Year	2024	-4.09306386896849	0.618240606274925	262	64	4.44151935833423e-10	2.93140277650059e-08
Hungatella__hathewayi	Year	2024	-5.72304793934492	0.865216033111017	262	45	4.58519438933868e-10	2.97741816314153e-08
Fenollaria__sporofastidiosus	Year	2023	-5.02215461653724	0.759206495227457	262	28	4.57493146735649e-10	2.97741816314153e-08
Acidovorax__temperans	Year	2022	-5.622233808975	0.850398225108047	262	29	4.66715970094786e-10	3.00639759296258e-08
Sphingosinicella__microcystinivorans	Year	2022	6.73620078049002	1.01932789227367	262	175	4.73855630320549e-10	3.02816312328655e-08
Paracoccus__kondratievae	Year	2024	5.73699814200943	0.869490969171491	262	38	5.0100097462811e-10	3.17642507693349e-08
Burkholderia__sp.__MS389	Person	N	-1.82115862314329	0.276221265731518	262	38	5.14630938943637e-10	3.23735025029232e-08
Ruminococcus__sp.__FMBCY1	Year	2024	-4.31828264480581	0.656194284713089	262	28	5.49809957217322e-10	3.43183703528207e-08
Megasphaera__stantonii	Year	2024	-5.086420214596	0.775627427760514	262	51	6.21906768606273e-10	3.85199484678286e-08
Paracoccus__sp.__TOH	Year	2024	6.50322858815863	0.992249967841052	262	46	6.34661143579039e-10	3.90098589931177e-08
Edwardsiella__ictaluri	Year	2022	-3.76588487902464	0.574963644710281	262	41	6.49241754366589e-10	3.96037470163619e-08
Mediterraneibacter__gnavus	Year	2024	-6.55955940140461	1.00606509488989	262	37	7.61200846730076e-10	4.57402180438103e-08
Burkholderia__thailandensis	Person	N	-5.63809546018141	0.864558960518158	262	71	7.55776499717949e-10	4.57402180438103e-08
Stenotrophomonas__maltophilia	Year	2024	8.02360920827843	1.2316600553343	262	105	7.84074860765964e-10	4.67657094732411e-08
Klebsiella__michiganensis	Year	2024	-5.13128862603788	0.787996667157162	262	54	7.95248243092512e-10	4.70833739219184e-08
Citrobacter__braakii	Year	2024	-2.87181038413868	0.441234487372304	262	43	8.09085547018975e-10	4.75529695226043e-08
Escherichia__albertii	Year	2022	-8.02188579418679	1.23286264106948	262	97	8.17176629678937e-10	4.76804798708319e-08
Diaphorobacter__sp.__JS3050	Year	2024	-6.18304301491831	0.950938788589636	262	45	8.37794167328595e-10	4.85317887433802e-08
Murdochiella__vaginalis	Year	2024	-4.52996064600896	0.697427531113035	262	28	8.68702119409398e-10	4.99627818963177e-08
Parvimonas__micra	Quarter	3	-5.84162501618403	0.899836098792522	262	70	8.84413367229621e-10	5.05056484605171e-08
Burkholderia__ubonensis	Person	N	-3.0354621865505	0.468104988761192	262	38	9.19466054209855e-10	5.21376103415335e-08
Faecalibacterium__prausnitzii	Year	2024	-4.83813998869237	0.746414373746517	262	30	9.32939013880682e-10	5.25316429354353e-08
Paenacidovorax__monticola	Year	2022	-3.51046981102845	0.54338581534419	262	27	1.04577552332624e-09	5.84762813459925e-08
Finegoldia__magna	Person	N	-8.59824669120299	1.33217434459043	262	71	1.08001590490604e-09	5.96409573712941e-08
Mesorhizobium__sp.__Pch.S	Year	2022	-4.92306444522401	0.762786740968569	262	45	1.08141825337915e-09	5.96409573712941e-08
Diaphorobacter__sp.__C33	Year	2024	-2.86428385744394	0.444612961474035	262	28	1.15161348357641e-09	6.30802161207979e-08
Burkholderia__mayonis	Person	N	-2.22645280839793	0.346304764842227	262	41	1.23390379442588e-09	6.71310361670078e-08
Pseudomonas__aeruginosa	Year	2022	-5.02327032635301	0.785116875262156	262	47	1.45415443340748e-09	7.85828959583691e-08
Mogibacterium__neglectum	Quarter	2	-4.40592169945749	0.693690433818799	262	60	1.85991824128995e-09	9.87500537803724e-08
Murdochiella__vaginalis	Person	N	-3.90808443357007	0.615292405022262	262	28	1.85830023046261e-09	9.87500537803724e-08
Mesorhizobium__terrae	Control_type	Paraffin	-7.03206263170371	1.10723829514835	262	103	1.86413414985303e-09	9.87500537803724e-08
Blautia__massiliensis__.ex__Durand__et__al.__2017.	Year	2024	-4.50613196771389	0.712118859042066	262	32	2.10591384993082e-09	1.10828877906163e-07
Prevotella__corporis	Person	N	-4.05849257621122	0.641930362815089	262	35	2.16706504276422e-09	1.13306543664529e-07
Peptoniphilus__ivorii	Person	N	-5.45489686171205	0.864663511870119	262	36	2.32760148310802e-09	1.20270200908468e-07
Prevotella__histicola	Year	2023	5.53305415406756	0.877081069383126	262	44	2.33012311745168e-09	1.20270200908468e-07
Escherichia__coli	Year	2023	-9.91390160972565	1.57416254071544	262	181	2.46308082505271e-09	1.26323100658117e-07
Blautia__wexlerae	Year	2024	-6.69285472543004	1.06312857086606	262	36	2.49494837979755e-09	1.27147622494493e-07
Acidovorax__sp.__KKS102	Year	2025	10.0934655357308	1.60498136219804	262	30	2.58254428203808e-09	1.30783940622457e-07
Aminipila__terrae	Quarter	3	-4.47501244219407	0.711911113752953	262	61	2.62230578135123e-09	1.31967538446501e-07
Falsirhodobacter__algicola	Year	2025	12.2626566358524	1.95678403139495	262	34	2.89855812016815e-09	1.44963912941577e-07
Blautia__hydrogenotrophica	Year	2024	-4.05754596740013	0.648412376224243	262	31	3.03911524871473e-09	1.51055283843525e-07
Vescimonas__fastidiosa	Year	2024	-4.13339794346825	0.66327558913984	262	32	3.47740984611195e-09	1.71779779637383e-07
Enterobacter__roggenkampii	Year	2022	-3.73687658075283	0.600520072924686	262	64	3.64518294076705e-09	1.78969591701563e-07
Edwardsiella__ictaluri	Year	2024	-3.67934596573006	0.591930042505516	262	41	3.77799956771529e-09	1.84366378904506e-07
Butyrivibrio__crossotus	Person	N	-2.23758208853196	0.360117024955239	262	31	3.82459011447284e-09	1.85515660251418e-07
