feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Anaerococcus__sp.__Marseille.Q7828	Person	J	5.61923460021453	0.650916911752082	262	69	6.48293315789308e-16	2.37275353578887e-12
Sphingomonas__sanguinis	Control_type	Paraffin	5.15586634674742	0.615417701936863	262	114	3.59634678120368e-15	6.58131460960273e-12
Anaerococcus__prevotii	Person	J	4.75457003919373	0.593621271935444	262	64	4.06708448103087e-14	4.96184306685766e-11
Sphingomonas__paucimobilis	Control_type	Paraffin	6.39229507204026	0.828200532015249	262	156	2.64587187489982e-13	2.42097276553334e-10
Mesorhizobium__terrae	Control_type	Paraffin	-7.66714521825693	0.998982534607447	262	103	3.48436122002385e-13	2.55055241305746e-10
Peptoniphilus__equinus	Person	J	3.3115450254278	0.436527909440451	262	46	6.10901188623643e-13	3.72649725060422e-10
Finegoldia__magna	Person	J	5.83743845709706	0.783191921112006	262	71	1.40274500383081e-12	7.3343524486011e-10
Sphingomonas__hankookensis	Control_type	Paraffin	5.74383209802129	0.774013384928731	262	200	1.71765711580599e-12	7.85828130481241e-10
Brevundimonas__sp.__C43	Control_type	Paraffin	3.33735785803644	0.4575249258983	262	45	3.75336933761872e-12	1.52637019729828e-09
Anaerococcus__mediterraneensis	Person	J	4.15064340918945	0.574027773021926	262	63	5.54464283201793e-12	1.9210983823465e-09
Sphingomonas__abietis	Control_type	Paraffin	2.89490509038777	0.400728203489812	262	43	5.77379295240751e-12	1.9210983823465e-09
Brevundimonas__diminuta	Person	U	7.7957827018397	1.08492005744842	262	70	7.30370220415888e-12	2.22762917226846e-09
Blautia__argi	Person	J	2.88665581028954	0.403833815797929	262	47	9.17170231159552e-12	2.58218695849536e-09
Anaerococcus__obesiensis	Person	J	3.13342728248663	0.458283299711457	262	40	5.89420320453519e-11	1.54091312347134e-08
Peptoniphilus__ivorii	Person	J	3.41431960962527	0.509673880061883	262	36	1.32550743013472e-10	3.23423812952872e-08
Megasphaera__elsdenii	Person	J	2.36529258382029	0.354276554238873	262	49	1.51187893071453e-10	3.45842305400949e-08
Megasphaera__hexanoica	Person	J	2.19041816823292	0.331649557772882	262	53	2.29051918195521e-10	4.9313530623271e-08
Anaerococcus__vaginalis	Person	J	3.32560238786418	0.509822416572579	262	35	3.65868168609577e-10	7.43931942839473e-08
Sphingomonas__sp.__LK11	Control_type	Paraffin	2.49459660016427	0.384988910406392	262	36	4.68673230220838e-10	9.02812643478036e-08
