feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Anaerococcus__sp.__Marseille.Q7828	Person	J	5.61923460021454	0.650916911752083	262	69	6.48293315789275e-16	2.37275353578875e-12
Anaerococcus__prevotii	Person	J	4.75457003919372	0.593621271935444	262	64	4.06708448103138e-14	7.44276460028742e-11
Peptoniphilus__equinus	Person	J	3.31154502542782	0.436527909440452	262	46	6.10901188623557e-13	7.4529945012074e-10
Finegoldia__magna	Person	J	5.8374384570971	0.783191921112007	262	71	1.40274500383049e-12	1.28351167850489e-09
Anaerococcus__mediterraneensis	Person	J	4.15064340918943	0.574027773021927	262	63	5.54464283201963e-12	4.05867855303837e-09
Brevundimonas__diminuta	Person	U	7.79578270183973	1.08492005744843	262	70	7.30370220415831e-12	4.45525834453657e-09
Blautia__argi	Person	J	2.88665581028954	0.40383381579793	262	47	9.17170231159586e-12	4.79549006577726e-09
Anaerococcus__obesiensis	Person	J	3.13342728248666	0.458283299711458	262	40	5.89420320453317e-11	2.69659796607392e-08
Peptoniphilus__ivorii	Person	J	3.41431960962527	0.509673880061884	262	36	1.32550743013486e-10	5.39039688254841e-08
Megasphaera__elsdenii	Person	J	2.36529258382027	0.354276554238874	262	49	1.51187893071491e-10	5.53347688641656e-08
Megasphaera__hexanoica	Person	J	2.19041816823294	0.331649557772882	262	53	2.29051918195486e-10	7.62118200541344e-08
Anaerococcus__vaginalis	Person	J	3.32560238786416	0.50982241657258	262	35	3.65868168609685e-10	1.11589791425954e-07
Roseburia__rectibacter	Person	J	2.2853669678731	0.353753864149744	262	36	5.23125267393746e-10	1.47279882973932e-07
Enterocloster__bolteae	Person	J	2.84059432332213	0.443130885745865	262	42	6.94648818737094e-10	1.81601048326983e-07
Roseburia__hominis	Person	J	3.36778789078709	0.527337799687278	262	44	7.94909857555373e-10	1.93958005243511e-07
Dialister__massiliensis	Person	J	2.98990951574827	0.470352038399091	262	44	9.39253999518655e-10	2.14854352389892e-07
Megasphaera__stantonii	Person	J	2.50456230348358	0.395904926034612	262	51	1.11501084745352e-09	2.40055276569406e-07
Blautia__producta	Person	J	2.16420254938543	0.349021272703058	262	39	2.23973298953132e-09	4.35211405441947e-07
Fenollaria__massiliensis	Person	J	2.09413301451211	0.338112331938754	262	27	2.33023551299963e-09	4.35211405441947e-07
Peptonophilus__genitalis	Person	J	3.75700639263055	0.606956655352704	262	64	2.37820440132211e-09	4.35211405441947e-07
Dialister__pneumosintes	Person	J	3.43514055725714	0.556236359201734	262	51	2.57219155259493e-09	4.48296242023687e-07
Fenollaria__sporofastidiosus	Person	J	2.03109002048686	0.335438212478823	262	28	4.97691559341525e-09	8.27977775995446e-07
Delftia__acidovorans	Person	N	-4.42265342551509	0.73472696771983	262	92	6.03596081558414e-09	9.06305088063479e-07
X.Ruminococcus.__lactaris	Person	J	2.31845490080621	0.385459980337268	262	36	6.19060852502376e-09	9.06305088063479e-07
Marinilactibacillus__sp.__15R	Person	U	5.25692809584935	0.871781115679309	262	37	5.69780142352106e-09	9.06305088063479e-07
Burkholderia__contaminans	Person	N	-5.83024766253319	0.971425615755466	262	91	6.64221331684037e-09	9.3501925921676e-07
Burkholderia__cenocepacia	Person	N	-5.90423547189593	0.988528786588253	262	76	7.76577031747196e-09	1.05269330970176e-06
Peptoniphilus__harei	Person	J	3.15444265643293	0.531960582189144	262	63	9.77688673532207e-09	1.17964752303301e-06
Burkholderia__lata	Person	J	-4.01932759630728	0.678170313864523	262	72	9.9415244327008e-09	1.17964752303301e-06
Burkholderia__contaminans	Person	J	-4.64289133545946	0.782631736212323	262	91	9.64348383164747e-09	1.17964752303301e-06
Enterocloster__asparagiformis	Person	J	2.10957362127001	0.355999013272563	262	38	9.99155005847633e-09	1.17964752303301e-06
Sphingomonas__sanguinis	Control_type	Paraffin	5.45588574742379	0.923734509203769	262	114	1.10861172469541e-08	1.26797466012038e-06
Burkholderia__lata	Person	N	-4.92944087976759	0.841765014438664	262	72	1.44860388392852e-08	1.6066333985389e-06
Subdoligranulum__variabile	Person	J	3.0333692721942	0.519374767406829	262	36	1.57392902926136e-08	1.6754318212128e-06
Roseburia__sp.__831b	Person	J	2.47064797465372	0.423268959810884	262	36	1.60218890006689e-08	1.6754318212128e-06
Campylobacter__ureolyticus	Person	J	1.45444997874994	0.249903597247184	262	28	1.75308506114541e-08	1.7341327902141e-06
Mediterraneibacter__gnavus	Person	J	3.04612277797069	0.52292056585706	262	37	1.70586374193561e-08	1.7341327902141e-06
Moraxella__osloensis	Person	N	6.20962841082257	1.07663185809734	262	122	2.31014497410674e-08	2.22503436979754e-06
X.Ruminococcus.__torques	Person	J	2.24216191078596	0.390686015998956	262	29	2.68366491929569e-08	2.51851630887749e-06
Burkholderia__cenocepacia	Person	J	-4.4990003236266	0.796410953134856	262	76	4.2841874474777e-08	3.9200315144421e-06
Blautia__hydrogenotrophica	Person	J	1.88484080244512	0.334853768170373	262	31	4.7563664273085e-08	4.24592710340222e-06
Dialister__succinatiphilus	Person	J	2.14168458965931	0.381833888380969	262	48	5.26986564890631e-08	4.59231149404693e-06
Stenotrophomonas__maltophilia	Person	U	6.73810536855261	1.20853180569764	262	105	6.25847009407431e-08	5.32697687077022e-06
Blautia__luti	Person	J	2.64964659193813	0.476135342169446	262	35	6.60553291660007e-08	5.48635620067399e-06
Novisyntrophococcus__fermenticellae	Person	J	1.84064131112438	0.331002916600621	262	33	6.74551991886147e-08	5.48635620067399e-06
Comamonas__thiooxydans	Person	U	5.19613705476399	0.938809379817085	262	74	7.70203944885167e-08	6.12814443104285e-06
Brevundimonas__vesicularis	Person	U	4.09704316302085	0.741204571393862	262	53	7.99245585562652e-08	6.22391243225385e-06
Cutibacterium__granulosum	Person	J	3.8721297456547	0.705679576312106	262	58	9.81429043045049e-08	7.11654544714784e-06
Comamonas__odontotermitis	Person	U	3.37064487279951	0.613655645256409	262	39	9.5380942325398e-08	7.11654544714784e-06
Delftia__lacustris	Person	N	-3.47611425233038	0.633524289417111	262	80	9.8215624882354e-08	7.11654544714784e-06
Blautia__sp.__SC05B48	Person	J	2.50682487285295	0.457028913016237	262	32	9.91649775422239e-08	7.11654544714784e-06
Lacrimispora__xylanolytica	Person	J	2.46165025785807	0.450849292977259	262	39	1.12526083664381e-07	7.92010511945449e-06
uncultured__Subdoligranulum__sp.	Person	J	1.57156896294018	0.289259840363263	262	29	1.28884957784886e-07	8.90035746212609e-06
Comamonas__fluminis	Person	U	3.51887921097197	0.651487093247395	262	29	1.51143241983747e-07	1.02441530677873e-05
Butyrivibrio__crossotus	Person	J	1.14916876454418	0.214674043852168	262	31	1.92233494400612e-07	1.27922652637498e-05
Coprococcus__comes	Person	J	2.04036050955897	0.382662576260691	262	32	2.13435341488539e-07	1.3865236521525e-05
Kineothrix__sp.__IPX.CK	Person	J	1.34521788184479	0.252402148083019	262	40	2.15934011400798e-07	1.3865236521525e-05
Roseburia__intestinalis	Person	J	2.29046209537555	0.432392504438028	262	35	2.5354422190175e-07	1.59995146924208e-05
Moraxella__sp.__DOX410	Person	N	3.96076763355437	0.753209173731757	262	84	3.06652186071294e-07	1.90228305257786e-05
Ruminococcus__gauvreauii	Person	J	1.47815269395382	0.281372671066096	262	32	3.14511168053941e-07	1.91851812512904e-05
Vescimonas__coprocola	Person	J	1.58201011436175	0.302030514351721	262	32	3.39225736582981e-07	2.00252612240921e-05
