feature	Peptoniphilaceae	Oscillospiraceae	Lachnospiraceae	Campylobacteraceae	Phyllobacteriaceae	Pseudomonadaceae	Peptostreptococcaceae	Streptococcaceae	Clostridiaceae	Veillonellaceae	Enterobacteriaceae	Lactobacillaceae	Eubacteriales_unclassified_order	Anaerovoracaceae	Acutalibacteraceae	Lysobacteraceae	Bacteroidaceae	Propionibacteriaceae	Moraxellaceae	Rhizobiaceae	Staphylococcaceae	Oxalobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Enterococcaceae	Tissierellia_unclassified_class	Pasteurellaceae	Planococcaceae	Corynebacteriaceae	Bacillaceae	Erysipelotrichaceae	Brucellaceae	Burkholderiaceae	Gemellaceae	Anaerotignaceae	Fusobacteriaceae	Tannerellaceae	Carnobacteriaceae	Prevotellaceae	Porphyromonadaceae	Sphaerotilaceae	Atopobiaceae	Yersiniaceae	Sphingomonadaceae	Sutterellaceae	Aerococcaceae	Natronincolaceae	Erwiniaceae	Acidaminococcaceae	Pectobacteriaceae	Bruguierivoracaceae	Vibrionaceae	Actinomycetaceae	Microbacteriaceae	Morganellaceae	Methylobacteriaceae	Hafniaceae	Methylocystaceae	Comamonadaceae	Burkholderiales_unclassified_order	Selenomonadaceae	Aeromonadaceae	Filifactoraceae	Tissierellaceae	Neisseriaceae	Rhodocyclaceae	Flavobacteriaceae	Listeriaceae	Sterolibacteriaceae	Devosiaceae	Chromobacteriaceae	Weeksellaceae	Alcaligenaceae	Acetobacteraceae	Sphingosinicellaceae	Hyphomicrobiaceae	Micrococcaceae	Caulobacteraceae	Nitrobacteraceae	Nautiliaceae	Zoogloeaceae	Boseaceae	Leptotrichiaceae	Hyphomicrobiales_unclassified_order	Stappiaceae	Erythrobacteraceae	Gallionellaceae	Nostocaceae	Beijerinckiaceae	Xanthobacteraceae	Blastochloridaceae	Paracoccaceae	Stellaceae	Roseobacteraceae	Azospirillaceae	Betaproteobacteria_unclassified_class	Synechococcaceae	Oscillatoriaceae	Zymomonadaceae
2021_08_31_negKO1_16S_PMAPS	0.43302752293578	0.127681113571655	0.220563112938943	0.0259411578614363	0.00455552040493515	0.000695982284087314	0.0242328377095856	0.0270167668459348	0.00379626700411262	0.0352420120215122	0.0162606770009491	0.00809870294210693	0.0199304017715913	0.00442897817146473	0.00493514710534641	0.000379626700411262	0.00620056944005062	0.00158177791838026	0.00234103131920278	0.00259411578614363	0.0130971211641885	0.00101233786776337	0.00132869345143942	0.00392280923758304	0.00101233786776337	0.00202467573552673	0.000316355583676052	0.000126542233470421	0.001202151217969	0.000189813350205631	6.32711167352104e-05	6.32711167352104e-05	0.000506168933881683	0.000695982284087314	0.000379626700411262	0.000885795634292945	0.000253084466940842	0.000885795634292945	0.000189813350205631	0.000189813350205631	0.000253084466940842	6.32711167352104e-05	0.000316355583676052	0.000442897817146473	0.000316355583676052	6.32711167352104e-05	0.000253084466940842	0.000189813350205631	6.32711167352104e-05	6.32711167352104e-05	6.32711167352104e-05	6.32711167352104e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_08_31_negKO3_16S_PMAPS	0.493155130701599	0.0828465215082315	0.116038236856081	0.0152829409334986	0.0132176786451879	0.00548769693751106	0.00885112409275978	0.0384433823095533	0.0012981648669381	0.0634920634920635	0.0944709978167227	0.00233079601109341	0.011890010031274	0.00197675104738302	0.00203575854133475	0.000324541216734525	0.00876261285183218	0.0027733522157314	0.000649082433469051	0.00014751873487933	0.00566471941936626	0.000560571192541453	0.000737593674396648	0.00864459786392872	0.000413052457662123	0.0101787927066737	0	0.000560571192541453	5.90074939517319e-05	0	0.000177022481855196	0.000708089927420782	8.85112409275978e-05	2.95037469758659e-05	0.000590074939517319	0.000324541216734525	0.000354044963710391	0.000354044963710391	0	0	0	0.00135717236088983	0.000206526228831062	2.95037469758659e-05	0.000118014987903464	0	0.000354044963710391	0.00109163863810704	2.95037469758659e-05	0.000177022481855196	5.90074939517319e-05	2.95037469758659e-05	0	0.00209476603528648	0.000590074939517319	0.000354044963710391	2.95037469758659e-05	0.000206526228831062	0.000206526228831062	2.95037469758659e-05	8.85112409275978e-05	2.95037469758659e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_10_13_negKO5_16S_PMAPS	0.472523732667805	0.0168977626062878	0.0686171885876936	0.00702827294243829	0.000814722762219552	7.73470976790714e-05	0.0740469548447644	0.104289670037281	0.0065023126782206	0.0279171457889662	0.0900681170106894	0.00344452408330798	0.00896195038441508	0.0329756459771774	0.000340327229787914	0	0.0034651499760224	0.000309388390716286	5.15647317860476e-06	0	0.000897226333077229	9.28165172148857e-05	0.00906507984798717	0.0136543409769454	0.0309182131789142	0.00112926762611444	0	5.15647317860476e-06	8.25035708576762e-05	0.000139224775822329	0	5.15647317860476e-06	0.00211931047640656	0.00189242565654795	0.00178929619297585	0.000402204907931171	0.000355796649323729	0.00754392026029877	0.000257823658930238	5.15647317860476e-05	0.00053111673739629	0.000293918971180471	0.000113442409929305	8.76600440362809e-05	0.000335170756609309	0.000103129463572095	0.000165007141715352	0.00711077651329597	0.000128911829465119	5.67212049646524e-05	3.09388390716286e-05	5.15647317860476e-05	0	0.000474395532431638	0.000386735488395357	0.000154694195358143	0	3.60953122502333e-05	0.000170163614893957	3.09388390716286e-05	1.03129463572095e-05	0.000412517854288381	0.000159850668536748	0.000247510712573029	0.000134068302643724	4.64082586074429e-05	5.15647317860476e-06	1.03129463572095e-05	5.15647317860476e-06	5.15647317860476e-06	1.03129463572095e-05	5.15647317860476e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_10_13_negKO4_16S_PMAPS	0.161338335596627	0.141705219386072	0.261184124719006	0.0351309258023185	0.00460330977973163	0.0017415855333318	0.0253412203374226	0.139449597594003	0.00297680699089312	0.0619528774522215	0.0148763627714994	0.00192571792452106	0.0174388718822166	0.016717686683392	0.00196407883935216	0	0.00840871253097644	0.00012275492745951	7.67218296621938e-06	1.53443659324388e-05	0.00405091260616383	0.00110479434713559	0.00665945481467842	0.0029691348079269	0.0135874360331745	0.0143776708786951	1.53443659324388e-05	3.06887318648775e-05	0.00145771476358168	3.83609148310969e-05	3.06887318648775e-05	0.000421970063142066	0.0143239655979316	0.000475675343905601	0.00388212458090701	0.00136564856798705	0.00200243975418326	0.00503295202583991	0.000230165488986581	0	6.90496466959744e-05	0.000115082744493291	0.00540888899118466	0.000790234845520596	0.00335274395623787	3.06887318648775e-05	4.60330977973163e-05	0.00787165972334108	1.53443659324388e-05	0	7.67218296621938e-06	0.000360592599412311	0.000276198586783898	0	0.00127358237239242	7.67218296621938e-06	0	0.000851612309250351	3.83609148310969e-05	0.00128125455535864	0	4.60330977973163e-05	3.83609148310969e-05	0.00702004741409073	0.000805579211453035	9.97383785608519e-05	0.000774890479588157	0.000176460208223046	0	0	7.67218296621938e-06	0	3.06887318648775e-05	6.90496466959744e-05	6.90496466959744e-05	6.90496466959744e-05	1.53443659324388e-05	7.67218296621938e-06	7.67218296621938e-06	7.67218296621938e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_10_13_negKO6_16S_PMAPS	0.169033909149072	0.0950095969289827	0.200127959053103	0.0255918106206014	0.037108125399872	0.00211132437619962	0.0245041586692258	0.0708253358925144	0.0055022392834293	0.0299424184261036	0.10978886756238	0.00780550223928343	0.0113883557261676	0.0135636596289187	0.000575815738963532	0	0.0192578374920026	0.00159948816378759	0.00793346129238644	0.000191938579654511	0.00658989123480486	0	0.00108765195137556	0.00940499040307102	0.0119001919385797	0.00895713371721049	0	0.000319897632757518	0.0055022392834293	0.00236724248240563	0.000127959053103007	0	0.017658349328215	0.000895713371721049	0.0126039667306462	0.000511836212412028	0.000191938579654511	0.0268714011516315	0.000191938579654511	0.000511836212412028	0.00294305822136916	0.000511836212412028	0.00492642354446577	0.000383877159309021	0.00300703774792067	6.39795265515035e-05	0.000511836212412028	0.00850927703134997	0	6.39795265515035e-05	0	0.000255918106206014	0.000191938579654511	0.000319897632757518	0.0152911068458093	0.000127959053103007	0	0.00607805502239283	0.00409468969929623	6.39795265515035e-05	0	0.000319897632757518	0.000127959053103007	0.000319897632757518	0.00249520153550864	0.00127959053103007	0.00403071017274472	0	0	0	0.000447856685860525	0	0	0	0	0	0	0.00435060780550224	0	0	0.00102367242482406	0.000511836212412028	0.000127959053103007	6.39795265515035e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_10_13_negKO7_16S_PMAPS	0.207182361182804	0.124282869994838	0.308812034510729	0.029540594351449	0.00275790870879729	0.000589926996534179	0.0385517292235086	0.0841088415308606	0.00494063859597375	0.0515891158469139	0.0295995870511024	0.00243344886070349	0.0240395251087678	0.012108251603864	0.00154855836590222	0	0.0107956640365755	5.89926996534179e-05	0	1.47481749133545e-05	0.000589926996534179	0.00299387950741096	0.00349531745446501	0.000811149620234496	0.0133765946464125	0.00994026989160091	0	0.000265467148440381	0.000206474448786963	0.000176978098960254	0.00013273357422019	0	0.00218272988717646	0.000324459848093798	0.000398200722660571	4.42445247400634e-05	0.000309711673180444	0.0046014305729666	0.000516186121967407	4.42445247400634e-05	0.000781653270407787	5.89926996534179e-05	0.00126834304254848	0.00056043064670747	0.0014895656662488	0.000103237224393481	4.42445247400634e-05	0.0116658063564634	2.94963498267089e-05	1.47481749133545e-05	0	7.37408745667724e-05	0	4.42445247400634e-05	0.00404099992625913	0	1.47481749133545e-05	0.00212373718752304	0.000265467148440381	4.42445247400634e-05	0	1.47481749133545e-05	7.37408745667724e-05	0.00069316422092766	0.000634171521274242	0	1.47481749133545e-05	4.42445247400634e-05	0	0	0.000840645970061205	2.94963498267089e-05	0	0	0	1.47481749133545e-05	0	0.00138632844185532	0	0	0	0	0	0	7.37408745667724e-05	2.94963498267089e-05	5.89926996534179e-05	4.42445247400634e-05	4.42445247400634e-05	1.47481749133545e-05	0	0	0	0	0	0	0	0
2021_10_13_negKO2_16S_PMAPS	0.0273109243697479	0	0.00420168067226891	0	0.0115546218487395	0.0147058823529412	0	0.31827731092437	0.00735294117647059	0.0882352941176471	0.10609243697479	0.00735294117647059	0	0	0	0	0	0.0168067226890756	0.00840336134453781	0	0.0199579831932773	0.0136554621848739	0	0	0	0.131302521008403	0	0	0.00105042016806723	0	0	0	0	0	0	0	0	0	0	0.00210084033613445	0.00315126050420168	0	0.00945378151260504	0	0	0	0	0	0	0	0	0.00315126050420168	0	0	0.023109243697479	0	0	0.0955882352941176	0.0115546218487395	0	0	0	0	0.00840336134453781	0.0451680672268908	0	0	0	0	0	0.00525210084033613	0	0	0	0	0	0.00315126050420168	0	0	0	0.00945378151260504	0	0	0	0	0	0	0	0	0	0.00315126050420168	0.00105042016806723	0	0	0	0	0	0
2021_10_13_negKO3_16S_PMAPS	0.155379798978415	0.0444883835887296	0.118470917778876	0.00280112044817927	0.0265282583621684	0.000494315373208107	0.0207612456747405	0.382435327072005	0.00609655626956665	0.0149942329873126	0.0186192123908387	0.00873290492667655	0.00461361014994233	0.0161476355247982	0.000329543582138738	0	0.00115340253748558	0.0108749382105783	0	0.000329543582138738	0.0293293788103477	0.000164771791069369	0.00164771791069369	0.00461361014994233	0.00461361014994233	0.0196078431372549	0	0	0	0.000164771791069369	0.000164771791069369	0	0.0181248970176306	0	0.0346020761245675	0.00181248970176306	0.00131817432855495	0.012522656121272	0.000494315373208107	0	0	0	0	0	0.0131817432855495	0	0.000164771791069369	0.00543746910528917	0	0	0	0.00115340253748558	0	0	0	0	0	0.000988630746416213	0	0.00329543582138738	0	0.000164771791069369	0.000164771791069369	0.000329543582138738	0	0.00807381776239908	0	0	0	0	0	0	0	0	0	0.00428406656780359	0	0	0	0	0	0	0	0	0	0	0	0	0.000329543582138738	0	0	0	0	0	0	0	0	0
2021_10_13_negKO1_16S_PMAPS	0.0940586109995986	0.0864311521477318	0.308189482135688	0.000963468486551586	0.0171818546768366	0.000401445202729827	0.0387796065837013	0.122199919710959	0.00746688077077479	0.0215977519068647	0.025652348454436	0.0364110798875953	0.0155359293456443	0.00742673625050181	0.000843034925732637	0.000481734243275793	0.00835006021678041	0.0110798875953432	0.000200722601364914	8.02890405459655e-05	0.122802087515054	0	0.00281011641910879	0.000562023283821758	0.00843034925732638	0.00353271778402248	0	0.00108390204737053	4.01445202729827e-05	0.00357286230429546	4.01445202729827e-05	0.000963468486551586	0.00369329586511441	0.00128462464873545	0	0.00268968285828984	0.000963468486551586	0.00216780409474107	0.00044158972300281	0.000200722601364914	0	0.000160578081091931	0.00835006021678041	0	0.000160578081091931	0	4.01445202729827e-05	0.00541951023685267	4.01445202729827e-05	4.01445202729827e-05	0	0.000200722601364914	0	0	0.0107587314331594	4.01445202729827e-05	0	0.00662384584504215	0.00264953833801686	0.000240867121637896	0	0	0	0	0.00389401846647933	0	0.0014050582095544	0.000160578081091931	0	0	0.000963468486551586	0	0	0	0	0	0	4.01445202729827e-05	4.01445202729827e-05	0	0	0	0	4.01445202729827e-05	4.01445202729827e-05	4.01445202729827e-05	0	0	0	0	0	4.01445202729827e-05	0	0	0	0	0	0
2021_10_27_negKO 1_16S_PMAPS	0.422156318357732	0.131036513545347	0.226421840821134	0.0240198552919401	0.00395423186942622	0.00107269056032307	0.022778899545684	0.0265227999326939	0.0038700992764597	0.0385537607269056	0.0170789163722026	0.00797156318357732	0.0222951371361265	0.00437489483425879	0.00462729261315834	0.000441696113074205	0.00639407706545516	0.0012409557462561	0.00214538112064614	0.00231364630657917	0.0123674911660777	0.00103062426383981	0.00126198889449773	0.00338633686690224	0.000799259633181895	0.00216641426888777	0.000567895002523978	0.000147232037691402	0.00155645296988053	0.00016826518593303	4.20662964832576e-05	0.000294464075382803	0.000378596668349319	0.000673060743732122	0.000210331482416288	0.00103062426383981	0.000504795557799091	0.00107269056032307	0.000694093891973751	0.000105165741208144	8.41325929665152e-05	6.30994447248864e-05	0.00052582870604072	0.000273430927141175	0.000694093891973751	6.30994447248864e-05	0.000105165741208144	8.41325929665152e-05	0	0	0	0.000105165741208144	0	0	0	2.10331482416288e-05	0	0	0	4.20662964832576e-05	0	4.20662964832576e-05	0	2.10331482416288e-05	0	0	0	0	0	0	0	2.10331482416288e-05	0	0	0	4.20662964832576e-05	2.10331482416288e-05	0	2.10331482416288e-05	0	2.10331482416288e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10331482416288e-05	0	0	0
