feature	Peptoniphilaceae	Oscillospiraceae	Lachnospiraceae	Campylobacteraceae	Phyllobacteriaceae	Pseudomonadaceae	Peptostreptococcaceae	Streptococcaceae	Clostridiaceae	Veillonellaceae	Enterobacteriaceae	Lactobacillaceae	Eubacteriales_unclassified_order	Anaerovoracaceae	Acutalibacteraceae	Lysobacteraceae	Bacteroidaceae	Propionibacteriaceae	Moraxellaceae	Rhizobiaceae	Staphylococcaceae	Oxalobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Enterococcaceae	Tissierellia_unclassified_class	Pasteurellaceae	Planococcaceae	Corynebacteriaceae	Bacillaceae	Erysipelotrichaceae	Brucellaceae	Burkholderiaceae	Gemellaceae	Anaerotignaceae	Fusobacteriaceae	Tannerellaceae	Carnobacteriaceae	Prevotellaceae	Porphyromonadaceae	Sphaerotilaceae	Atopobiaceae	Yersiniaceae	Sphingomonadaceae	Sutterellaceae	Aerococcaceae	Natronincolaceae	Erwiniaceae	Acidaminococcaceae	Pectobacteriaceae	Bruguierivoracaceae	Vibrionaceae	Actinomycetaceae	Microbacteriaceae	Morganellaceae	Methylobacteriaceae	Hafniaceae	Methylocystaceae	Comamonadaceae	Burkholderiales_unclassified_order	Selenomonadaceae	Aeromonadaceae	Filifactoraceae	Tissierellaceae	Neisseriaceae	Rhodocyclaceae	Flavobacteriaceae	Listeriaceae	Sterolibacteriaceae	Devosiaceae	Chromobacteriaceae	Weeksellaceae	Alcaligenaceae	Acetobacteraceae	Sphingosinicellaceae	Hyphomicrobiaceae	Micrococcaceae	Caulobacteraceae	Nitrobacteraceae	Nautiliaceae	Zoogloeaceae	Boseaceae	Leptotrichiaceae	Hyphomicrobiales_unclassified_order	Stappiaceae	Erythrobacteraceae	Gallionellaceae	Nostocaceae	Beijerinckiaceae	Xanthobacteraceae	Blastochloridaceae	Paracoccaceae	Stellaceae	Roseobacteraceae	Azospirillaceae	Betaproteobacteria_unclassified_class	Synechococcaceae	Oscillatoriaceae	Zymomonadaceae
2021_08_31_negKO1_16S_PMAPS	-1.20746937030245	-2.9693829556855	-2.18073656066618	-5.26861331528641	-7.77816841334955	-10.4886617961546	-5.3668928328669	-5.21000115517137	-8.04120281918334	-4.82655989745183	-5.94246886559798	-6.94809341479186	-5.64888539640458	-7.81881039784689	-7.66269119592961	-11.3631309140707	-7.33338357067665	-9.30423722501714	-8.73864004916291	-8.59054141017378	-6.25460645729254	-9.94809341479186	-9.5557759920131	-7.99389710440499	-9.94809341479186	-8.94809341479186	-11.6261653199045	-12.9480934147919	-9.70016590134828	-12.3631309140707	-13.9480934147919	-13.9480934147919	-10.9480934147919	-10.4886617961546	-11.3631309140707	-10.1407384927343	-11.9480934147919	-10.1407384927343	-12.3631309140707	-12.3631309140707	-11.9480934147919	-13.9480934147919	-11.6261653199045	-11.1407384927343	-11.6261653199045	-13.9480934147919	-11.9480934147919	-12.3631309140707	-13.9480934147919	-13.9480934147919	-13.9480934147919	-13.9480934147919	-16.9029167771886	-17.3691627957267	-18.76895318841	-17.9919314431665	-17.0491040424278	-15.7999392660634	-18.3589687813473	-16.8492096005693	-18.76895318841	-18.0734616935627	-18.3691627957267	-16.5369756656106	-17.1843717370997	-16.5115055957925	-18.5651839120823	-17.5651839120823	-18.76895318841	-18.5651839120823	-17.9919314431665	-18.76895318841	-18.3691627957267	-17.3691627957267	-18.76895318841	-17.0491040424278	-18.76895318841	-18.6859190752726	-18.5807443704987	-18.76895318841	-16.5714267680553	-16.7842002950055	-15.628958093399	-16.770999340384	-18.6859190752726	-18.76895318841	-17.76895318841	-16.5714267680553	-17.6859190752726	-18.6859190752726	-18.3691627957267	-18.3691627957267	-18.3691627957267	-18.0734616935627	-17.6381530492481	-18.5807443704987	-14.5660540381711	-18.5807443704987
2021_08_31_negKO3_16S_PMAPS	-1.01988655155177	-3.59341506575198	-3.10732781511363	-6.03193399836999	-6.24138736399894	-7.50958347494851	-6.81992359556066	-4.70112091748841	-9.58931066741924	-3.97727992349992	-3.40398469354028	-8.74496153787944	-6.39410625752857	-8.98265309559877	-8.94021782927837	-11.5893106674192	-6.83442316525577	-8.4941534343789	-10.5893106674192	-12.7268141911692	-7.46377978533538	-10.800814772613	-10.4048860962818	-6.85398543163429	-11.2413873639989	-6.61828973439101	-18.5807443704987	-10.800814772613	-14.0487422860565	-18.5807443704987	-12.4637797853354	-10.4637797853354	-13.4637797853354	-15.0487422860565	-10.7268141911692	-11.5893106674192	-11.4637797853354	-11.4637797853354	-15.8929222236306	-18.6859190752726	-18.0734616935627	-9.52518032999953	-12.2413873639989	-15.0487422860565	-13.0487422860565	-17.6859190752726	-11.4637797853354	-9.83928892042759	-15.0487422860565	-12.4637797853354	-14.0487422860565	-15.0487422860565	-16.9029167771886	-8.89899516655186	-10.7268141911692	-11.4637797853354	-15.0487422860565	-12.2413873639989	-12.2413873639989	-15.0487422860565	-13.4637797853354	-15.0487422860565	-18.3691627957267	-16.5369756656106	-17.1843717370997	-16.5115055957925	-18.5651839120823	-17.5651839120823	-18.76895318841	-18.5651839120823	-17.9919314431665	-18.76895318841	-18.3691627957267	-17.3691627957267	-18.76895318841	-17.0491040424278	-18.76895318841	-18.6859190752726	-18.5807443704987	-18.76895318841	-16.5714267680553	-16.7842002950055	-15.628958093399	-16.770999340384	-18.6859190752726	-18.76895318841	-17.76895318841	-16.5714267680553	-17.6859190752726	-18.6859190752726	-18.3691627957267	-18.3691627957267	-18.3691627957267	-18.0734616935627	-17.6381530492481	-18.5807443704987	-14.5660540381711	-18.5807443704987
2021_10_13_negKO5_16S_PMAPS	-1.08154130387682	-5.88702395453954	-3.86528617337615	-7.15261406527709	-10.2614031639052	-13.6582933164738	-3.75541578337189	-3.2613318298776	-7.26483135175408	-5.16270473986734	-3.47283968940589	-8.18147961960825	-6.8019715452679	-4.92245526831331	-11.5207897927239	-14.8803046523577	-8.17286648930354	-11.6582933164738	-17.5651839120823	-18.76895318841	-10.1222404162336	-13.39525891064	-6.7854645569389	-6.19449650527509	-5.01539924413444	-9.79039685248113	-18.5807443704987	-17.5651839120823	-13.5651839120823	-12.8102964099188	-17.76895318841	-17.5651839120823	-8.88218932840062	-9.04554765923909	-9.12639205950404	-11.2797816932201	-11.4566594553041	-7.05046985794382	-11.9213277223076	-14.2432558171949	-10.8786833848991	-11.7322938979176	-13.105752293445	-13.477721070832	-11.5428160990538	-13.2432558171949	-12.5651839120823	-7.13577717056832	-12.9213277223076	-14.105752293445	-14.9802214113611	-14.2432558171949	-16.9029167771886	-11.0416219560253	-11.3363652215864	-12.6582933164738	-17.0491040424278	-14.7578289900247	-12.5207897927239	-14.9802214113611	-16.5651839120823	-11.2432558171949	-12.6109876016954	-11.9802214113611	-12.8647441939412	-14.39525891064	-17.5651839120823	-16.5651839120823	-17.5651839120823	-17.5651839120823	-16.5651839120823	-17.5651839120823	-18.3691627957267	-17.3691627957267	-18.76895318841	-17.0491040424278	-18.76895318841	-18.6859190752726	-18.5807443704987	-18.76895318841	-16.5714267680553	-16.7842002950055	-15.628958093399	-16.770999340384	-18.6859190752726	-18.76895318841	-17.76895318841	-16.5714267680553	-17.6859190752726	-18.6859190752726	-18.3691627957267	-18.3691627957267	-18.3691627957267	-18.0734616935627	-17.6381530492481	-18.5807443704987	-14.5660540381711	-18.5807443704987
2021_10_13_negKO4_16S_PMAPS	-2.63183881693983	-2.81903519729674	-1.93686088515921	-4.83111459349299	-7.76311275267066	-9.16538295587562	-5.30237018888101	-2.84218432366186	-8.39201860097941	-4.01268489869789	-6.07083435505975	-9.02038788921577	-5.84154947434869	-5.90248096205063	-8.99193144316654	-14.8803046523577	-6.89389936020601	-12.9919314431665	-16.9919314431665	-15.9919314431665	-7.94753732380808	-9.82200644172423	-7.23038021072206	-8.39574168702213	-6.20158294641463	-6.12002620550735	-15.9919314431665	-14.9919314431665	-9.42207583483559	-14.6700033482792	-14.9919314431665	-11.2105717296419	-6.12542523094034	-11.0377351327797	-8.00893786847223	-9.51619801220014	-8.96402544659665	-7.63437943854846	-12.085040847558	-18.6859190752726	-13.8220064417242	-13.085040847558	-7.53045199588038	-10.3054309159833	-8.22044197366594	-14.9919314431665	-14.4069689424454	-6.98911642755948	-15.9919314431665	-18.3691627957267	-16.9919314431665	-11.4373425914889	-11.8220064417242	-17.3691627957267	-9.61689201181961	-16.9919314431665	-17.0491040424278	-10.1975155768164	-14.6700033482792	-9.60822715069249	-18.76895318841	-14.4069689424454	-14.6700033482792	-7.15430350999513	-10.2776859255004	-13.2914917250254	-10.3337199604147	-12.4683694871095	-18.76895318841	-18.5651839120823	-16.9919314431665	-18.76895318841	-14.9919314431665	-13.8220064417242	-13.8220064417242	-13.8220064417242	-15.9919314431665	-16.9919314431665	-16.9919314431665	-16.9919314431665	-16.5714267680553	-16.7842002950055	-15.628958093399	-16.770999340384	-18.6859190752726	-18.76895318841	-17.76895318841	-16.5714267680553	-17.6859190752726	-18.6859190752726	-18.3691627957267	-18.3691627957267	-18.3691627957267	-18.0734616935627	-17.6381530492481	-18.5807443704987	-14.5660540381711	-18.5807443704987
2021_10_13_negKO6_16S_PMAPS	-2.5646154066402	-3.3957829421989	-2.32100536057967	-5.2881739681123	-4.75212106787209	-8.88763603852857	-5.35082957596207	-3.81959065110547	-7.50576540318493	-5.06166543830362	-3.18719632038748	-7.00129282032414	-6.45629672692063	-6.20410970332383	-10.7621051564447	-14.8803046523577	-5.69841048112732	-9.2881739681123	-6.97783384750015	-12.3470676571659	-7.24552963070381	-17.2934716488381	-9.84456731663669	-6.73235781305066	-6.392871346779	-6.80274714094206	-18.5807443704987	-11.6101020629997	-7.50576540318493	-8.72257679225808	-12.932030157887	-18.5651839120823	-5.82350570110886	-10.1246752358294	-6.30997833843065	-10.932030157887	-12.3470676571659	-5.2177846402209	-12.3470676571659	-10.932030157887	-8.40846820183001	-10.932030157887	-7.66524361719213	-11.3470676571659	-8.37744130620939	-13.932030157887	-10.932030157887	-6.87674772238584	-17.0902158201331	-13.932030157887	-17.9919314431665	-11.932030157887	-12.3470676571659	-11.6101020629997	-6.03116334990628	-12.932030157887	-17.0491040424278	-7.36217454955608	-7.93203015788703	-13.932030157887	-18.76895318841	-11.6101020629997	-12.932030157887	-11.6101020629997	-8.64662793902478	-9.61010206299966	-7.95475023438711	-17.5651839120823	-18.76895318841	-18.5651839120823	-11.1246752358294	-18.76895318841	-18.3691627957267	-17.3691627957267	-18.76895318841	-17.0491040424278	-18.76895318841	-7.84456731663669	-18.5807443704987	-18.76895318841	-9.93203015788703	-10.932030157887	-12.932030157887	-13.932030157887	-18.6859190752726	-18.76895318841	-17.76895318841	-16.5714267680553	-17.6859190752726	-18.6859190752726	-18.3691627957267	-18.3691627957267	-18.3691627957267	-18.0734616935627	-17.6381530492481	-18.5807443704987	-14.5660540381711	-18.5807443704987
2021_10_13_negKO7_16S_PMAPS	-2.27102691289243	-3.00830063258024	-1.69519911886608	-5.08115733661509	-8.50220958254016	-10.7271759475404	-4.69706061663236	-3.57159872505808	-7.66108675708266	-4.27678946850614	-5.07827914106518	-8.68278182818198	-5.37844779330935	-6.36786563064999	-9.33485852476167	-14.8803046523577	-6.53340420414375	-14.0491040424278	-18.5651839120823	-16.0491040424278	-10.7271759475404	-8.38376812524262	-8.16036079352953	-10.2677443289031	-6.22414530189927	-6.65249926124593	-18.5807443704987	-11.8791790409855	-12.2417491203702	-12.4641415417066	-12.8791790409855	-18.5651839120823	-8.83965067679884	-11.5896724237905	-11.2942165402643	-14.4641415417066	-11.656786619649	-7.76370182356554	-10.9198210254828	-14.4641415417066	-10.3211835878646	-14.0491040424278	-9.62283928772569	-10.8011765289842	-9.390892559676	-13.2417491203702	-14.4641415417066	-6.421570157955	-15.0491040424278	-16.0491040424278	-17.9919314431665	-13.7271759475404	-16.9029167771886	-14.4641415417066	-7.95107195946727	-17.9919314431665	-16.0491040424278	-8.87917904098548	-11.8791790409855	-14.4641415417066	-18.76895318841	-16.0491040424278	-13.7271759475404	-10.4945151907502	-10.6228392877257	-16.5115055957925	-16.0491040424278	-14.4641415417066	-18.76895318841	-18.5651839120823	-10.2162140282631	-15.0491040424278	-18.3691627957267	-17.3691627957267	-18.76895318841	-16.0491040424278	-18.76895318841	-9.49451519075016	-18.5807443704987	-18.76895318841	-16.5714267680553	-16.7842002950055	-15.628958093399	-16.770999340384	-13.7271759475404	-15.0491040424278	-14.0491040424278	-14.4641415417066	-14.4641415417066	-16.0491040424278	-18.3691627957267	-18.3691627957267	-18.3691627957267	-18.0734616935627	-17.6381530492481	-18.5807443704987	-14.5660540381711	-18.5807443704987
2021_10_13_negKO2_16S_PMAPS	-5.19437804516685	-18.3691627957267	-7.89481776330794	-14.5126993175944	-6.43538614467065	-6.08746284125034	-15.4903495057393	-1.65164377983499	-7.08746284125034	-3.50250034052918	-3.23660628055615	-7.08746284125034	-18.3691627957267	-18.3691627957267	-16.0836039787762	-14.8803046523577	-17.5807443704987	-5.89481776330794	-6.89481776330794	-18.76895318841	-5.64689024986436	-6.19437804516685	-15.0672145628855	-16.5824066396913	-13.577192765687	-2.92903347864586	-18.5807443704987	-18.5651839120823	-9.89481776330794	-18.5807443704987	-17.76895318841	-18.5651839120823	-15.4793381941495	-18.76895318841	-16.5841991544598	-15.4641415417066	-16.5841991544598	-15.7492409390223	-15.8929222236306	-8.89481776330794	-8.30985526258679	-16.1039024622767	-6.72489276186563	-17.0734616935627	-16.5841991544598	-17.6859190752726	-17.1843717370997	-16.9354643519871	-17.0902158201331	-18.3691627957267	-17.9919314431665	-8.30985526258679	-16.9029167771886	-17.3691627957267	-5.43538614467065	-17.9919314431665	-17.0491040424278	-3.38702312310925	-6.43538614467065	-16.8492096005693	-18.76895318841	-18.0734616935627	-18.3691627957267	-6.89481776330794	-4.46855300860585	-16.5115055957925	-18.5651839120823	-17.5651839120823	-18.76895318841	-18.5651839120823	-7.57288966842058	-18.76895318841	-18.3691627957267	-17.3691627957267	-18.76895318841	-17.0491040424278	-8.30985526258679	-18.6859190752726	-18.5807443704987	-18.76895318841	-6.72489276186563	-16.7842002950055	-15.628958093399	-16.770999340384	-18.6859190752726	-18.76895318841	-17.76895318841	-16.5714267680553	-17.6859190752726	-18.6859190752726	-8.30985526258679	-9.89481776330794	-18.3691627957267	-18.0734616935627	-17.6381530492481	-18.5807443704987	-14.5660540381711	-18.5807443704987
2021_10_13_negKO3_16S_PMAPS	-2.68612914460434	-4.49042750822861	-3.07739514484014	-8.4797802640291	-5.23632622716482	-10.9822806045583	-5.58996318177952	-1.38671229793496	-7.35778973965049	-6.05944846508074	-5.74706414286425	-6.83932265071624	-7.75988818322184	-5.95253326116423	-11.5672431052794	-14.8803046523577	-9.75988818322183	-6.52284898592099	-18.5651839120823	-11.5672431052794	-5.09150967431304	-12.5672431052794	-9.24531501039208	-7.75988818322184	-7.75988818322184	-5.6724253419715	-18.5807443704987	-18.5651839120823	-16.6381530492481	-12.5672431052794	-12.5672431052794	-18.5651839120823	-5.78588339175478	-18.76895318841	-4.85299758761332	-9.10781148664214	-9.56724310527944	-6.31931559183585	-10.9822806045583	-18.6859190752726	-18.0734616935627	-16.1039024622767	-14.105752293445	-17.0734616935627	-6.24531501039208	-17.6859190752726	-12.5672431052794	-7.52284898592099	-17.0902158201331	-18.3691627957267	-17.9919314431665	-9.75988818322183	-16.9029167771886	-17.3691627957267	-18.76895318841	-17.9919314431665	-17.0491040424278	-9.98228060455828	-18.3589687813473	-8.24531501039208	-18.76895318841	-12.5672431052794	-12.5672431052794	-11.5672431052794	-17.1843717370997	-6.95253326116423	-18.5651839120823	-17.5651839120823	-18.76895318841	-18.5651839120823	-17.9919314431665	-18.76895318841	-18.3691627957267	-17.3691627957267	-18.76895318841	-7.86680338713835	-18.76895318841	-18.6859190752726	-18.5807443704987	-18.76895318841	-16.5714267680553	-16.7842002950055	-15.628958093399	-16.770999340384	-18.6859190752726	-18.76895318841	-17.76895318841	-16.5714267680553	-11.5672431052794	-18.6859190752726	-18.3691627957267	-18.3691627957267	-18.3691627957267	-18.0734616935627	-17.6381530492481	-18.5807443704987	-14.5660540381711	-18.5807443704987
2021_10_13_negKO1_16S_PMAPS	-3.41029616226506	-3.53230479696097	-1.6981104683676	-10.019474900407	-5.86297041472705	-11.2825093062408	-4.68855802229243	-3.03268475762465	-7.06527859002017	-5.53297503857157	-5.2847652801812	-4.77947866059968	-6.00824764498379	-7.07305594061189	-10.2121199783494	-11.019474900407	-6.90399768298711	-6.49591294435003	-12.2825093062408	-13.6044374011282	-3.02559300957	-17.2934716488381	-8.47515438418323	-10.7970824790706	-6.89019188346208	-8.1450057824909	-18.5807443704987	-9.84954989896473	-14.6044374011282	-8.1287039701618	-14.6044374011282	-10.019474900407	-8.08087544507119	-9.6044374011282	-16.5841991544598	-8.53834821067043	-10.019474900407	-8.84954989896473	-11.1450057824909	-12.2825093062408	-18.0734616935627	-12.6044374011282	-6.90399768298711	-17.0734616935627	-12.6044374011282	-17.6859190752726	-14.6044374011282	-7.52762180407737	-14.6044374011282	-14.6044374011282	-17.9919314431665	-12.2825093062408	-16.9029167771886	-17.3691627957267	-6.53834821067043	-14.6044374011282	-17.0491040424278	-7.23811518688238	-8.56004328176975	-12.019474900407	-18.76895318841	-18.0734616935627	-18.3691627957267	-16.5369756656106	-8.00452455894107	-16.5115055957925	-9.47515438418323	-12.6044374011282	-18.76895318841	-18.5651839120823	-10.019474900407	-18.76895318841	-18.3691627957267	-17.3691627957267	-18.76895318841	-17.0491040424278	-18.76895318841	-14.6044374011282	-14.6044374011282	-18.76895318841	-16.5714267680553	-16.7842002950055	-15.628958093399	-14.6044374011282	-14.6044374011282	-14.6044374011282	-17.76895318841	-16.5714267680553	-17.6859190752726	-18.6859190752726	-18.3691627957267	-14.6044374011282	-18.3691627957267	-18.0734616935627	-17.6381530492481	-18.5807443704987	-14.5660540381711	-18.5807443704987
2021_10_27_negKO 1_16S_PMAPS	-1.24415078799043	-2.93195921769928	-2.14291496655605	-5.3796287302478	-7.98238681393301	-9.86455032363915	-5.45615813800232	-5.23662310528242	-8.01341370955363	-4.69698459507076	-5.87163974842547	-6.97092162743955	-5.48712711616008	-7.83653594746955	-7.75561595208598	-11.1446582428319	-7.28904815216706	-9.6543326162488	-8.86455032363915	-8.75561595208598	-6.33730332077428	-9.92226582149543	-9.63008507000212	-8.20605878749603	-10.2890481521671	-8.85047513842742	-10.7820881634472	-12.729620743553	-9.32752229998169	-12.5369756656106	-14.5369756656106	-11.729620743553	-11.3670506641683	-10.5369756656106	-12.2150475707233	-9.92226582149543	-10.9520131648895	-9.86455032363915	-10.4925815462522	-13.2150475707233	-13.5369756656106	-13.9520131648895	-10.8931194758359	-11.8365359474695	-10.4925815462522	-13.9520131648895	-13.2150475707233	-13.5369756656106	-17.0902158201331	-18.3691627957267	-17.9919314431665	-13.2150475707233	-16.9029167771886	-17.3691627957267	-18.76895318841	-15.5369756656106	-17.0491040424278	-15.7999392660634	-18.3589687813473	-14.5369756656106	-18.76895318841	-14.5369756656106	-18.3691627957267	-15.5369756656106	-17.1843717370997	-16.5115055957925	-18.5651839120823	-17.5651839120823	-18.76895318841	-18.5651839120823	-17.9919314431665	-15.5369756656106	-18.3691627957267	-17.3691627957267	-18.76895318841	-14.5369756656106	-15.5369756656106	-18.6859190752726	-15.5369756656106	-18.76895318841	-15.5369756656106	-16.7842002950055	-15.628958093399	-16.770999340384	-18.6859190752726	-18.76895318841	-17.76895318841	-16.5714267680553	-17.6859190752726	-18.6859190752726	-18.3691627957267	-18.3691627957267	-18.3691627957267	-18.0734616935627	-15.5369756656106	-18.5807443704987	-14.5660540381711	-18.5807443704987
