feature,metadata,value,coef,stderr,N,N.not.0,pval,ref_value,pval.adj
Sphingomonas__sanguinis,Control_type,Paraffin,5.45588574742379,0.923734509203769,262,114,1.10861172469541e-8,PCR,2.7050126082568004e-6
Sphingomonas__abietis,Control_type,Paraffin,2.96973263055838,0.601488174957869,262,43,1.42985336910966e-6,PCR,1.7444211103137853e-4
Brevundimonas__sp.__C43,Control_type,Paraffin,3.36136646895158,0.686739366682234,262,45,1.74438258860568e-6,PCR,2.0161390339884595e-4
Mesorhizobium__terrae,Control_type,Buffer,6.06825626633154,1.31199337172002,262,103,5.94490121397183e-6,PCR,5.292094772588296e-4
Burkholderia__contaminans,Control_type,Buffer,5.42382441779389,1.18441705594773,262,91,7.28685516523065e-6,PCR,6.154589978017888e-4
Chryseomicrobium__sp.__FSL__W7.1435,Control_type,Buffer,-3.1315182372363,0.700518255563188,262,29,1.17432743347618e-5,PCR,9.551196458939597e-4
Sphingomonas__paucimobilis,Control_type,Paraffin,5.48736923518918,1.24311895734499,262,156,1.49590361291687e-5,PCR,0.001173215833559088
Burkholderia__cenocepacia,Control_type,Buffer,5.1927676086,1.20527020920681,262,76,2.34624436924821e-5,PCR,0.0016798207093786006
Sphingomonas__sp.__LK11,Control_type,Paraffin,2.41670230693612,0.577863686864872,262,36,3.96971622585967e-5,PCR,0.0024715609758127343
Diaphorobacter__aerolatus,Control_type,Paraffin,-1.99002666493421,0.477686863026342,262,30,4.24250152579945e-5,PCR,0.002517981986663674
Diaphorobacter__sp.__JS3050,Control_type,Paraffin,-3.99020814009658,1.00884800765352,262,45,9.90427496784105e-5,PCR,0.004202084043366024
Brevundimonas__vesicularis,Control_type,Paraffin,3.23241010598289,0.818497680704028,262,53,1.0141641816867e-4,PCR,0.004202084043366024
Ralstonia__sp.__RRA.1,Control_type,Buffer,3.70791832799441,0.938855283366158,262,94,1.0133476747764e-4,PCR,0.004202084043366024
Sphingomonas__hankookensis,Control_type,Paraffin,4.57620342951265,1.16178470654008,262,200,1.055898099282e-4,PCR,0.004215913138224131
Diaphorobacter__aerolatus,Control_type,Buffer,-1.64194602332076,0.417964945315622,262,30,1.1003650943594e-4,PCR,0.004315003120023647
Burkholderia__lata,Control_type,Buffer,4.00954194982619,1.0263275170337,262,72,1.1980278868346e-4,PCR,0.0045730374722322085
Prevotella__histicola,Control_type,Paraffin,-3.35819821165471,0.860061300888701,262,44,1.2078149972198e-4,PCR,0.0045730374722322085
Brevundimonas__diminuta,Control_type,Paraffin,4.62619614041887,1.19805595518777,262,70,1.4283804475599e-4,PCR,0.004978926131494508
Salmonella__enterica,Control_type,Buffer,4.79538012722864,1.24693921772007,262,93,1.5176292996079e-4,PCR,0.005062351728966437
Diaphorobacter__nitroreducens,Control_type,Paraffin,-3.5522833383367,0.923984042580821,262,38,1.5246172813116e-4,PCR,0.005062351728966437
Burkholderia__glumae,Control_type,Buffer,4.04741238372792,1.05369494547082,262,76,1.5445244346118e-4,PCR,0.005062351728966437
Sphingomonas__sp.__R1,Control_type,Paraffin,3.40208710964737,0.896641517372938,262,91,1.8486994569507e-4,PCR,0.005341768430873338
Ralstonia__solanacearum,Control_type,Buffer,2.92175140983427,0.771308249315426,262,72,1.8929734094598e-4,PCR,0.005398661827498339
Prevotella__histicola,Control_type,Buffer,-2.75783632757766,0.75253372537106,262,44,3.0095949331833e-4,PCR,0.008170756433132937
Janthinobacterium__lividum,Control_type,Buffer,2.66330581960762,0.730893119906678,262,84,3.2508778279662e-4,PCR,0.008706009402699727
Sphingomonas__sp.__Y38.1Y,Control_type,Paraffin,3.58126993453781,1.01353987924511,262,142,4.8654963781285e-4,PCR,0.011554742392870146
Rhodobacter__capsulatus,Control_type,Buffer,-2.03517603190956,0.583839519586534,262,27,5.7707886869286e-4,PCR,0.013339633638416006
Sphingomonas__sanxanigenens,Control_type,Paraffin,2.01613472174853,0.581431573875124,262,50,6.1595209920665e-4,PCR,0.013802355202630645
Planococcus__donghaensis,Control_type,Buffer,-2.03929395191573,0.589920527794173,262,29,6.3964927324958e-4,PCR,0.013895122093916577
Burkholderia__cepacia,Control_type,Buffer,2.9093587011165,0.8422258149042,262,62,6.454018458923e-4,PCR,0.013895122093916577
Planococcus__halotolerans,Control_type,Buffer,-1.69235053515689,0.494841463462928,262,30,7.286361689563e-4,PCR,0.014907757653394173
