feature,value,ref_value,coef,stderr,pval,qval
Prevotella__histicola,Paraffin,PCR,-4.9050539785522,0.786503975822464,3.39283429629275e-9,3.7253320573294398e-6
Diaphorobacter__sp.__JS3050,Buffer,PCR,-5.56329747515928,0.964231581977469,3.64687332808195e-8,2.6695112761559873e-5
Schaalia__odontolytica,Paraffin,PCR,-4.56084427022361,0.835817538041575,1.67931346789704e-7,8.158925723423621e-5
Lancefieldella__parvula,Paraffin,PCR,-4.75372784086671,0.896735216169018,3.51567170528461e-7,1.2867358441341674e-4
Diaphorobacter__sp.__JS3050,Paraffin,PCR,-5.28463755962494,1.02194802316114,6.44796255227413e-7,2.0228179663991415e-4
Stenotrophomonas__maltophilia,Paraffin,PCR,6.56086781873367,1.32363152482426,1.71500280314451e-6,4.1846068396726043e-4
Sphingomonas__sanguinis,Paraffin,PCR,5.13746941316587,1.05363957209158,2.46128522734467e-6,5.404982359248895e-4
Diaphorobacter__aerolatus,Buffer,PCR,-2.47786848858277,0.531189205122204,6.20618455522186e-6,0.0011357317736056004
Chryseomicrobium__sp.__FSL__W7.1435,Buffer,PCR,-2.88497332216669,0.638584115776874,1.1615869177872e-5,0.001594278044662932
Prevotella__jejuni,Paraffin,PCR,-4.19412821066948,0.974432136896433,2.81541901798542e-5,0.0034348112019422124
Diaphorobacter__nitroreducens,Buffer,PCR,-4.01673921840746,0.99128806508753,7.69239483185696e-5,0.008106043468612675
Brevundimonas__sp.__C43,Paraffin,PCR,3.79420690691766,0.936824840250557,7.75168091260775e-5,0.008106043468612675
Diaphorobacter__aerolatus,Paraffin,PCR,-2.25899393788307,0.562984835018461,8.96854612476009e-5,0.008952239677260526
Diaphorobacter__nitroreducens,Paraffin,PCR,-4.1382268791779,1.05062403828534,1.1906752941758e-4,0.01069915645237971
Prevotella__melaninogenica,Paraffin,PCR,-5.4693726487108,1.39067994608586,1.2180278292782e-4,0.01069915645237971
Brevundimonas__diminuta,Paraffin,PCR,5.75174214732728,1.47513677166173,1.3848252532255e-4,0.011263245392900733
Bradyrhizobium__arachidis,Paraffin,PCR,2.83911824976654,0.735566103511942,1.6066931509209e-4,0.012043269661415052
Comamonas__aquatica,Buffer,PCR,-3.81916938349668,0.991100023545157,1.6452554182261e-4,0.012043269661415052
Planococcus__halotolerans,Buffer,PCR,-1.70470885798176,0.458914086523718,2.7525389436426e-4,0.015906777684839866
Planococcus__donghaensis,Buffer,PCR,-2.11200972456835,0.58267566704645,3.8138283080644e-4,0.019477132475603308
