Normalization,Method,Pairs,R2,p_value
Wrench,ND,R1_vs_R2,0.25170251799150284,1e-4
Wrench,ND,R1_vs_FFPE,0.15129008454906262,5e-4
Wrench,ND,R2_vs_FFPE,0.3125227581708549,1e-4
Wrench,Restrictive,R1_vs_R2,0.07374485545543585,0.0589
Wrench,Restrictive,R1_vs_FFPE,0.10610733762998777,1e-4
Wrench,Restrictive,R2_vs_FFPE,0.10683454953522166,1e-4
Wrench,Decontam,R1_vs_R2,0.12429821350180952,0.0017
Wrench,Decontam,R1_vs_FFPE,0.28635669768211913,1e-4
Wrench,Decontam,R2_vs_FFPE,0.32848933205277625,1e-4
Wrench,SCRuB,R1_vs_R2,0.06387609979949153,0.1807
Wrench,SCRuB,R1_vs_FFPE,0.09978943341961696,1e-4
Wrench,SCRuB,R2_vs_FFPE,0.09151650492946987,0.0017
Wrench,Nj,R1_vs_R2,0.06493062468605941,0.1384
Wrench,Nj,R1_vs_FFPE,0.12496501887194518,1e-4
Wrench,Nj,R2_vs_FFPE,0.12110099606542518,1e-4
Rarefaction,ND,R1_vs_R2,0.242988456602422,1e-4
Rarefaction,ND,R1_vs_FFPE,0.1677765428266889,4e-4
Rarefaction,ND,R2_vs_FFPE,0.4010234075348948,1e-4
Rarefaction,Restrictive,R1_vs_R2,0.07258501671791576,0.0634
Rarefaction,Restrictive,R1_vs_FFPE,0.09766982188742232,1e-4
Rarefaction,Restrictive,R2_vs_FFPE,0.09492446997434831,1e-4
Rarefaction,Decontam,R1_vs_R2,0.13127827151015942,0.0036
Rarefaction,Decontam,R1_vs_FFPE,0.3546548014462734,1e-4
Rarefaction,Decontam,R2_vs_FFPE,0.4007488515677646,2e-4
Rarefaction,SCRuB,R1_vs_R2,0.06033978991865491,0.2724
Rarefaction,SCRuB,R1_vs_FFPE,0.10490908122539912,2e-4
Rarefaction,SCRuB,R2_vs_FFPE,0.09547641290825791,0.0016
Rarefaction,Nj,R1_vs_R2,0.08223544593099551,0.0608
Rarefaction,Nj,R1_vs_FFPE,0.1471920422189195,1e-4
Rarefaction,Nj,R2_vs_FFPE,0.14761494887502832,1e-4
