feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acinetobacter_baumannii	LP	2	2.03554842627889	0.0484484464833779	16	16	2.8425181253039e-15	1.97270757896091e-12
Escherichia_coli	LP	2	0.921662350544331	0.04966790469928	16	16	9.75342765932603e-11	3.38443939778613e-08
Variovorax_sp._RA8	LP	2	-3.39149279705819	0.229769364882277	16	10	1.68360045972696e-09	3.89472906350169e-07
Variovorax_paradoxus	LP	2	-3.19580343854298	0.259171310279819	16	16	1.50704184527379e-08	2.61471760155002e-06
Klebsiella_quasipneumoniae	LP	2	-0.766436200678925	0.073616086818163	16	16	1.12498913563331e-07	1.1893786371499e-05
Stenotrophomonas_maltophilia	LP	2	-0.639318485742424	0.060556903589545	16	16	9.55576688732331e-08	1.1893786371499e-05
Brevundimonas_sp._DS20	LP	2	3.81148972130375	0.368110656289552	16	12	1.19966144957483e-07	1.1893786371499e-05
Calothrix_sp._NIES.3974	LP	2	-2.12760594700637	0.222488878043511	16	16	3.01496379293157e-07	2.61548109036814e-05
Shigella_flexneri	LP	2	3.31815183132703	0.362898101901437	16	13	5.03256238863041e-07	3.88066477523278e-05
Hydrogenophaga_taeniospiralis	LP	2	-3.23165310923982	0.358081616134054	16	11	5.83595233433058e-07	4.05015092002542e-05
Brevundimonas_fontaquae	LP	2	2.42946874757561	0.284012489662603	16	8	1.06623421356753e-06	6.72696858378063e-05
Variovorax_sp._PBL.H6	LP	2	-2.57599012180562	0.328749338087185	16	8	2.80436277024324e-06	0.000162185646879068
Variovorax_sp._SRS16	LP	2	-2.51953877383423	0.36215788996766	16	15	9.96146072419514e-06	0.00053178874943011
Variovorax_sp._PAMC_28711	LP	2	-3.0323154717027	0.492245732122077	16	9	3.43122543349245e-05	0.0017009074648884
Fischerella_sp._NIES.3754	LP	2	-2.41745356288511	0.399836526035275	16	16	4.12497516120456e-05	0.00190848850791731
cyanobacterium_endosymbiont_of_Epithemia_turgida	LP	2	-2.02073689695941	0.340396650164552	16	13	4.93250495451147e-05	0.00213947402401935
Escherichia_albertii	LP	2	2.24473644610638	0.410837990224907	16	16	0.000108635079484598	0.00443486736248887
Sphingomonas_panacisoli	LP	2	-0.993687874926557	0.185882084098689	16	16	0.000132951123147912	0.00512600441470282
Sphingomonas_sp._FARSPH	LP	2	-0.987254843069378	0.19247654304813	16	16	0.000193577696755945	0.00707068008150661
Salmonella_enterica	LP	2	2.3219097547748	0.455300453731415	16	9	0.000203839119998027	0.00707321746393155
Sphingomonas_sp._S2.65	LP	2	-1.80073789040321	0.365280202410378	16	14	0.000275153329553874	0.00909316241478042
Sphingomonas_koreensis	LP	2	-1.71967153863296	0.395637269791286	16	16	0.000791975924484813	0.0238970126779331
Escherichia_fergusonii	LP	2	2.19418601391856	0.503753385684628	16	10	0.000778790606182561	0.0238970126779331
Sphingomonas_sinipercae	LP	2	2.39789340597254	0.554667475288224	16	10	0.00082709791841563	0.0239169148075186
Acidovorax_sp._KKS102	LP	2	-1.71101019241411	0.398285711611776	16	7	0.000869796776477753	0.0241455585150224
Sphingomonas_suaedae	LP	2	-1.93618920251031	0.490643490005679	16	12	0.00167342443445489	0.0446675599042958
Rhodoferax_koreense	LP	2	-2.01394607004982	0.524313738180343	16	11	0.0020416598537892	0.0524782199455446
Thermoleptolyngbya_sp._PKUAC.SCTB121	LP	2	-1.39625442054529	0.375890960985829	16	6	0.00259716347489865	0.0621528086751608
Roseateles_amylovorans	Environment	HOOD	1.35559570707653	0.363314406703929	16	6	0.00251597369635755	0.0621528086751608
Sphingomonas_alpina	LP	2	-1.83614639249259	0.515058309936583	16	11	0.00345618638905371	0.0799531118001092
Delftia_acidovorans	LP	2	-1.96288789470847	0.554477744261172	16	15	0.00362473044822178	0.0811471913247069
Sphingomonas_sp._QA11	LP	2	-0.936056474798393	0.267528669614118	16	16	0.00392229915764647	0.0850648629814579
Phyllobacterium_sp._T1018	LP	2	-2.24452937024223	0.655839525271536	16	12	0.00454279742837481	0.0927265122144741
Fischerella_sp._JS2	LP	2	-2.08494400619399	0.607325441093099	16	10	0.00445111007106133	0.0927265122144741
Croceicoccus_sp._YJ47	LP	2	-0.720815038708019	0.221287284209553	16	5	0.00623907600453591	0.123711964204226
Calothrix_sp._NIES.3974	Environment	HOOD	-0.718534099614428	0.222488878043511	16	16	0.00658257502857799	0.126897418606476
Variovorax_sp._PBL.E5	Environment	HOOD	1.34171864553419	0.433458259668638	16	15	0.00852219630535607	0.15833159416758
Variovorax_sp._PBL.E5	LP	2	-1.33786063262112	0.433458259668638	16	15	0.00866945328295105	0.15833159416758
Variovorax_sp._SRS16	Environment	HOOD	1.11140371218556	0.36215788996766	16	15	0.00896889467960536	0.159600330965285
Acidovorax_carolinensis	Environment	HOOD	1.39602112990679	0.464541021261391	16	9	0.0101377538077072	0.175890028563719
Variovorax_sp._RA8	Environment	HOOD	0.679803786780401	0.229769364882277	16	10	0.0110863499796314	0.18765675331376
Acidovorax_carolinensis	LP	2	-1.31576128662261	0.464541021261391	16	9	0.014125759946708	0.218922963927496
Variovorax_sp._PMC12	Environment	HOOD	0.973331127663267	0.345105578323946	16	16	0.0144543431101864	0.218922963927496
Calothrix_sp._336.3	LP	2	-1.51318607754027	0.539052445113134	16	14	0.0148261949633895	0.218922963927496
Dolichospermum_flos.aquae	LP	2	-1.20853159056612	0.42931390945019	16	8	0.0146033869586554	0.218922963927496
Nostoc_sp._MS1	Environment	HOOD	-0.979894953410964	0.34297970725969	16	13	0.0134747584507537	0.218922963927496
Rhodoferax_sp._GW822.FHT02A01	LP	2	-1.06337658595156	0.373050595903728	16	5	0.01364416866133	0.218922963927496
Sphingomonas_endolithica	LP	2	1.48927655865968	0.533886493383177	16	9	0.0153347822032513	0.221715392688675
Shigella_boydii	LP	2	1.79112794489095	0.656500554469488	16	6	0.0172377738082827	0.244143163733637
