feature	Peptoniphilaceae	Oscillospiraceae	Lachnospiraceae	Campylobacteraceae	Phyllobacteriaceae	Pseudomonadaceae	Peptostreptococcaceae	Streptococcaceae	Clostridiaceae	Veillonellaceae	Enterobacteriaceae	Lactobacillaceae	Eubacteriales_unclassified_order	Anaerovoracaceae	Lysobacteraceae	Bacteroidaceae	Propionibacteriaceae	Moraxellaceae	Rhizobiaceae	Staphylococcaceae	Oxalobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Enterococcaceae	Pasteurellaceae	Planococcaceae	Corynebacteriaceae	Bacillaceae	Brucellaceae	Burkholderiaceae	Gemellaceae	Fusobacteriaceae	Tannerellaceae	Carnobacteriaceae	Prevotellaceae	Porphyromonadaceae	Sphaerotilaceae	Atopobiaceae	Yersiniaceae	Sphingomonadaceae	Aerococcaceae	Natronincolaceae	Erwiniaceae	Acidaminococcaceae	Pectobacteriaceae	Bruguierivoracaceae	Vibrionaceae	Actinomycetaceae	Microbacteriaceae	Morganellaceae	Methylobacteriaceae	Hafniaceae	Methylocystaceae	Comamonadaceae	Burkholderiales_unclassified_order	Selenomonadaceae	Aeromonadaceae	Filifactoraceae	Tissierellaceae	Neisseriaceae	Rhodocyclaceae	Flavobacteriaceae	Listeriaceae	Sterolibacteriaceae	Devosiaceae	Chromobacteriaceae	Weeksellaceae	Alcaligenaceae	Acetobacteraceae	Sphingosinicellaceae	Hyphomicrobiaceae	Micrococcaceae	Caulobacteraceae	Nitrobacteraceae	Nautiliaceae	Zoogloeaceae	Boseaceae	Hyphomicrobiales_unclassified_order	Stappiaceae	Erythrobacteraceae	Gallionellaceae	Nostocaceae	Beijerinckiaceae	Xanthobacteraceae	Blastochloridaceae	Paracoccaceae	Stellaceae	Roseobacteraceae	Azospirillaceae	Betaproteobacteria_unclassified_class	Synechococcaceae	Oscillatoriaceae	Zymomonadaceae	Rhodospirillaceae
2021_11_16_negKO1_16S_PMAPS	6148	1027	1420	207	256	25	819	1259	212	1386	1780	136	143	367	4	105	54	22	15	3	10	50	131	622	0	1	1	1	24	191	0	2	46	208	1	30	10	5	29	87	3	4	256	0	0	1	4	0	0	27	2	0	46	46	49	0	0	2	63	2	12	1	0	0	0	0	33	0	1	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_11_16_negKO3_16S_PMAPS	2775	1	665	1271	107	20	799	68071	6	49543	1337	1698	1	1	76	41	2	0	2	72	70	0	4196	1254	0	0	36	2	31	6271	232	67	1737	2532	112	73	17	43	166	21666	8	9	17	8	1	3	194	0	2	5	3	0	145	95	1856	1	74	1	183	41	1595	4	0	5	0	9	1	1	2	0	4	0	2	0	0	0	0	0	1	0	0	0	6	0	1	1	1	0	0	0	0	0	0
2021_11_16_negKO2_16S_PMAPS	22531	9727	34249	97	6849	1	8919	9773	1353	88499	6749	1769	1096	1169	0	267	2030	204	171	7053	690	269	17	21	3	56	9	38	312	438	199	725	84	386	53	1	0	291	894	10	2	16	924	7	2	0	251	0	5	1	11	0	248	12	112	587	14	11	5	46	0	217	29	4	0	0	0	0	9	0	0	1	1	3	84	0	0	8	1	2	33	0	2	1	11	3	0	0	6	19	0	0	0
2022_04_20_neg_ctrl3_16S_PMAPS	146	0	0	0	22	93	0	3007	0	984	709	164	1	0	0	0	676	250	1	1	2	0	89	0	319	0	275	1	4654	612	0	0	59	12	0	0	0	1	2015	30	0	2	0	0	1	0	3	0	0	0	2	0	0	0	12	7	0	0	581	0	0	0	0	0	0	0	3	0	35	0	39	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2022_04_20_neg_ctrl2_16S_PMAPS	1107	77	7	0	753	0	442	315	0	123	0	0	0	0	0	100	0	0	3	0	45	0	0	0	3	0	117	9	0	0	4	0	1	0	0	0	0	0	8593	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	596	0	541	0	0	0	0	115	0	0	132	0	0	0	0	0	0	0	0	3	11	0	2	0	0	0	0	0	0	0	0	0	0	8	0
2022_04_20_neg_ctrl1_16S_PMAPS	12116	431	1678	933	9	21	4677	760	35	2031	3808	69	93	480	61	30	0	0	0	19	157	121	29	106	0	0	0	0	2524	0	18	74	13	286	28	27	19	15	1982	37	13	12	72	3	5	1	1	0	4	27	20	0	27	2	0	1	5	6	0	0	0	0	1	0	1	0	5	4	34	1	0	0	630	0	0	1	0	0	5	0	0	0	0	1	18	0	0	0	0	0	0	1	0
2022_04_20_neg_ctrl4_16S_PMAPS	0	0	0	0	25	16	0	472	0	443	0	0	0	0	0	0	9	5	0	17	2	0	3	137	0	0	0	0	3354	1	0	0	3	13	0	0	0	4	486	2	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	92	0	0	0	0	0	0	0	3	0	4	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2022_07_11_neg KO 1_16S_PMAPS	631	9	3101	589	96	25	1688	15886	46	7491	7	47	5	1586	0	30	237	27	0	116	24	300	528	4421	0	215	14	1	17501	2182	4958	658	224	1742	155	1	345	3	1973	675	11	1	7	0	1	38	1037	0	1	0	0	0	4	0	1423	0	513	0	901	1	388	0	0	0	0	5	5	0	39	0	419	0	0	1	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_07_11_neg KO 2_16S_PMAPS	269	0	3090	482	256	0	723	14125	75	8852	6	17	3	227	0	1	25	59	1	92	2	71	322	4938	0	18	5	1	14945	1130	1199	13	138	1002	3	0	15	2	131	223	9	4	15	2	0	29	230	0	3	21	0	0	2	0	1567	0	388	0	195	0	34	0	1	0	4	255	3	0	0	0	112	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_07_11_neg KO 3_16S_PMAPS	2770	414	440	1073	1	0	66	397	8	275	311	1	64	69	0	41	0	0	0	22	0	157	9	56	0	0	0	0	207	12	13	0	4	18	17	0	0	0	43	9	0	0	0	1	0	1	4	0	0	2	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
