feature	Peptoniphilaceae	Oscillospiraceae	Lachnospiraceae	Campylobacteraceae	Phyllobacteriaceae	Pseudomonadaceae	Peptostreptococcaceae	Streptococcaceae	Clostridiaceae	Veillonellaceae	Enterobacteriaceae	Lactobacillaceae	Eubacteriales_unclassified_order	Anaerovoracaceae	Lysobacteraceae	Bacteroidaceae	Propionibacteriaceae	Moraxellaceae	Rhizobiaceae	Staphylococcaceae	Oxalobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Enterococcaceae	Pasteurellaceae	Planococcaceae	Corynebacteriaceae	Bacillaceae	Brucellaceae	Burkholderiaceae	Gemellaceae	Fusobacteriaceae	Tannerellaceae	Carnobacteriaceae	Prevotellaceae	Porphyromonadaceae	Sphaerotilaceae	Atopobiaceae	Yersiniaceae	Sphingomonadaceae	Aerococcaceae	Natronincolaceae	Erwiniaceae	Acidaminococcaceae	Pectobacteriaceae	Bruguierivoracaceae	Vibrionaceae	Actinomycetaceae	Microbacteriaceae	Morganellaceae	Methylobacteriaceae	Hafniaceae	Methylocystaceae	Comamonadaceae	Burkholderiales_unclassified_order	Selenomonadaceae	Aeromonadaceae	Filifactoraceae	Tissierellaceae	Neisseriaceae	Rhodocyclaceae	Flavobacteriaceae	Listeriaceae	Sterolibacteriaceae	Devosiaceae	Chromobacteriaceae	Weeksellaceae	Alcaligenaceae	Acetobacteraceae	Sphingosinicellaceae	Hyphomicrobiaceae	Micrococcaceae	Caulobacteraceae	Nitrobacteraceae	Nautiliaceae	Zoogloeaceae	Boseaceae	Hyphomicrobiales_unclassified_order	Stappiaceae	Erythrobacteraceae	Gallionellaceae	Nostocaceae	Beijerinckiaceae	Xanthobacteraceae	Blastochloridaceae	Paracoccaceae	Stellaceae	Roseobacteraceae	Azospirillaceae	Betaproteobacteria_unclassified_class	Synechococcaceae	Oscillatoriaceae	Zymomonadaceae	Rhodospirillaceae
2021_11_16_negKO1_16S_PMAPS	-1.50089823593268	-4.08257921930526	-3.61512447123141	-6.39331272812413	-6.08679968562345	-9.44294349584873	-4.40908004398244	-3.78873711790444	-6.35887923106025	-3.65008814348624	-3.28913815976969	-6.99933684437311	-6.92692834884506	-5.56716343278024	-12.0867996856235	-7.37255416795733	-8.33191218345998	-9.62736806698616	-10.1799090900149	-12.5018371849023	-10.7648715907361	-8.44294349584873	-7.053376684086	-4.80602891549285	-17.2934716488381	-14.0867996856235	-14.0867996856235	-14.0867996856235	-9.5018371849023	-6.5093708575877	-16.5841991544598	-13.0867996856235	-8.56323772956644	-6.38635996748236	-14.0867996856235	-9.17990909001493	-10.7648715907361	-11.7648715907361	-9.22881869049588	-7.64385618977472	-12.5018371849023	-12.0867996856235	-6.08679968562345	-17.0904225988408	-18.3689838250953	-14.0867996856235	-12.0867996856235	-16.9028461370639	-17.3689838250953	-9.33191218345998	-13.0867996856235	-16.9028461370639	-8.56323772956644	-8.56323772956644	-8.47208984150824	-18.7683006497833	-17.0904225988408	-13.0867996856235	-8.10951976212354	-13.0867996856235	-10.5018371849023	-14.0867996856235	-16.7559307410844	-18.7683006497833	-17.6377569454121	-15.199058823653	-9.042405566265	-18.3689838250953	-14.0867996856235	-18.7683006497833	-16.4843194236443	-10.7648715907361	-18.6778985361841	-17.6377569454121	-18.7683006497833	-16.5714267680553	-15.628958093399	-14.0867996856235	-18.6778985361841	-18.7683006497833	-17.7683006497833	-16.5714267680553	-17.6778985361841	-18.6778985361841	-18.3689838250953	-18.3689838250953	-18.3689838250953	-16.5714267680553	-17.6377569454121	-14.4299710227405	-14.5660540381711	-17.6377569454121	-15.9354873726756
2021_11_16_negKO3_16S_PMAPS	-5.9307117689705	-17.3689838250953	-7.99177329470678	-7.05723551009037	-10.6275168386942	-13.047055730208	-7.72693213216736	-1.31423114168426	-14.7840213243742	-1.77259021414207	-6.98420007500198	-6.6393630815423	-17.3689838250953	-17.3689838250953	-11.1210563116517	-12.0114318204773	-16.3689838250953	-16.5606313743151	-16.3689838250953	-11.199058823653	-11.2397008081504	-15.0665679044072	-5.33418486251807	-7.07666219229329	-17.2934716488381	-17.2934716488381	-12.199058823653	-16.3689838250953	-12.4147875147085	-4.75450402085	-9.51100282996776	-11.3028946346376	-6.60660178638494	-6.06292213566699	-10.5616289030377	-11.1791592662153	-13.281520983845	-11.9427190703932	-9.99394439374841	-2.96583861942554	-14.3689838250953	-14.199058823653	-13.281520983845	-14.3689838250953	-17.3689838250953	-15.7840213243742	-9.76907098290821	-16.9028461370639	-16.3689838250953	-15.047055730208	-15.7840213243742	-16.9028461370639	-10.1890747350804	-10.7991282167644	-6.51100282996776	-17.3689838250953	-11.1595304594664	-17.3689838250953	-9.85328398681129	-12.0114318204773	-6.7296431164431	-15.3689838250953	-16.7559307410844	-15.047055730208	-17.6377569454121	-14.199058823653	-17.3689838250953	-17.3689838250953	-16.3689838250953	-18.7683006497833	-15.3689838250953	-18.7683006497833	-16.3689838250953	-17.6377569454121	-18.7683006497833	-16.5714267680553	-15.628958093399	-16.7559307410844	-17.3689838250953	-18.7683006497833	-17.7683006497833	-16.5714267680553	-14.7840213243742	-18.6778985361841	-17.3689838250953	-17.3689838250953	-17.3689838250953	-16.5714267680553	-17.6377569454121	-14.4299710227405	-14.5660540381711	-17.6377569454121	-15.9354873726756
2021_11_16_negKO2_16S_PMAPS	-3.21827481008196	-4.43011933371889	-2.61412429165937	-11.077985693997	-4.93622089123824	-17.6778985361841	-4.5552322875553	-4.42331275987467	-7.27595241220756	-1.24452500316999	-4.9574404977908	-6.88918020349364	-7.57986645322357	-7.48683932165244	-13.8810183387999	-9.61720260449654	-6.69063452411156	-10.0054731942126	-10.2600460212982	-4.89387721180992	-8.24744598451857	-9.60643617362747	-13.5904356949338	-13.2855811134053	-16.0929360354629	-11.8705436141265	-14.5079735347418	-12.4299710227405	-9.39249631732185	-8.90311147658292	-10.0412739156404	-8.1760613512818	-11.2855811134053	-9.08544149891602	-11.9499780816209	-17.6778985361841	-16.8492096005693	-9.49302319327581	-7.87376751500078	-14.3559704412967	-16.6778985361841	-13.6778985361841	-7.82614949476804	-14.8705436141265	-16.6778985361841	-17.9070901734025	-9.70635498223333	-16.9028461370639	-15.3559704412967	-17.6778985361841	-14.2184669175468	-16.9028461370639	-9.72370222579722	-14.0929360354629	-10.8705436141265	-8.48068184307404	-13.8705436141265	-14.2184669175468	-15.3559704412967	-12.1543365801271	-16.5115055957925	-9.91634730373962	-12.8199175410565	-15.6778985361841	-17.6377569454121	-15.199058823653	-18.7683006497833	-18.3689838250953	-14.5079735347418	-18.7683006497833	-16.4843194236443	-17.6778985361841	-17.6778985361841	-16.0929360354629	-11.2855811134053	-16.5714267680553	-15.628958093399	-14.6778985361841	-17.6778985361841	-16.6778985361841	-12.6335044168256	-16.5714267680553	-16.6778985361841	-17.6778985361841	-14.2184669175468	-16.0929360354629	-18.3689838250953	-16.5714267680553	-15.0929360354629	-13.4299710227405	-14.5660540381711	-17.6377569454121	-15.9354873726756
2022_04_20_neg_ctrl3_16S_PMAPS	-6.66514119521958	-18.3689838250953	-15.0976618183155	-14.5126993175944	-9.3955341354623	-7.31580694299157	-15.4903495057393	-2.3008566015256	-17.0904225988408	-3.91245124876036	-4.38532393686008	-6.49741374948152	-13.8549657540996	-18.3689838250953	-13.8810183387999	-16.7559307410844	-4.45408631781742	-5.88918146943751	-13.8549657540996	-13.8549657540996	-12.8549657540996	-15.0665679044072	-7.3792323231332	-15.7492409390223	-5.53755314033473	-17.2934716488381	-5.75167794568758	-13.8549657540996	-1.67071025869425	-4.59757791140695	-16.5841991544598	-15.4473415653707	-7.97232270473776	-10.2700032533784	-15.8810183387999	-18.6778985361841	-16.8492096005693	-13.8549657540996	-2.87840163068427	-8.94807515849108	-17.6778985361841	-12.8549657540996	-16.9354873726756	-17.0904225988408	-13.8549657540996	-17.9070901734025	-12.2700032533784	-16.9028461370639	-17.3689838250953	-18.7683006497833	-12.8549657540996	-16.9028461370639	-15.7999392660634	-17.0904225988408	-10.2700032533784	-11.047610832042	-17.0904225988408	-18.3689838250953	-4.67257140069507	-17.1424461465386	-16.5115055957925	-16.9028461370639	-16.7559307410844	-18.7683006497833	-17.6377569454121	-15.199058823653	-12.2700032533784	-18.3689838250953	-8.72568273715463	-18.7683006497833	-8.56956353523735	-18.7683006497833	-12.8549657540996	-17.6377569454121	-18.7683006497833	-16.5714267680553	-15.628958093399	-16.7559307410844	-11.2700032533784	-18.7683006497833	-17.7683006497833	-16.5714267680553	-17.6778985361841	-18.6778985361841	-18.3689838250953	-18.3689838250953	-18.3689838250953	-16.5714267680553	-17.6377569454121	-14.4299710227405	-14.5660540381711	-13.8549657540996	-15.9354873726756
2022_04_20_neg_ctrl2_16S_PMAPS	-3.56572045076121	-7.41137341684786	-10.8708050354852	-14.5126993175944	-4.12165390287083	-18.6778985361841	-4.89025739815133	-5.37895193915548	-17.0904225988408	-6.73564545220352	-16.4903495057393	-16.4903495057393	-18.3689838250953	-18.3689838250953	-13.8810183387999	-7.03430376776804	-17.3689838250953	-16.5606313743151	-12.0931974568216	-15.7999392660634	-8.18630686121308	-15.0665679044072	-16.5824066396913	-15.7492409390223	-12.0931974568216	-17.2934716488381	-6.80779523795935	-10.5082349561004	-16.5089398696924	-15.4793381941495	-11.6781599575428	-15.4473415653707	-13.6781599575428	-15.7492409390223	-15.8810183387999	-18.6778985361841	-16.8492096005693	-16.102877893637	-0.609213777893976	-16.5841991544598	-17.6778985361841	-17.1424461465386	-16.9354873726756	-17.0904225988408	-18.3689838250953	-17.9070901734025	-16.0356582722941	-16.9028461370639	-13.6781599575428	-18.7683006497833	-16.7840213243742	-16.9028461370639	-15.7999392660634	-17.0904225988408	-16.8492096005693	-18.7683006497833	-17.0904225988408	-18.3689838250953	-4.4589914370806	-17.1424461465386	-4.59867517371594	-16.9028461370639	-16.7559307410844	-18.7683006497833	-17.6377569454121	-6.83266990659838	-18.7683006497833	-18.3689838250953	-6.63376583818431	-18.7683006497833	-16.4843194236443	-18.7683006497833	-18.6778985361841	-17.6377569454121	-18.7683006497833	-16.5714267680553	-15.628958093399	-12.0931974568216	-10.2187283389055	-18.7683006497833	-12.6781599575428	-16.5714267680553	-17.6778985361841	-18.6778985361841	-18.3689838250953	-18.3689838250953	-18.3689838250953	-16.5714267680553	-17.6377569454121	-14.4299710227405	-14.5660540381711	-10.6781599575428	-15.9354873726756
2022_04_20_neg_ctrl1_16S_PMAPS	-1.4710324094987	-6.28411421320497	-4.32313127185425	-5.16992500144231	-11.8657332708518	-10.6433408495153	-2.84429055887513	-5.46580266396312	-9.9063752553491	-4.04768374799792	-3.14084050898613	-8.9271338155159	-8.49649946118604	-6.12876767668555	-9.10492093473118	-10.1287676766856	-17.3689838250953	-16.5606313743151	-18.7683006497833	-10.7877307588505	-7.74103752340244	-8.11679503501948	-10.1776772771665	-8.30773781773087	-17.2934716488381	-17.2934716488381	-16.6377569454121	-17.7683006497833	-3.73416207731152	-15.4793381941495	-10.8657332708518	-8.82620490666512	-11.335218554153	-6.87578693551568	-10.2283033502365	-10.2807707701306	-10.7877307588505	-11.1287676766856	-4.08291702510758	-9.82620490666512	-11.335218554153	-11.4506957715729	-8.86573327085176	-13.4506957715729	-12.7137301774067	-15.0356582722941	-15.0356582722941	-16.9028461370639	-13.0356582722941	-10.2807707701306	-10.7137301774067	-16.9028461370639	-10.2807707701306	-14.0356582722941	-16.8492096005693	-15.0356582722941	-12.7137301774067	-12.4506957715729	-16.3559704412967	-17.1424461465386	-16.5115055957925	-16.9028461370639	-15.0356582722941	-18.7683006497833	-15.0356582722941	-15.199058823653	-12.7137301774067	-13.0356582722941	-9.94819543104373	-15.0356582722941	-16.4843194236443	-18.7683006497833	-5.73645025390679	-17.6377569454121	-18.7683006497833	-15.0356582722941	-15.628958093399	-16.7559307410844	-12.7137301774067	-18.7683006497833	-17.7683006497833	-16.5714267680553	-17.6778985361841	-15.0356582722941	-10.8657332708518	-18.3689838250953	-18.3689838250953	-16.5714267680553	-17.6377569454121	-14.4299710227405	-14.5660540381711	-15.0356582722941	-15.9354873726756
2022_04_20_neg_ctrl4_16S_PMAPS	-15.9028461370639	-18.3689838250953	-15.0976618183155	-14.5126993175944	-7.67976157351685	-8.32361776329158	-15.4903495057393	-3.44097471392974	-17.0904225988408	-3.53245487473656	-16.4903495057393	-16.4903495057393	-18.3689838250953	-18.3689838250953	-13.8810183387999	-16.7559307410844	-9.15369276184927	-10.0016896684042	-18.7683006497833	-8.23615492204124	-11.3236177632916	-15.0665679044072	-10.7386552625704	-5.22558568033105	-17.2934716488381	-17.2934716488381	-16.6377569454121	-17.7683006497833	-0.611950789727231	-12.3236177632916	-16.5841991544598	-15.4473415653707	-10.7386552625704	-8.62317804515049	-15.8810183387999	-18.6778985361841	-16.8492096005693	-10.3236177632916	-3.3988052596858	-11.3236177632916	-17.6778985361841	-17.1424461465386	-12.3236177632916	-17.0904225988408	-18.3689838250953	-17.9070901734025	-16.0356582722941	-16.9028461370639	-17.3689838250953	-18.7683006497833	-16.7840213243742	-16.9028461370639	-11.3236177632916	-12.3236177632916	-16.8492096005693	-18.7683006497833	-17.0904225988408	-18.3689838250953	-5.80005580723456	-17.1424461465386	-16.5115055957925	-16.9028461370639	-16.7559307410844	-18.7683006497833	-17.6377569454121	-15.199058823653	-10.7386552625704	-18.3689838250953	-10.3236177632916	-18.7683006497833	-7.41672716768306	-18.7683006497833	-18.6778985361841	-17.6377569454121	-18.7683006497833	-16.5714267680553	-15.628958093399	-16.7559307410844	-18.6778985361841	-18.7683006497833	-17.7683006497833	-16.5714267680553	-17.6778985361841	-18.6778985361841	-18.3689838250953	-18.3689838250953	-18.3689838250953	-16.5714267680553	-12.3236177632916	-14.4299710227405	-14.5660540381711	-17.6377569454121	-15.9354873726756
2022_07_11_neg KO 1_16S_PMAPS	-6.84094995155603	-12.9725211450963	-4.54392833592595	-6.94032232270812	-9.55748364581742	-11.4985899567639	-5.42134695783139	-2.18697785857876	-10.6188841904816	-3.27150353988921	-13.335091224481	-10.5878572948609	-13.8205180516512	-5.5112690908346	-13.8810183387999	-11.2355555509301	-8.25370289764032	-11.3875586443751	-18.7683006497833	-9.28446515141101	-11.5574836458174	-7.9136274560427	-7.09805202718012	-4.03228912758451	-17.2934716488381	-8.39425329694912	-12.335091224481	-16.1424461465386	-2.04729640757023	-5.05101076021497	-3.86690359045186	-6.78050237280334	-8.33509122448097	-5.37591723793971	-8.86632174126434	-16.1424461465386	-7.71199359487305	-14.5574836458174	-5.19627090581502	-6.74370245460038	-12.6830145279013	-16.1424461465386	-13.335091224481	-17.0904225988408	-16.1424461465386	-10.894518633095	-6.12424596772535	-16.9028461370639	-16.1424461465386	-18.7683006497833	-16.7840213243742	-16.9028461370639	-14.1424461465386	-17.0904225988408	-5.66772620001209	-18.7683006497833	-7.13963113093152	-18.3689838250953	-6.32706285072504	-16.1424461465386	-7.54253330435145	-16.9028461370639	-16.7559307410844	-18.7683006497833	-17.6377569454121	-13.8205180516512	-13.8205180516512	-18.3689838250953	-10.8570439276763	-18.7683006497833	-7.43163971283923	-18.7683006497833	-18.6778985361841	-16.1424461465386	-16.1424461465386	-16.5714267680553	-15.628958093399	-16.7559307410844	-14.5574836458174	-16.1424461465386	-17.7683006497833	-16.5714267680553	-17.6778985361841	-18.6778985361841	-18.3689838250953	-18.3689838250953	-18.3689838250953	-16.5714267680553	-17.6377569454121	-14.4299710227405	-14.5660540381711	-17.6377569454121	-15.9354873726756
2022_07_11_neg KO 2_16S_PMAPS	-7.68446837852777	-18.3689838250953	-4.16253961829266	-6.84304140485444	-7.7559307410844	-18.6778985361841	-6.25807890413328	-1.96996749400712	-9.52711205058852	-2.64414300528339	-13.1709682403632	-11.6684678998341	-14.1709682403632	-7.92938225379348	-13.8810183387999	-15.7559307410844	-11.1120745513097	-9.87328769172256	-15.7559307410844	-9.23236878502739	-14.7559307410844	-9.60618362157972	-7.42501386296978	-3.48621961994162	-17.2934716488381	-11.5860057396421	-13.434002646197	-15.7559307410844	-1.88855546451894	-5.61382368378185	-5.52831479767018	-12.0554910229433	-8.64740628430623	-5.78726394788919	-14.1709682403632	-18.6778985361841	-11.8490401454759	-14.7559307410844	-8.72250773954695	-7.95503084116409	-12.5860057396421	-13.7559307410844	-11.8490401454759	-14.7559307410844	-18.3689838250953	-10.8979497459568	-7.91044069014002	-16.9028461370639	-14.1709682403632	-11.3636133183056	-16.7840213243742	-16.9028461370639	-14.7559307410844	-17.0904225988408	-5.14214127661182	-18.7683006497833	-7.15601789889727	-18.3689838250953	-8.14860042733479	-17.1424461465386	-10.6684678998341	-16.9028461370639	-15.7559307410844	-18.7683006497833	-13.7559307410844	-7.76157730422554	-14.1709682403632	-18.3689838250953	-17.3689838250953	-18.7683006497833	-8.94857581902679	-18.7683006497833	-18.6778985361841	-17.6377569454121	-18.7683006497833	-16.5714267680553	-15.628958093399	-15.7559307410844	-18.6778985361841	-18.7683006497833	-17.7683006497833	-16.5714267680553	-17.6778985361841	-18.6778985361841	-18.3689838250953	-18.3689838250953	-18.3689838250953	-16.5714267680553	-17.6377569454121	-14.4299710227405	-14.5660540381711	-17.6377569454121	-15.9354873726756
2022_07_11_neg KO 3_16S_PMAPS	-1.23299316223875	-3.97517646567597	-3.88730370965064	-2.60122906241877	-12.6686634231753	-18.6778985361841	-6.62426930381684	-4.03566822603234	-9.6686634231753	-4.56537561476327	-4.38789265304469	-12.6686634231753	-6.6686634231753	-6.56013896639713	-13.8810183387999	-7.31111141855721	-17.3689838250953	-16.5606313743151	-18.7683006497833	-8.209231804538	-17.2934716488381	-5.37404267428367	-9.49873842173298	-6.86130850111769	-17.2934716488381	-17.2934716488381	-16.6377569454121	-17.7683006497833	-4.97517646567597	-9.08370092245414	-8.9682237050342	-15.4473415653707	-10.6686634231753	-8.49873842173298	-8.58120058192496	-18.6778985361841	-16.8492096005693	-16.102877893637	-7.2423986684732	-9.49873842173298	-17.6778985361841	-17.1424461465386	-16.9354873726756	-12.6686634231753	-18.3689838250953	-12.6686634231753	-10.6686634231753	-16.9028461370639	-17.3689838250953	-11.6686634231753	-16.7840213243742	-16.9028461370639	-12.6686634231753	-17.0904225988408	-16.8492096005693	-18.7683006497833	-12.6686634231753	-12.6686634231753	-12.6686634231753	-17.1424461465386	-16.5115055957925	-16.9028461370639	-16.7559307410844	-18.7683006497833	-17.6377569454121	-15.199058823653	-18.7683006497833	-18.3689838250953	-12.6686634231753	-18.7683006497833	-16.4843194236443	-12.6686634231753	-18.6778985361841	-17.6377569454121	-18.7683006497833	-16.5714267680553	-15.628958093399	-16.7559307410844	-18.6778985361841	-18.7683006497833	-17.7683006497833	-16.5714267680553	-17.6778985361841	-18.6778985361841	-18.3689838250953	-18.3689838250953	-18.3689838250953	-16.5714267680553	-17.6377569454121	-14.4299710227405	-14.5660540381711	-17.6377569454121	-15.9354873726756
