feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingosinithalassobacter_tenebrarum	sample_type	paraffin_ctrl	6.33283663559815	0.510227611281052	197	78	1.89565688594261e-26	1.2454465740643e-23
Mesorhizobium_terrae	sample_type	paraffin_ctrl	-5.57695632097352	0.486074469807738	197	89	1.27959281136396e-23	4.20346238533061e-21
Sphingomonas_sanxanigenens	sample_type	paraffin_ctrl	5.02965923149804	0.504425901428552	197	79	3.48069718827466e-19	7.62272684232151e-17
Sphingomonas_koreensis	sample_type	paraffin_ctrl	5.48356141335761	0.567808519253502	197	151	2.78919021922166e-18	4.58124493507157e-16
Sphingomonas_sp._LK11	sample_type	paraffin_ctrl	4.97980741810469	0.530405544953473	197	60	1.62998400887398e-17	2.14179898766042e-15
Sphingomonas_sp._FARSPH	sample_type	paraffin_ctrl	5.59850842269895	0.624086879778325	197	110	2.44869131874542e-16	2.68131699402624e-14
Ralstonia_solanacearum	sample_type	paraffin_ctrl	-4.91086374570743	0.580886768831386	197	74	6.51224482070522e-15	5.34818105900416e-13
Sphingomonas_hengshuiensis	sample_type	paraffin_ctrl	3.39439827945361	0.401388839822998	197	63	6.40884303564471e-15	5.34818105900416e-13
Rhizorhabdus_dicambivorans	sample_type	paraffin_ctrl	2.85049173768762	0.354411916129532	197	39	8.33881417526539e-14	6.08733434794373e-12
Burkholderia_contaminans	sample_type	paraffin_ctrl	-5.44072958330586	0.699026378511838	197	56	4.04286760105081e-13	2.65616401389038e-11
Burkholderia_lata	sample_type	paraffin_ctrl	-5.31144015068213	0.691497259512455	197	51	7.47532528367061e-13	4.46480791942872e-11
Burkholderia_glumae	sample_type	paraffin_ctrl	-4.32089408445771	0.564550910112713	197	63	8.80739927929432e-13	4.82205110541364e-11
Brevundimonas_mediterranea	sample_type	paraffin_ctrl	2.14003948364405	0.281853476676803	197	37	1.26724842903748e-12	6.40447859905867e-11
Burkholderia_cepacia	sample_type	paraffin_ctrl	-4.20354829888004	0.558785411365196	197	54	1.92207174903036e-12	9.02000813652103e-11
Ralstonia_pickettii	sample_type	paraffin_ctrl	-3.43751761715661	0.465561721153032	197	60	4.36644779493091e-12	1.87119553527396e-10
Sphingomonas_sp._NIC1	sample_type	paraffin_ctrl	4.2558676341296	0.578557066560134	197	85	5.13345475575679e-12	1.87119553527396e-10
Sphingomonas_panacisoli	sample_type	paraffin_ctrl	3.89072672612649	0.527863150666866	197	97	4.70932890015755e-12	1.87119553527396e-10
Stenotrophomonas_maltophilia	sample_type	paraffin_ctrl	4.4299947568776	0.601574505806649	197	56	4.89837314878867e-12	1.87119553527396e-10
Brevundimonas_sp._GW460.12.10.14.LB2	sample_type	paraffin_ctrl	3.53210965221355	0.480755164377618	197	45	5.41137217202515e-12	1.87119553527396e-10
Burkholderia_cenocepacia	sample_type	paraffin_ctrl	-4.32656677467689	0.591441213571234	197	54	6.51416243344748e-12	2.1399023593875e-10
Sphingomonas_paucimobilis	sample_type	paraffin_ctrl	4.5320444106222	0.632852767614709	197	122	1.59367869346886e-11	4.98593762670972e-10
Burkholderia_pseudomallei	sample_type	paraffin_ctrl	-4.46248270438447	0.628619519459968	197	67	2.28363966667558e-11	6.81977845911754e-10
Roseburia_intestinalis	sample_type	paraffin_ctrl	-3.25693277998769	0.467178273518451	197	56	4.73117203976024e-11	1.35146957831412e-09
Burkholderia_multivorans	sample_type	paraffin_ctrl	-3.18098881355108	0.457329611766837	197	49	5.17967507259325e-11	1.4179360511224e-09
Sphingomonas_sp._CL5.1	sample_type	paraffin_ctrl	3.46470387334684	0.498753219022307	197	91	5.44647777448136e-11	1.4313343591337e-09
Haemophilus_parainfluenzae	sample_type	paraffin_ctrl	-4.66309946420896	0.672724122666002	197	86	5.93255226766763e-11	1.49911032302217e-09
Moraxella_osloensis	sample_type	paraffin_ctrl	5.63319315297472	0.825273497754092	197	106	1.07832773448316e-10	2.62393082057568e-09
Novosphingobium_sp._THN1	sample_type	paraffin_ctrl	3.67754046089082	0.540918061087715	197	93	1.25591764896524e-10	2.87595780472073e-09
Burkholderia_mallei	sample_type	paraffin_ctrl	-3.11302416824677	0.458013819945129	197	50	1.26944865048556e-10	2.87595780472073e-09
Ralstonia_insidiosa	sample_type	paraffin_ctrl	-3.97877846028904	0.592075745446176	197	56	1.94946063723515e-10	4.26931879554497e-09
Burkholderia_thailandensis	sample_type	paraffin_ctrl	-3.51420200586356	0.538006542759514	197	60	5.5132192683146e-10	1.168446793317e-08
Veillonella_parvula	sample_type	paraffin_ctrl	-4.09876500401596	0.629974489571981	197	102	6.34415195739224e-10	1.26306298060809e-08
Brevundimonas_sp._SGAir0440	sample_type	paraffin_ctrl	2.70479474216959	0.415608256688199	197	32	6.28206131944177e-10	1.26306298060809e-08
Qipengyuania_sediminis	sample_type	paraffin_ctrl	1.6305630752458	0.251405669329636	197	33	7.09382767499313e-10	1.3707778771972e-08
Anaerostipes_hadrus	sample_type	paraffin_ctrl	-2.74674106543204	0.428852270174629	197	55	1.10120536816782e-09	2.0671197911036e-08
Sphingomonas_panacis	sample_type	paraffin_ctrl	3.67736176828967	0.576904186354456	197	162	1.29904415746458e-09	2.30668111203846e-08
Burkholderia_stabilis	sample_type	paraffin_ctrl	-2.18324700761175	0.342257253387781	197	41	1.26675015094487e-09	2.30668111203846e-08
Lacrimispora_saccharolytica	sample_type	paraffin_ctrl	-2.5429304322889	0.400989335932606	197	48	1.54908071843596e-09	2.67827903161165e-08
Sphingobium_sp._YG1	sample_type	paraffin_ctrl	3.08202423327055	0.490206073133374	197	34	2.07473907378463e-09	3.49513736276027e-08
Burkholderia_ambifaria	sample_type	paraffin_ctrl	-2.04687516266738	0.326275947714485	197	41	2.2331255655004e-09	3.6679087413344e-08
Lachnoclostridium_sp._YL32	sample_type	paraffin_ctrl	-2.89823704440827	0.470138040630245	197	50	3.98214264591698e-09	6.381140776506e-08
Blautia_producta	sample_type	paraffin_ctrl	-3.03431498460722	0.493758787883371	197	54	4.40981616855214e-09	6.89821243509228e-08
Mediterraneibacter_gnavus	sample_type	paraffin_ctrl	-2.62503446117015	0.428524232428765	197	54	4.88941506434164e-09	7.47057138900571e-08
