Taxa,Reads,CumPercent
Sphingomonas,5134397,28.60653329609311
Caldibacillus,3035664,45.51987741259817
Streptococcus,1034676,51.28462319378113
Burkholderia,605995,54.660952711106326
Fervidibacillus,593031,57.96505269541128
Bradyrhizobium,583338,61.215147676355755
Sporosarcina,506091,64.03485737982298
Cutibacterium,482878,66.72523476687562
Veillonella,373869,68.80826340624205
Delftia,367958,70.85835863233457
Bacillus,295277,72.50350826374611
Staphylococcus,247026,73.87982518937548
Variovorax,195094,74.96680054536529
Haemophilus,192174,76.03750698463038
Peptoniphilus,149080,76.86811318508228
Niallia,146140,77.68233903787298
Finegoldia,140391,78.46453406797521
Caldifermentibacillus,139994,79.2445171939885
Stenotrophomonas,126861,79.95132919556836
Escherichia,125426,80.65014602745647
Methylorubrum,121398,81.32652066873939
Paracoccus,93657,81.84833502959077
Anaerococcus,91813,82.35987545809954
Gemella,89796,82.86017807666526
Methylobacterium,82573,83.32023741252462
Roseomonas,82192,83.77817398904422
Clostridium,80882,84.22881183922499
Neobacillus,78431,84.66579382814129
Brucella,73386,85.07466736333288
Achromobacter,70440,85.46712712158235
