taxID,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode10,barcode12,barcode13,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
9,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0
34,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
63,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0
72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2
239,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
292,0,0,0,0,0,1,0,0,0,0,0,0,558,36,193,155,59
293,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,10,0
294,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
305,1,0,1,2,0,0,0,0,0,0,0,0,49,17,27,45,6
329,0,0,0,0,0,0,0,0,0,0,0,0,29,36,5,9,1
337,1,0,0,0,0,0,0,0,0,0,0,0,68,3,32,20,7
339,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0
340,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
347,2,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0,29,19,8,60,22
376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
382,0,1,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0
386,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
410,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
470,2,1,3,2,2,1,2,0,0,0,0,0,0,2,3,1,0
485,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
487,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
505,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
518,16,9,39,0,0,0,24,0,0,0,0,0,6,0,3,0,0
519,5,7,16,0,0,0,11,0,0,0,0,0,7,1,1,0,0
520,8,5,12,0,0,0,7,0,0,0,0,0,1,0,0,0,0
521,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
529,3401,1,1,1,3,0,3,0,0,0,0,1,5,530,529,1113,1570
536,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
562,2,2,3,1,2,3,2,2,0,0,0,0,2,2,4,2,2
573,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
648,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
654,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
669,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
821,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
831,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,121,0
837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
847,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
865,3,0,10,6,6,0,6,0,0,0,0,0,0,0,1,1,1
926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
960,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1061,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1063,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1076,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1079,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1085,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1188,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
1238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1246,1,4,1,0,1,1,1,0,0,0,0,0,1,1,3,1,0
1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1254,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
1270,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
1280,190,764,561,51,90,27,42,0,0,0,0,1,87,655,251,304,191
1281,0,2,1,0,0,0,0,0,0,0,0,0,1,9,10,6,0
1282,20133,32809,44817,25,46,14,19,10,1,0,0,7,2335,5223,1455,687,3879
1283,90,156,237,1,8,2,5,0,0,0,0,1,18,78,53,88,59
1284,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
1286,0,0,1,0,0,0,0,0,0,0,0,0,2,2,5,5,1
1288,0,3,0,0,1,1,6,0,0,0,0,0,0,4,2,1,0
1290,8,32,21,5,14,1,1,7,0,0,0,2,7,1146,4041,3147,7454
1292,15,12,15,1,0,0,0,0,0,0,0,0,12,38,58,70,8
1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
1294,0,1,1,1,0,0,1,0,0,0,0,0,0,3,1,1,0
1295,6,10,11,6,12,5,9,0,0,0,0,0,2,9,6,3,2
1296,186,5,5,3,3,1,1,0,0,0,0,1,122,222,1124,674,2
1302,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0
1303,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0
1304,0,1,4,1,4,0,1,2,0,0,0,0,1,117,68,209,78
1305,0,0,0,0,0,0,0,0,0,0,0,0,3,15,13,6,1
1307,1,2,1,3,1,1,2,0,0,0,0,0,514,1122,1385,699,6
1308,8,14,9,12,15,4,9,3,0,0,0,5,5,38,2816,13174,4773
1309,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1311,3,5,7,6,9,2,5,0,0,0,0,0,3,2,5,14,4
1313,0,4,5,4,9,1,5,0,0,0,0,0,1,5,12,8,7
1314,1,10,7,4,12,4,7,0,0,0,0,0,1,6,12,19,7
1318,0,0,0,0,0,0,0,0,0,0,0,0,7,18,16,6,0
1326,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
1328,0,0,0,0,0,0,0,0,0,0,0,0,7,12,7,8,1
1329,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
1334,1,1,1,2,1,1,1,0,0,0,0,0,0,1,2,1,0
1335,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0
1338,0,2,1,0,2,0,2,0,0,0,0,0,6,7,8,5,3
1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
1343,1,0,0,1,2,0,1,0,0,0,0,0,1,2513,0,1,2
1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
1346,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1
1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1351,16,27,21,15,34,12,20,1,0,0,0,0,3,4,18,12,7
1352,68,129,142,105,172,58,107,0,0,0,0,1,24,20,57,37,28
1353,3,2,5,2,4,0,2,0,0,0,0,0,1,0,0,4,1
1354,12,16,14,9,14,6,9,0,0,0,0,0,2,0,4,5,2
1358,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1359,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1374,0,2,5,1,5,1,0,0,0,0,0,0,1,0,0,2,0
1376,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1377,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1379,3,2,16273,5,7,1,3,3,0,0,0,0,4,2,3,3,2
1390,13,27,32,22,54,21,27,0,0,0,0,1,3,1,10,9,5
1392,77,104,147,90,167,67,120,1,0,0,0,0,21,17,50,44,25
1393,0,1,1,2,2,0,2,0,0,0,0,0,0,1,0,0,0
1396,76,78,124,78,185,72,102,0,0,0,0,0,10,23,24,31,23
1397,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0
1398,8,16,23,12,27,14,12,0,0,0,0,0,2,2,7,7,2
1399,3,10,17,7,27,9,16,0,0,0,0,0,1,0,4,3,4
1401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1402,12,25,27,23,45,9,28,0,0,0,0,0,42,4,5,7,5
1404,32,82,109,56,130,42,73,0,0,0,0,0,16,14,24,38,23
1405,9,28,26,42,59,16,31,0,0,0,0,0,4,3,15,11,3
1406,10,27,23,28,24,10,22,0,0,0,0,0,4,6,8,6,8
1407,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1
1408,5,8,13,12,21,4,8,0,0,0,0,0,1,2,8,4,2
1421,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1423,157,247,318,189,442,144,222,1,0,0,0,1,36,74,71,83,69
1426,4,5,4,5,10,7,8,0,0,0,0,0,2,1,4,1,2
1428,72,159,210,115,281,94,147,0,0,0,0,2,25,22,53,54,56
1430,0,1,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0
1442,0,0,0,1,3,1,1,0,0,0,0,0,0,0,1,2,0
1444,4,4,8,0,7,4,8,0,0,0,0,0,1,0,0,0,0
1450,0,0,4,3,0,0,0,0,0,0,0,0,1,5,0,1,0
1451,2,5,2,6,5,0,5,0,0,0,0,0,0,1,3,2,2
1452,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1455,52,107,177,74,213,161,79,0,0,0,0,0,9,16,31,37,50
1457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1462,3,4,7,1,8,6,2,0,0,0,0,0,1,1,1,1,0
1465,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1467,68,120,134,104,211,82,95,0,0,0,0,0,20,41,53,34,45
1471,8,21,21,16,42,11,22,0,0,0,0,0,5,6,7,7,6
1472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1473,2,1,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0
1474,28,102,97,172,291,46,89,0,0,0,0,0,13,16,39,29,22
1476,2,2,6,1,9,1,7,0,0,0,0,0,1,2,2,1,0
1477,4,3,12,7,7,3,6,0,0,0,0,0,1,1,5,2,0
1479,432,959,1386,1280,2856,861,1286,2,0,0,0,0,288,166,480,447,335
1482,2,3,4,2,1,2,4,0,0,0,0,0,0,1,1,2,2
1491,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1492,1441,1,1,139,3,374,0,0,0,0,0,1,0,0,108,2,0
1496,4,7,12,9,16,6,9,0,0,0,0,1,0,3,4,5,1
1497,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
1498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,6,7,8,4,7,2,4,0,0,0,0,0,1,1,4,16,0
1504,1290,12,15,52,24,167,9,2,0,0,0,0,2,0,48,3,2
1505,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1510,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1519,111,0,0,16,0,44,0,0,0,0,0,0,0,0,13,0,0
1520,187,0,1,23,1,74,1,0,0,0,0,0,0,0,19,1,0
1525,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
1529,2926,4,0,313,2,1072,1,1,0,0,0,0,3,2,295,1,2
1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1561,8,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0
1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1571,0,1,1,4,6,1,2,0,0,0,0,0,1,2,0,0,0
1579,7,12,8,7,13,2,4,0,0,0,0,0,0,5,0,2,3
1580,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0
1581,5,10,15,4,24,5,5,0,0,0,0,0,0,3,5,4,3
1582,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1583,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,4,1
1585,0,1,0,1,0,0,0,0,0,0,0,0,61,0,0,0,0
1589,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1590,5,5,10,4,9,1,2,0,0,0,0,0,1,0,2,2,3
1596,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1597,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1598,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1599,0,0,1,2,2,1,1,0,0,0,0,0,0,0,1,0,2
1600,1,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,0
1601,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1614,0,8,3,3,1,2,1,0,0,0,0,0,0,0,1,0,1
1622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,7,8,9,8,13,6,41,0,0,0,0,0,1,0,2,1,0
1624,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1638,2,2,8,6,12,4,2,0,0,0,0,0,2,2,3,1,2
1639,11,17,28,21,59,12,35,0,0,0,0,0,12,5,12,4,11
1640,2,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
1641,5,17,6,13,3,3,13,0,0,0,0,0,1,1,4,0,2
1642,11,19,20,15,29,11,23,0,0,0,0,0,2,4,6,12,5
1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1648,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0
1650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1661,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1682,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1719,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1747,36403,60902,25374,150,1003,898,3766,102,0,0,0,62,61953,104891,44559,24363,49842
1748,2,6,1,0,0,1,0,0,0,0,0,0,3,2,2,2,3
1749,1,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,1
1750,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1752,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1773,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1774,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1795,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1828,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0
1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94
1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1874,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1890,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026,1,3,1,1,4,0,2,0,0,0,0,0,0,0,0,0,0
