taxID,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode10,barcode12,barcode13,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
235,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2
239,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
292,0,0,0,0,0,1,0,0,0,0,0,0,554,36,193,154,59
293,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0
305,1,0,0,1,0,0,0,0,0,0,0,0,49,17,27,43,6
329,0,0,0,0,0,0,0,0,0,0,0,0,29,36,5,9,1
337,1,0,0,0,0,0,0,0,0,0,0,0,67,3,32,20,7
339,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0
340,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
347,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0,28,17,8,57,22
376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
382,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
386,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
518,15,9,37,0,0,0,22,0,0,0,0,0,6,0,0,0,0
519,3,7,14,0,0,0,11,0,0,0,0,0,6,1,0,0,0
520,8,5,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0
521,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
529,3378,1,1,1,3,0,2,0,0,0,0,1,5,528,523,1101,1564
821,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0
847,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1061,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1063,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1260,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
1270,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
1280,169,707,482,2,6,1,4,0,0,0,0,0,69,633,233,282,175
1281,0,2,1,0,0,0,0,0,0,0,0,0,1,9,9,5,0
1282,20012,32561,44509,14,18,1,7,10,1,0,0,6,2316,5194,1436,671,3862
1283,88,151,226,0,0,0,0,0,0,0,0,1,17,74,50,82,56
1284,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1286,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,3,1
1288,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
1290,8,32,21,3,13,0,0,7,0,0,0,2,7,1142,4036,3135,7442
1292,15,11,13,0,0,0,0,0,0,0,0,0,11,37,56,67,8
1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
1294,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1295,2,4,6,2,2,2,5,0,0,0,0,0,2,7,4,1,1
1296,186,3,3,3,3,0,0,0,0,0,0,1,121,221,1118,669,0
1302,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0
1303,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
1304,0,1,2,1,0,0,1,2,0,0,0,0,0,116,62,207,78
1305,0,0,0,0,0,0,0,0,0,0,0,0,2,14,12,6,1
1307,1,2,1,1,1,0,1,0,0,0,0,0,510,1118,1379,690,4
1308,4,4,4,5,4,2,2,3,0,0,0,5,2,36,2805,13131,4764
1309,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1311,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0
1313,0,0,0,1,0,0,0,0,0,0,0,0,1,3,8,6,3
1314,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,4
1318,0,0,0,0,0,0,0,0,0,0,0,0,7,18,16,6,0
1326,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
1328,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,8,0
1329,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1335,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
1338,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,5,2
1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1343,1,0,0,1,1,0,1,0,0,0,0,0,1,2510,0,1,2
1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
1346,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0
1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1351,5,4,5,0,4,0,4,0,0,0,0,0,0,1,3,1,1
1352,49,77,90,69,107,38,68,0,0,0,0,1,15,12,26,19,17
1353,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0
1354,9,6,10,5,7,4,2,0,0,0,0,0,0,0,1,1,1
1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1374,0,0,3,0,2,1,0,0,0,0,0,0,1,0,0,1,0
1377,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1379,2,2,16212,2,3,0,2,3,0,0,0,0,1,1,2,3,1
1390,8,15,11,8,29,17,12,0,0,0,0,0,1,1,6,5,3
1392,47,54,73,48,77,33,73,0,0,0,0,0,10,13,27,24,13
1393,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0
1396,35,34,61,30,84,32,50,0,0,0,0,0,7,12,9,13,11
1397,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1398,5,6,6,6,7,4,6,0,0,0,0,0,0,1,4,1,0
1399,3,6,9,7,23,6,12,0,0,0,0,0,1,0,2,3,2
1402,5,11,13,9,19,5,19,0,0,0,0,0,38,4,2,3,3
1404,18,48,55,35,73,26,54,0,0,0,0,0,8,10,11,24,14
1405,6,18,20,35,36,11,23,0,0,0,0,0,4,1,10,9,3
1406,1,8,4,8,7,3,8,0,0,0,0,0,2,3,1,1,4
1407,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1408,3,3,8,7,14,3,6,0,0,0,0,0,0,2,2,2,1
1421,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,112,151,197,123,274,98,147,1,0,0,0,1,26,63,40,59,48
1426,0,2,1,0,5,3,1,0,0,0,0,0,0,0,0,0,1
