taxID,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode10,barcode12,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
235,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
239,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
292,0,0,0,0,0,1,0,0,0,0,0,542,36,192,150,57
293,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
305,1,0,0,0,0,0,0,0,0,0,0,40,14,24,36,5
329,0,0,0,0,0,0,0,0,0,0,0,29,36,5,9,1
337,1,0,0,0,0,0,0,0,0,0,0,56,3,28,18,6
339,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
347,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,27,16,7,56,20
376,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
382,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
386,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
408,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
518,14,8,27,0,0,0,20,0,0,0,0,5,0,0,0,0
519,2,4,6,0,0,0,8,0,0,0,0,3,0,0,0,0
520,2,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0
521,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
529,3344,1,1,1,3,0,2,0,0,0,1,5,526,521,1091,1556
821,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
847,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
1260,0,187,0,0,0,0,0,0,0,0,0,0,0,0,46,0
1270,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,239
1280,123,608,393,0,4,1,3,0,0,0,0,40,524,153,186,143
1281,0,1,0,0,0,0,0,0,0,0,0,1,5,7,3,0
1282,19944,32398,44378,13,18,0,6,10,1,0,6,2305,5153,1413,651,3846
1283,78,139,210,0,0,0,0,0,0,0,1,15,69,41,69,52
1284,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1286,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1
1288,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
1290,7,28,20,3,13,0,0,7,0,0,2,7,1134,4029,3128,7431
1292,10,9,11,0,0,0,0,0,0,0,0,7,25,42,45,6
1293,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
1294,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
1295,2,3,3,0,2,1,1,0,0,0,0,1,7,2,0,0
1296,183,2,3,3,2,0,0,0,0,0,1,120,216,1080,652,0
1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1303,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
1304,0,1,2,1,0,0,1,1,0,0,0,0,114,51,181,66
1305,0,0,0,0,0,0,0,0,0,0,0,2,11,8,1,0
1307,1,2,0,1,1,0,1,0,0,0,0,504,1105,1351,659,0
1308,4,3,3,4,3,2,2,3,0,0,5,1,33,2776,12994,4725
1309,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1313,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0
1314,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0
1318,0,0,0,0,0,0,0,0,0,0,0,6,18,15,6,0
1326,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1328,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0
1334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1338,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0
1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1343,1,0,0,1,1,0,1,0,0,0,0,1,2509,0,1,2
1346,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
1351,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0
1352,10,10,21,18,27,13,12,0,0,0,0,7,4,7,0,5
1354,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0
1374,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0
1377,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1379,2,1,16103,2,3,0,2,3,0,0,0,1,1,2,3,1
1390,2,4,3,3,13,2,4,0,0,0,0,0,0,1,1,2
1392,16,30,34,20,35,11,37,0,0,0,0,5,4,12,9,7
1396,14,16,30,14,33,14,18,0,0,0,0,2,2,3,5,6
1397,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1398,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0
1399,1,0,3,1,5,1,1,0,0,0,0,1,0,0,2,0
1402,2,0,2,2,7,2,11,0,0,0,0,36,4,1,0,2
1404,1,3,7,8,10,3,10,0,0,0,0,1,7,0,7,2
1405,3,11,15,20,18,6,14,0,0,0,0,3,0,8,4,2
1406,0,2,1,2,3,2,1,0,0,0,0,1,1,0,1,1
1408,0,0,2,2,1,0,2,0,0,0,0,0,0,1,0,0
1423,74,75,110,56,145,49,85,0,0,0,1,17,51,18,32,32
1426,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1428,7,12,34,20,39,8,19,0,0,0,0,7,3,6,9,8
1444,2,0,4,0,2,2,3,0,0,0,0,1,0,0,0,0
1455,39,79,137,41,169,151,58,0,0,0,0,6,10,23,23,44
1462,2,3,3,1,4,3,2,0,0,0,0,1,0,1,1,0
1467,14,26,38,17,37,19,18,0,0,0,0,2,13,5,10,5
1471,3,7,7,4,14,3,11,0,0,0,0,3,4,4,2,2
1474,21,99,90,157,275,41,77,0,0,0,0,12,16,33,29,18
1476,0,0,3,0,2,0,1,0,0,0,0,1,0,1,0,0
1477,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0
1479,389,848,1278,1174,2690,797,1176,2,0,0,0,261,150,459,408,313
1482,0,1,2,1,0,1,1,0,0,0,0,0,0,0,2,0
1492,1399,1,1,134,3,358,0,0,0,0,0,0,0,100,1,0
1497,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,1206,1,0,33,0,125,0,1,0,0,0,0,0,36,0,0
1505,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1519,61,0,0,10,0,28,0,0,0,0,0,0,0,9,0,0
1520,143,0,0,17,0,50,0,0,0,0,0,0,0,11,0,0
1529,2860,4,0,304,2,1037,1,1,0,0,0,3,0,280,1,2
1561,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0
1571,0,0,0,3,5,0,1,0,0,0,0,1,2,0,0,0
1579,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1623,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0
1638,0,0,4,2,4,2,0,0,0,0,0,1,1,1,0,0
1639,0,0,2,2,5,1,5,0,0,0,0,0,0,1,0,3
1641,2,9,3,10,1,1,6,0,0,0,0,1,0,1,0,0
1642,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1747,35988,60274,25121,122,899,833,3702,98,0,0,57,61413,103961,44183,24121,49414
1750,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1774,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1828,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0
1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2748,3,0,3,0,2,0,1,0,0,0,0,2,0,2,2,0
2751,2,1,3,1,1,0,1,0,0,0,0,0,4,0,0,0
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9606,1,0,1,0,0,1,1,1,0,0,0,0,2,0,0,1
10090,5407,0,0,0,0,0,0,0,0,0,0,2,2,12,3,3
13160,0,0,0,0,0,0,0,0,0,0,0,0,11,0,89,0
13373,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,1
28031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28035,6,5,6,0,1,0,0,0,0,0,0,7,24,11,21,8
28090,0,0,0,0,0,0,1,2,0,0,0,9,272,0,0,0
28095,0,0,0,0,0,0,0,0,0,0,0,9,0,2,3,0
28097,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28132,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
28450,1,0,0,0,0,0,0,1,0,0,0,23,3,9,4,1
29341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29378,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0
29379,12,23,13,11,20,1,10,14,0,0,8,10111,23896,8,9989,6
29380,82,252,79,0,0,0,0,0,0,0,0,6,145,14,18,18
29382,1,3,3,0,0,0,0,0,0,0,0,1,2,2,1,0
29384,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0
29385,1,1,1,0,0,0,0,0,0,0,0,2,3,5,14,1
29388,59,149,81,7,7,1,6,5,0,0,4,2284,15369,12,1364,2564
29389,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0
29391,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
29394,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
29430,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
29447,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29448,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
29459,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
29461,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29533,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
29542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29581,0,0,0,0,0,0,0,0,0,0,0,0,42,0,39,0
31998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32002,6426,1304,8601,1,2,0,2023,0,0,0,0,1798,0,0,0,2
32009,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,0
33010,0,1,0,0,0,4,0,0,0,0,0,476,0,0,0,0
33011,2,5,1,3,3,5,1,2,0,0,1,4536,3609,3,0,3
33028,61,100,44,0,0,0,0,1,0,0,0,2,43,4,4,8
33033,0,0,0,0,1,0,0,0,0,0,0,0,0,0,155,0
33040,0,0,0,0,0,0,0,0,0,0,0,2,8,5,0,0
33050,0,5,0,0,2,0,4,0,0,0,0,2,7,0,0,0
33932,14,42,24,40,55,7,53,0,0,0,0,8,10,9,12,7
33934,3,1,1,2,4,1,4,0,0,0,0,0,1,0,8,0
33936,0,11,6,6,19,3,2,0,0,0,0,0,1,1,2,1
33940,0,1,2,2,3,1,0,0,0,0,0,2,0,1,2,1
33941,4,3,1,6,4,2,0,0,0,0,0,0,1,0,1,0
33945,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
33970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33987,197,538,711,534,878,347,487,1,0,0,1,113,107,255,206,164
34004,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0
34007,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
34073,3529,204,4,6,179,0,140,3,0,0,1,3046,1043,3510,1675,1038
34085,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35814,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35841,191734,367435,475007,330069,623704,218874,311632,371,1,1,188,58963,49817,133280,123350,91126
36845,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
37332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38284,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1
38289,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38290,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38303,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
38875,1,6,6,5,3,2,3,0,0,0,0,1,2,2,1,2
39488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
39950,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40137,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
40214,0,2,0,0,1,0,0,0,0,0,1,2,1122,0,0,0
40324,6697,20,0,0,1,0,0,1,0,0,0,0,1,0,0,0
41276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
41899,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,0
42443,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0
42858,10012,35,18,29,47,3,16,21,0,0,15,5355,9302,72834,68050,12
43767,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
43768,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
43771,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
44008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45972,4,5,4,0,0,0,0,0,0,0,0,1,6,4,5,5
46126,3,1,5,2,3,0,2,0,0,0,0,5,7,2,6,1
46127,1,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0
46867,142,2,0,63,2,225,3,2,0,0,1,2,0,55,0,0
47312,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47770,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48664,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51173,64,137,140,130,279,61,166,0,0,0,0,2874,1211,68,55,52
51665,2,1,141,1,0,0,0,0,0,0,0,0,0,0,0,0
53344,2,7,7,7,2,1,3,0,0,0,0,2,3,2,5,1
53359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53374,0,17,0,0,0,0,0,0,0,0,0,0,10,0,0,0
55508,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175,0
56448,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
57975,1,0,0,0,0,0,0,0,0,0,0,5,2,2,0,2
59310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
59779,0,3,0,0,1,0,0,2,0,0,1,0,1507,1,1,0
60550,0,0,0,0,1,0,0,0,0,0,0,63,3,16,14,3
60552,0,0,0,0,0,0,0,0,0,0,0,7,5,4,4,1
61015,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,0
64104,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
64187,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0
66692,4,5,7,3,6,2,3,0,0,0,0,1,1,0,3,1
68895,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
69395,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
69665,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
69666,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
69823,0,2,0,0,0,0,0,0,0,0,0,1,5,1,0,0
69929,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
69966,107,642,675,384,1328,415,761,0,0,0,1,187,62,241,277,202
69967,344,925,1458,857,2107,913,1336,0,0,0,1,300,158,434,373,438
69968,20,58,76,63,137,50,92,0,0,0,0,15,11,36,26,23
70255,1,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0
70258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71237,9,1,0,0,0,0,0,0,0,0,0,6,25,220,340,0
72360,4,11,12,5,19,4,8,0,0,0,0,1,3,4,4,4
72361,2,10,4,1,7,6,6,0,0,0,0,2,1,5,3,1
72758,23,47,22,2,1,0,0,2,0,0,0,59,667,5,1822,82
74329,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
74426,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0
75659,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76731,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76802,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
