taxID,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode10,barcode12,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
239,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
292,0,0,0,0,0,1,0,0,0,0,0,528,36,187,147,53
293,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
305,1,0,0,0,0,0,0,0,0,0,0,35,10,19,29,3
329,0,0,0,0,0,0,0,0,0,0,0,29,35,5,8,1
337,1,0,0,0,0,0,0,0,0,0,0,47,3,20,17,6
339,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,26,18,7,56,20
376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
382,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
518,11,6,16,0,0,0,13,0,0,0,0,3,0,0,0,0
519,1,1,2,0,0,0,5,0,0,0,0,2,0,0,0,0
520,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
529,3314,1,1,1,3,0,3,0,0,0,1,5,520,509,1092,1543
821,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
847,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1260,0,179,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1270,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,236
1280,62,428,251,1,3,1,0,0,0,0,0,28,383,67,73,100
1281,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
1282,19799,32048,44161,17,23,3,8,10,1,0,6,2294,5015,1365,629,3809
1283,64,117,189,0,0,0,0,0,0,0,1,10,52,26,52,43
1288,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1290,6,22,16,5,14,1,0,5,0,0,2,7,1117,3999,3118,7403
1292,5,5,4,0,0,0,0,0,0,0,0,2,12,21,19,4
