taxID,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode10,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
292,0,0,0,0,0,1,0,0,0,0,484,36,176,139,48
293,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
305,1,0,0,0,0,0,0,0,0,0,26,7,16,24,2
329,0,0,0,0,0,0,0,0,0,0,29,34,5,8,1
337,1,0,0,0,0,0,0,0,0,0,43,2,16,12,5
339,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
518,4,1,6,0,0,0,8,0,0,0,1,0,0,0,0
519,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0
529,3216,1,1,0,3,0,2,0,0,1,5,512,490,1058,1497
821,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
847,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
1260,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,0,34,0,0,0,0,0,0,0,0,0,0,0,0,229
1280,35,312,158,0,2,0,0,0,0,0,12,287,43,44,67
1281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1282,19291,30836,43011,12,11,0,5,10,1,5,2237,4833,1299,604,3709
1283,55,98,165,0,0,0,0,0,0,0,10,41,19,48,34
1288,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1290,6,19,12,3,12,0,0,5,0,2,4,1081,3927,3051,7274
1292,1,2,2,0,0,0,0,0,0,0,0,4,6,6,2
1294,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1295,1,0,1,0,0,0,0,0,0,0,0,5,1,0,0
1296,145,0,0,3,2,0,0,0,0,1,97,177,880,531,0
1304,0,0,1,1,0,0,1,1,0,0,0,101,17,81,30
