taxID,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode10,barcode12,barcode13,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
34,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
63,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0
72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
210,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2
239,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
292,0,0,0,0,0,1,0,0,0,0,0,0,547,35,191,153,58
293,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,6,0
294,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
305,1,0,0,0,0,0,0,0,0,0,0,0,48,17,27,42,6
329,0,0,0,0,0,0,0,0,0,0,0,0,29,36,5,9,1
337,1,0,0,0,0,0,0,0,0,0,0,0,66,3,32,20,7
339,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0
340,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
347,2,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0,28,16,8,57,20
376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
382,0,1,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0
386,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
410,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
470,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
485,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
487,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
505,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
518,16,9,39,0,0,0,22,0,0,0,0,0,6,0,2,0,0
519,5,7,16,0,0,0,11,0,0,0,0,0,6,1,1,0,0
520,8,5,11,0,0,0,7,0,0,0,0,0,1,0,0,0,0
521,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
529,3352,1,1,1,3,0,2,0,0,0,0,1,5,522,519,1099,1557
536,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
562,0,1,2,1,1,1,0,0,0,0,0,0,1,1,2,2,0
573,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
648,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
654,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
669,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
821,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
831,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,120,0
837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
847,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
