taxID,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19
9,0,0,0,0,0,1
52,1,0,0,0,0,0
61,0,0,0,0,1,0
63,4,2,1,0,1,1
72,0,1,0,1,3,0
94,0,0,0,0,0,1
142,0,0,0,0,1,0
143,1,0,0,0,0,0
159,0,0,0,1,0,0
161,2,0,0,0,0,0
192,0,0,0,1,0,0
197,0,0,0,2,0,0
235,1,0,0,1,0,3
246,0,0,539,0,0,0
254,0,4,90,0,0,0
256,6,0,0,1,1,0
285,3,0,26,1,1,0
287,0,1,0,0,0,0
292,59,57,47,29,41,23
293,0,2,19,0,1,0
297,32,0,1,24,0,1
305,63,34,35,16,30,109
329,12,8,6,3,12,51
337,12,7,13,162,15,3
347,0,0,9,1,0,6
373,0,0,0,0,13,0
375,4,0,1,0,2,3
376,0,0,0,0,0,1
380,0,0,0,0,1,0
381,0,0,0,0,1,0
386,0,0,0,1,1,1
394,0,0,0,0,3,0
399,0,0,0,0,0,4
408,13,0,0,0,1,0
410,0,0,0,0,2,0
414,1,0,0,2,0,0
435,0,0,0,2,0,4
436,0,0,0,0,0,5
470,28,58,28,30,27,25
471,0,1,0,0,0,0
485,1,1,0,16,4,1
486,0,0,0,2,0,0
487,0,2,0,9,1,0
493,0,0,0,1,0,0
495,0,0,0,0,1,0
502,0,2,0,0,2,0
504,0,4,0,0,10,0
505,0,1,0,6,4,0
511,0,0,0,5,0,0
518,0,2,3,53,0,1
519,1,1,1,12,1,2
520,1,0,0,18,0,0
529,40,50,0,33,1,12
537,0,0,0,1,0,0
539,0,12,0,1,21,0
545,0,1,0,2,0,0
546,3,0,0,0,0,0
548,0,0,0,1,0,0
550,1,0,0,1,0,0
562,66,57,46,1223,46,39
564,1,0,1,46,0,0
571,2,0,0,0,0,0
573,6,5,2,35,3,4
582,1,1,0,0,0,0
584,11,0,0,2,0,0
585,2,0,0,19,1,0
587,2,0,0,0,0,0
598,0,0,0,1,0,0
611,0,0,0,1,0,0
621,0,0,0,15,0,0
622,0,1,0,40,1,0
623,0,0,0,39,0,0
