taxID,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19
197,0,0,0,2,0,0
246,0,0,149,0,0,0
254,0,0,10,0,0,0
285,1,0,9,0,1,0
292,27,25,18,9,16,8
293,0,1,6,0,0,0
297,15,0,0,0,0,0
305,11,5,7,0,3,11
329,11,5,3,3,4,35
337,1,2,2,0,4,0
375,1,0,0,0,0,0
381,0,0,0,0,1,0
470,14,37,20,18,17,16
518,0,0,0,1,0,0
519,1,0,0,0,0,0
529,26,22,0,15,0,0
545,0,1,0,0,0,0
546,1,0,0,0,0,0
562,47,38,33,604,30,32
564,1,0,1,22,0,0
573,0,3,1,22,2,3
621,0,0,0,11,0,0
622,0,0,0,15,0,0
623,0,0,0,18,0,0
624,0,0,0,6,0,0
817,2,1,0,1,165,0
818,0,0,0,1,0,0
820,0,0,0,2,0,0
823,0,1,0,14,0,0
824,0,0,0,0,5,5
847,0,2,21,1,4,12
851,0,0,0,0,2,0
986,0,0,0,0,1,0
1042,0,0,1,0,0,0
1126,0,1,0,2,0,0
1140,0,1,0,3,0,0
1245,0,34,0,0,0,0
1270,0,0,0,261,64,0
1280,19,76,1,2,20,71
1281,0,1,0,0,0,0
1282,1232,3841,10,73,602,1412
1283,94,11,0,0,90,8
1288,0,0,0,0,0,1
1290,0,86,0,0,0,2
1292,1,3,1,0,0,51
1295,1,0,0,0,0,0
1303,19,1,1,13,162,741
1304,20,0,0,7,3,7
1305,4,0,0,4,38,3
1307,0,0,0,6,2,0
1308,1926,1,0,7,81,641
1313,15,0,0,0,43,47
1318,4,0,0,1,33,78
1335,0,1,0,0,0,0
1340,0,0,0,1,0,0
1343,0,0,0,37,0,0
1346,1,0,0,0,0,1
1351,2,111,116,9802,52,3
1352,2,444,1,14,2,1
1353,1,0,0,4,0,0
1354,1,1,0,0,0,0
1358,0,100,0,0,0,0
1359,0,10,0,0,0,0
1360,0,10,0,0,0,0
1377,302,0,2,0,1,0
1379,1,0,0,1,56,493
1397,0,0,0,2,0,0
1402,1,0,0,1,0,0
1423,0,1,0,0,1,0
1478,0,0,0,1,0,0
1492,0,9,0,0,0,0
1496,0,0,0,1,1,0
1515,1,0,1,0,0,0
1520,0,138,0,0,1,1
1532,0,0,0,2,0,0
1579,2,1,0,6,1,0
1580,0,0,1,0,0,0
1587,0,0,0,1,0,0
1588,0,0,0,1,0,0
1589,0,0,0,0,6,14
1590,1,5,1,2,334,235
1596,0,0,0,71,0,0
1598,0,0,0,97,0,0
1599,0,0,138,0,0,0
1601,0,0,0,2,0,0
1605,0,23,0,199,0,1
1614,0,0,0,1,0,0
1622,1,206,1,2434,1,1
1655,12,0,0,0,0,0
1656,3,0,0,0,0,0
1660,0,0,0,0,17,4
1747,2529,16218,1489,434,7552,7258
1774,0,0,0,0,0,1
1824,0,0,0,0,1,0
1828,9,0,5,2,9,10
1833,0,0,0,25,0,0
2047,15,0,0,0,42,1
2155,0,0,0,1,0,0
2377,0,1,0,0,0,0
2738,0,0,0,1,0,10
2756,226,0,1,0,0,0
9606,4862,4419,2700,2117,2960,5764
10090,0,4,0,89,0,2
13160,0,47,15,2,34,0
13689,2,0,0,0,0,0
28035,0,9,0,0,2,0
28037,13,0,0,0,80,149
28090,0,0,1,0,0,0
28104,0,0,0,1,1,0
28113,0,0,0,1,0,0
28116,0,0,0,2,0,0
28129,0,0,0,1,0,0
28132,127,0,0,0,15,0
28133,0,0,0,0,95,0
28450,1,1,4,2,0,1
28885,0,0,0,1,0,0
29314,0,1,0,0,0,0
29347,0,0,0,2,0,0
29378,0,0,0,0,0,6
29379,0,1,0,0,1,337
29380,11,34,1,0,6,16
29382,0,0,0,2,0,204
29388,6,229,96,6,413,1394
29389,1,0,0,0,0,0
29391,1,1,3,1,6,574
29447,6,0,1,0,1,2
29448,2,0,0,0,0,0
29466,1,1,2,0,107,0
29486,0,0,0,1,0,0
29533,0,0,8,0,2,0
29581,42,18,145,27,120,113
32002,16,22,30,60,0,0
33010,1,3,209,0,66,0
33011,4,1902,369,3,754,6
33028,4,7,0,0,2,7
33033,67,0,1,0,238,1
33038,0,0,0,52,0,0
33046,0,0,0,0,0,1
33050,9,0,20,1,0,9
33051,46,1,1,1,0,28
33888,0,0,0,1,0,0
33959,0,1,0,243,0,1
34070,0,0,0,0,1,0
34073,26508,11952,23549,3352,11411,26375
34087,0,0,0,0,0,20
35790,3,0,2,0,0,0
36745,0,1,0,0,0,0
36863,7,0,1,1,0,3
37448,0,0,5,1,0,0
37762,2,0,1,2,0,0
37928,0,1,0,0,0,1
38301,1,0,0,0,0,0
38303,0,2,1,0,0,0
38304,1,0,0,0,0,0
38323,0,0,0,0,0,1
39485,0,0,0,1,0,0
39491,0,0,0,1,30,0
39645,0,0,0,0,0,1
39777,1,0,1,0,85,0
39778,0,0,0,0,2,0
39950,1,0,0,1,86,2
40214,0,17,0,3,0,1
40324,52,2,1,13,83,566
40477,4,1,4,0,0,0
41276,0,0,0,1,0,0
41899,0,0,1,0,0,0
42858,0,0,0,103,0,0
43617,0,0,0,0,3,0
43675,0,0,1,0,27,43
43765,0,18,0,0,0,118
43767,1,0,0,0,0,0
43770,2,0,0,0,0,0
44688,0,1,0,0,0,0
45668,0,1,0,0,0,0
45851,0,0,0,1,0,0
45972,0,0,0,0,0,1
46124,1,0,0,0,1,348
47678,0,0,0,1,0,0
47770,0,0,0,60,0,0
51665,15,0,0,0,0,0
51669,0,0,0,5,0,0
53344,0,2,0,0,0,1
53346,0,1,0,0,0,0
53374,0,11,5,0,0,0
53458,0,0,0,0,1,0
55508,1,16,48,2,29,67
57743,0,0,0,1,0,0
57975,0,0,1,0,0,0
59561,0,20,0,0,0,0
59779,0,0,0,29,0,0
60520,0,0,0,1,0,1
60550,5,7,6,2,6,3
60552,0,0,1,0,1,0
61592,1,0,0,0,51,0
65393,0,1,0,0,0,0
65656,0,0,0,1,0,1
66692,0,1,0,0,0,0
68892,0,0,0,0,98,1
68895,0,0,0,0,1,0
69395,1,0,0,4,0,0
69665,3,0,0,5,0,0
71237,0,0,0,9,0,0
72000,0,0,0,0,61,0
72026,0,1,0,0,0,0
72407,0,0,0,1,0,0
72758,0,31,4,0,31,63
74426,0,0,0,12,0,0
75659,0,0,15,0,0,0
76259,0,1,0,0,0,0
76731,0,0,2,0,0,0
76860,0,0,0,0,0,1
78535,0,0,1,2,1,1
80866,111,79,586,142,249,668
80867,0,0,8,0,0,0
80869,0,0,1,0,0,0
81479,2,0,1,0,2,1
81947,0,0,0,1,0,0
82348,7,0,0,0,0,1
82654,0,1,0,10,0,0
83265,0,0,0,0,1,0
83333,0,1,0,3,0,0
83334,0,0,0,1,0,0
83617,0,0,3,0,0,1
84135,0,0,0,1,97,2
85698,57,13,17,32,0,0
86188,0,0,0,0,0,2
87883,2,0,0,0,0,0
88688,34,0,0,51,0,0
90371,0,0,0,1,0,0
94132,0,0,0,0,0,2
94138,0,1,0,0,0,1
95486,155,147,133,63,149,75
100886,0,0,0,1,0,0
104663,0,0,0,0,0,1
105219,0,0,1,0,0,0
110937,0,0,0,0,2,0
113107,0,0,0,3,5,1
114527,0,33,0,0,1,0
114615,14,0,24,3,10,14
115808,2,0,2,0,1,2
118060,0,0,0,1,0,0
119602,0,0,0,1,0,0
120107,0,0,4,0,0,0
128780,0,0,5,0,2,0
128785,0,0,0,0,0,1
134034,0,0,0,0,0,2
134875,0,0,1,0,0,1
135461,0,0,0,0,0,1
137732,0,0,0,0,0,21
144183,0,0,1,0,0,2
144184,0,0,11,0,0,0
145391,0,11,0,0,0,0
150055,0,0,0,1,0,0
151416,10,0,0,0,7,0
152480,1,6,2,0,2,1
152500,0,0,0,0,0,1
152682,0,0,0,0,0,1
153491,0,0,0,0,1,0
154046,0,0,0,16,0,0
155085,0,1,0,0,0,0
155892,1,0,0,1,0,0
156978,2,0,0,0,0,0
160825,0,0,13,0,0,0
161895,2,0,0,0,0,1
161899,1,0,0,0,0,0
162209,0,1,0,0,0,0
162426,0,8,0,0,0,0
164608,5,1,12,0,0,15
165435,0,0,27,0,26,0
168807,0,0,0,9,0,0
169430,4,4,5,0,1,25
174587,1,0,0,0,0,0
176279,4,16,0,0,7,16
176280,1,6,0,0,3,1
179636,2,0,0,0,0,0
179879,0,0,1,0,2,0
180282,8,2,15,4,6,15
180400,4,2,11,0,0,7
185448,0,1,0,0,1,0
185951,0,0,0,0,1,0
187029,1,0,0,0,0,0
187491,0,0,0,0,0,2
188932,0,0,0,0,0,2
189381,1,0,0,0,0,0
189665,0,0,0,0,1,0
190721,334,134,269,68,251,602
191302,0,1,0,0,0,7
199310,0,0,0,2,0,0
202956,0,0,0,0,0,14
204525,0,0,0,0,0,1
