taxID,barcode20,barcode21,barcode22,barcode23
63,2,0,0,0
94,0,1,0,0
235,0,2,0,0
285,0,151,0,0
292,78,0,0,0
296,0,0,2,0
305,45,18,0,0
329,6,1,0,0
337,11,0,0,0
375,0,1,0,0
386,0,2,0,0
470,31,17,21,24
518,41,0,0,0
519,26,0,0,0
520,4,0,0,0
521,3,0,0,0
529,0,1,0,0
562,38,32,25,34
1042,2,0,0,0
1079,0,3,0,0
1245,2212,0,1,0
1280,2,0,0,389
1282,11,2,5,9232
1283,0,0,0,49
1290,0,0,0,4
1292,0,0,0,7
1295,0,0,0,4
1302,0,1,0,0
1303,0,174,0,1
1304,0,49,0,43
1305,0,10,0,0
1307,0,18,0,0
1308,7,862,3,4985
1313,0,184,0,0
1314,0,1,0,0
1318,0,1,0,0
1326,0,1,0,0
1335,0,1,0,0
1343,0,0,0,1
1352,5,1,0,15
1392,0,0,0,5
1399,1,0,0,0
1404,2,0,0,1
1406,0,0,0,1
1423,0,1,0,3
1428,0,0,0,3
1455,4,0,0,5
1467,0,0,0,1
1471,4,0,0,3
1476,0,0,0,1
1477,0,0,0,1
1479,9,0,0,2
1496,0,0,0,1
1744,0,0,0,2
1747,14647,2158,12290,40174
1750,2,0,0,0
1828,4,0,0,0
2748,0,0,0,3
2751,1,0,0,1
13076,0,0,0,1
28035,0,0,0,2
28037,0,742,0,0
28090,0,0,0,1
28095,3,0,0,0
28116,1,0,0,0
28133,1670,0,1,2
28450,9,1,0,0
29378,0,0,0,1
29379,0,0,0,1
29380,0,0,0,77
29382,0,0,0,2
29388,0,0,0,36
29430,0,0,0,6
29448,0,0,1,0
29459,0,3,0,0
29461,0,16,0,0
29542,0,0,0,1
29581,122,1,0,1
32002,1693,1,1,0
32009,1,0,0,0
32062,0,21,0,0
33010,0,0,0,1
33011,9,1969,159,6671
33028,0,0,0,23
33050,3,0,0,0
33932,2,0,0,1
33936,1,0,0,0
33967,5,0,0,0
33968,4,0,0,0
33987,13,0,0,3
34070,0,11,0,0
34071,1,96,0,18
34073,82059,30420,3562,401
35814,2,0,0,0
35841,545,0,0,1030
36855,0,4,0,0
37448,2,0,0,0
37762,3,0,3,2
39688,0,0,0,1
40137,0,1,0,0
40214,0,0,0,2
40324,0,0,1,0
41276,0,2,0,0
41899,1,0,0,0
43768,1,0,0,0
45972,0,0,0,6
46124,0,0,0,1
46126,2,0,0,2
46127,0,0,0,3
47421,0,0,0,1
47715,1,0,0,0
51173,2,0,0,0
53344,1,0,0,1
57497,0,78,0,0
57975,6,2,0,0
60550,21,0,0,0
60552,3,0,0,0
68892,0,1,0,0
68895,2,0,0,0
69395,0,3,0,0
69665,67,12,0,0
69666,0,40,0,0
69966,8,0,0,4
69967,34,0,0,37
69968,2,0,0,0
72360,0,0,0,1
72758,0,0,0,4
74313,0,2,0,0
74329,1,16,0,0
75659,0,0,0,1
76114,1,0,0,0
76259,0,0,1,0
76731,1,1,0,0
78587,0,51,1,0
79880,0,0,0,1
80866,3572,3759,12548,5928
80867,22,0,0,0
80869,4,0,0,0
80878,4,0,0,0
81479,137,42,4,1
82348,0,1,0,0
82541,1,0,0,1
83333,0,1,0,2
85698,2438,1,1,5
86029,1,0,0,0
86663,1,0,0,3
86665,0,0,0,1
88688,1320,8,0,0
93061,0,0,0,1
94132,1,0,0,0
94624,2,0,0,0
95486,413,0,0,0
96241,0,0,0,2
98228,59,0,0,45
102684,0,1,0,0
103855,1,0,0,0
106590,1,0,0,0
108981,0,0,0,2
113107,0,1,0,0
114615,0,2,0,0
115778,1,0,0,0
115808,0,1,0,0
123899,1,0,0,0
131080,0,0,0,1
135461,0,0,0,2
140098,1,0,0,0
143495,1,0,0,1
145391,0,0,0,1
149016,0,1,0,0
152480,14,0,0,0
152500,2,0,0,0
153151,1,0,0,0
154288,0,0,0,1
155892,47,8,0,0
160825,0,288,1,1
161879,0,54,0,0
164608,4,0,0,0
168935,0,13,0,0
169430,2,1,1,0
170573,0,0,0,1
171101,0,1,0,0
174587,5,0,0,3
176279,0,0,0,111
176280,0,0,0,8
178214,3,0,0,0
179636,1,0,1,0
179879,3,0,0,0
180282,160,156,487,268
180400,119,0,0,0
189691,3,0,0,5
190721,621,265,1,0
191302,14,0,0,0
192843,1,13,0,0
198483,5,0,0,3
199683,1,0,0,0
200252,0,2,0,0
204525,0,390,1,0
207340,0,33,0,0
207745,3,0,0,0
208596,1,0,0,0
214473,0,0,0,2
216591,1,0,0,0
216592,1,0,0,0
217203,678,0,1,0
217204,645,0,1,0
221109,0,0,0,1
223188,7,41,0,0
225991,1,524,0,0
225992,0,1,2,0
228899,2,0,0,12
234621,1,0,0,0
246201,0,39,0,0
254785,0,0,0,1
255247,0,0,0,1
257708,0,36,0,0
261591,0,0,0,1
264199,0,0,0,5
265293,1,0,0,0
265960,0,1,0,0
267128,5,0,0,0
267747,161,25,107,423
270351,0,2,0,0
272568,0,1,0,0
273036,0,0,0,2
273528,6,0,0,0
279058,0,2,0,0
279238,1,0,0,0
279826,0,0,0,1
281362,0,0,1,0
282217,452,157,24,1
283734,13,0,0,22
283878,0,0,0,1
284581,0,0,0,1
292913,4,0,0,0
293387,0,0,0,3
294699,4,0,0,9
296591,12,0,0,0
298596,1,0,0,0
299768,1,3974,0,3
307486,5,0,0,0
308354,0,0,0,2
310581,4,0,0,0
311230,8,3,1,0
317655,93,0,0,0
320497,0,234,0,0
321984,0,52,0,2
322159,0,8,0,2
328692,0,9,0,0
331272,2,0,0,0
332249,5,0,0,0
335476,3,0,1,1
338969,2,25,0,0
340268,0,1,0,0
358220,22,11,0,0
361183,2,0,0,0
363835,1,0,0,0
363952,29,107,8,3
364410,0,2,0,0
365044,2,0,0,0
365046,0,1,0,0
365659,1,856,0,1
368607,232,0,0,0
371036,3,0,0,2
375286,1,0,0,0
379895,1,40,2,0
388919,0,2,0,0
391290,0,0,0,2
391735,4,1,0,0
392593,0,1,0,0
395495,1,0,0,0
395965,1,0,0,0
398511,0,1,0,0
398578,6,9,16,14
399497,0,0,1,0
400770,27,0,0,0
401471,0,1,0,0
402881,0,1,0,0
412384,2,0,0,2
413882,2,0,0,0
416213,2,0,0,1
417203,1,0,0,0
420246,1,0,0,1
424800,2,0,0,0
426737,1,0,0,0
427140,137,0,0,0
430531,1,0,0,0
430679,0,1,0,0
434008,6,4,0,0
434014,1,0,0,0
436515,1875,639,80,6
436663,2,0,0,0
438753,0,1,0,0
445709,3,0,0,0
446470,1,0,0,0
450367,2,0,0,3
450851,0,3,0,0
451876,0,1,0,0
457921,1,2,0,635
459472,1,1,0,0
463014,3,0,0,0
467262,1,0,0,1
475937,0,20,0,0
482957,176,2,0,0
488222,0,4,0,0
488446,4,0,0,0
488447,468,0,0,1
488729,2,0,0,0
488730,38,0,0,0
492670,1,1,0,2
502682,1,0,0,0
504468,0,13,0,0
504474,0,0,1,0
511145,0,1,0,0
512402,2,0,0,0
516950,0,2,0,0
521720,1,0,0,0
525381,0,1,0,0
526224,1,0,0,0
531813,1,0,0,0
546414,0,10,0,0
548473,0,0,0,1
553199,0,0,1,1
553814,213,0,0,0
557724,1,0,0,0
558537,59,52,191,91
563996,1,0,0,0
570278,0,0,0,4
573065,0,5,0,0
586733,0,0,0,1
595537,174,70,9,1
633404,1,0,0,0
639200,3,1,0,1
645127,0,139,0,0
653931,2,0,0,0
657642,0,83,0,0
665099,7,0,0,1
