feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalibacterium.prausnitzii	dysbiosis	dysbiosis	-2.59244601151754	0.0738328627088178	1595	1534	1.82543220416279e-200	4.76437805286487e-198
Bacteroides.uniformis	dysbiosis	dysbiosis	-3.49681214889128	0.120818196457541	1595	1391	2.49884771221019e-148	3.2609962644343e-146
Alistipes.putredinis	dysbiosis	dysbiosis	-3.3617083254083	0.138696191695212	1595	940	1.02988855978784e-110	8.96003047015421e-109
Subdoligranulum.unclassified	dysbiosis	dysbiosis	-1.43618661743739	0.0605508141819365	1595	1546	9.80224074989126e-107	6.39596208930405e-105
Ruminococcus.obeum	dysbiosis	dysbiosis	-1.94949463665604	0.0845854833822143	1595	1346	1.18095395598514e-101	6.16457965024242e-100
Coprococcus.comes	dysbiosis	dysbiosis	-2.15515171704796	0.102837001874938	1595	848	2.59971861751347e-86	1.13087759861836e-84
Eubacterium.rectale	dysbiosis	dysbiosis	-2.50829372013821	0.124498798192654	1595	1318	1.3801285166081e-80	5.14590775478162e-79
Alistipes.onderdonkii	dysbiosis	dysbiosis	-2.77591140341091	0.140824347740341	1595	896	1.45247075910864e-77	4.73868585159194e-76
Clostridium.clostridioforme	dysbiosis	dysbiosis	1.92267476077579	0.103441583576929	1595	518	6.08252654596188e-70	1.76393269832895e-68
Parabacteroides.merdae	dysbiosis	dysbiosis	-2.72092454616819	0.147986505951474	1595	911	1.30237577567216e-68	3.39920077450435e-67
Bacteroides.ovatus	dysbiosis	dysbiosis	-2.37804276321012	0.130114223558681	1595	1319	6.88769370454846e-68	1.63426186989741e-66
Eubacterium.eligens	dysbiosis	dysbiosis	-2.31613921236187	0.131885088313347	1595	1015	3.02408829320826e-63	6.57739203772797e-62
Bacteroides.vulgatus	dysbiosis	dysbiosis	-2.22805910906148	0.127748335110471	1595	1455	1.79058368897245e-62	3.59494109862931e-61
Odoribacter.splanchnicus	dysbiosis	dysbiosis	-0.726622032083432	0.0429184135472093	1595	662	3.00986267731979e-59	5.61124399128903e-58
Bacteroides.caccae	dysbiosis	dysbiosis	-2.62203617673052	0.156339420836473	1595	1072	2.94171932335683e-58	5.11859162264088e-57
Alistipes.shahii	dysbiosis	dysbiosis	-2.10795658839634	0.130790199380364	1595	757	3.00136506846303e-54	4.89597676793031e-53
Oscillibacter.unclassified	dysbiosis	dysbiosis	-1.73245528844927	0.110318854761441	1595	1296	8.89239042737602e-52	1.36524347149714e-50
Collinsella.aerofaciens	dysbiosis	dysbiosis	-1.64317036497528	0.105276949050731	1595	835	3.28773989360487e-51	4.76722284572705e-50
Ruminococcus.gnavus	dysbiosis	dysbiosis	1.83392901160321	0.118416476825398	1595	970	1.69374285642162e-50	2.32666781855812e-49
Escherichia.coli	dysbiosis	dysbiosis	1.6545930838787	0.110527146736022	1595	975	1.68394021990145e-47	2.1975419869714e-46
Bilophila.unclassified	dysbiosis	dysbiosis	-1.61621908003198	0.108550195816635	1595	885	4.87881317405244e-47	6.06366780203661e-46
Coprobacillus.unclassified	dysbiosis	dysbiosis	1.22630626079861	0.0851857109224937	1595	415	2.92632000745367e-44	3.4716796452064e-43
Bacteroides.stercoris	dysbiosis	dysbiosis	-2.59627034002507	0.181693357849062	1595	1063	1.13742637131916e-43	1.29073166484479e-42
Alistipes.finegoldii	dysbiosis	dysbiosis	-1.64292612729564	0.116527639091208	1595	788	1.26506564644794e-42	1.37575889051213e-41
Lachnospiraceae.bacterium.3.1.46FAA	dysbiosis	dysbiosis	-1.51781672912826	0.108271167731844	1595	992	3.473416085273e-42	3.62624639302501e-41
Eubacterium.ventriosum	dysbiosis	dysbiosis	-1.63117868250354	0.118892708979817	1595	627	1.42959016193692e-40	1.43508858563668e-39
Bacteroidales.bacterium.ph8	dysbiosis	dysbiosis	-1.40593659648302	0.104958111590053	1595	472	7.53983127705602e-39	7.28850356782082e-38
Dorea.longicatena	dysbiosis	dysbiosis	-1.46829326047216	0.113767456633243	1595	1063	2.57816120576056e-36	2.40321455251252e-35
Alistipes.putredinis	diagnosis	UC	-4.71806471127332	0.369669798803227	1595	940	1.37664342560432e-35	1.23897908304388e-34
Roseburia.inulinivorans	dysbiosis	dysbiosis	-1.4488762191941	0.122571953850253	1595	1074	5.78442834328159e-31	5.03245265865498e-30
Eubacterium.hallii	dysbiosis	dysbiosis	-1.25419876696909	0.107961291188893	1595	923	5.27847754653874e-30	4.44413754724713e-29
Klebsiella.pneumoniae	dysbiosis	dysbiosis	0.857659726409174	0.0740325829389209	1595	171	7.46921406354091e-30	6.09207772057556e-29
Parabacteroides.distasonis	dysbiosis	dysbiosis	-1.65699395042657	0.144507392588898	1595	935	2.6563979358462e-29	2.1009692765329e-28
Clostridium.nexile	dysbiosis	dysbiosis	1.00783787546784	0.0887226019507719	1595	273	8.28997518644707e-29	6.36377506959613e-28
Bacteroides.cellulosilyticus	dysbiosis	dysbiosis	-1.533865718862	0.135376722080885	1595	526	1.12746327775735e-28	8.40765472841913e-28
Barnesiella.intestinihominis	dysbiosis	dysbiosis	-1.50703450317312	0.134007847988165	1595	484	2.74484876606502e-28	1.99001535539714e-27
Bacteroides.xylanisolvens	dysbiosis	dysbiosis	-1.33851993214948	0.121336439924647	1595	1072	2.55992098676607e-27	1.80578210147553e-26
Eubacterium.siraeum	dysbiosis	dysbiosis	-1.62125070088097	0.148119347450768	1595	656	6.19969340246896e-27	4.25821046853789e-26
Clostridium.leptum	dysbiosis	dysbiosis	-1.137024625092	0.106175786914001	1595	812	6.88020299725364e-26	4.6044435443159e-25
Bacteroides.thetaiotaomicron	dysbiosis	dysbiosis	-1.55627932761672	0.149023037018729	1595	1121	9.72121081348679e-25	6.34309005580013e-24
Parabacteroides.goldsteinii	diagnosis	CD	-1.97688733195212	0.192210530715044	1595	187	4.57991116835598e-24	2.91550442668515e-23
Clostridium.bolteae	dysbiosis	dysbiosis	1.18211882702243	0.118568338718411	1595	1138	9.44381051433962e-23	5.86865367676819e-22
Alistipes.shahii	diagnosis	UC	-3.46922845583242	0.348597795652684	1595	757	1.11970953654012e-22	6.79637648923192e-22
Sutterella.wadsworthensis	dysbiosis	dysbiosis	-1.42810095403199	0.145227366788872	1595	432	3.41278527544338e-22	2.02440217475164e-21
Akkermansia.muciniphila	diagnosis	UC	-3.67208816165222	0.38727693711575	1595	578	8.73564977490672e-21	5.0666768694459e-20
Roseburia.hominis	dysbiosis	dysbiosis	-1.24545201517975	0.131427728300593	1595	1061	9.18152909944606e-21	5.20951977164222e-20
Ruminococcus.lactaris	dysbiosis	dysbiosis	-1.10494008706128	0.117971900681722	1595	454	2.4812590390709e-20	1.37789065786703e-19
Alistipes.shahii	diagnosis	CD	-2.96330975843548	0.317750930194674	1595	757	3.55826291010809e-20	1.93480545737128e-19
Alistipes.onderdonkii	diagnosis	UC	-3.41514158017541	0.375342016673156	1595	896	2.65402839323358e-19	1.41367634823258e-18
Ruminococcus.bromii	dysbiosis	dysbiosis	-1.10072458449577	0.122591676814944	1595	512	7.53615116900411e-19	3.93387091022015e-18
Clostridium.hathewayi	dysbiosis	dysbiosis	1.04173122007838	0.117812785322662	1595	757	2.43528453456696e-18	1.2462926735725e-17
Clostridium.symbiosum	dysbiosis	dysbiosis	1.05258444195243	0.119495691503803	1595	801	3.24521176471503e-18	1.62884667421274e-17
Bacteroides.finegoldii	dysbiosis	dysbiosis	-1.16730692270412	0.132981617786503	1595	400	4.20807646055833e-18	2.07227916265231e-17
Alistipes.finegoldii	diagnosis	UC	-2.6497792256105	0.310583501762788	1595	788	3.31029870503536e-17	1.59997770743376e-16
Bacteroides.eggerthii	diagnosis	CD	-2.53223163361711	0.298611041912117	1595	309	5.06498537589136e-17	2.40356578746844e-16
Bacteroides.massiliensis	dysbiosis	dysbiosis	-1.34739982546801	0.160346734305283	1595	577	9.5155947321589e-17	4.43494683052406e-16
Clostridium.symbiosum	diagnosis	UC	2.6044696853663	0.318494312613403	1595	801	5.86184725155753e-16	2.68410900466055e-15
Bacteroides.faecis	dysbiosis	dysbiosis	-1.06891098155352	0.135730945825302	1595	604	6.24834829122655e-15	2.81175673105195e-14
Bifidobacterium.adolescentis	diagnosis	CD	-2.34465567935128	0.29919852532267	1595	555	8.41551813446578e-15	3.72279700524672e-14
Roseburia.hominis	diagnosis	CD	-2.49658666516784	0.319299787894933	1595	1061	9.62304640013144e-15	4.18602518405718e-14
Bifidobacterium.adolescentis	dysbiosis	dysbiosis	-0.956132379608524	0.12315380086311	1595	555	1.46606731980956e-14	6.27284541754583e-14
Bacteroides.dorei	dysbiosis	dysbiosis	-1.21719763037005	0.159035394091658	1595	1048	3.36714284859392e-14	1.40690396816086e-13
Eubacterium.ventriosum	diagnosis	CD	-2.21039390463103	0.288846328323383	1595	627	3.39597509556068e-14	1.40690396816086e-13
Roseburia.hominis	diagnosis	UC	-2.67948451828293	0.350297014533834	1595	1061	3.48140389483002e-14	1.41976002586037e-13
Ruminococcus.bromii	diagnosis	UC	-2.46597612049934	0.326746105637267	1595	512	7.4531303530581e-14	2.99271849561256e-13
Ruminococcus.callidus	dysbiosis	dysbiosis	-0.689155469418656	0.0914395915481812	1595	323	8.04633917508591e-14	3.1819614010567e-13
Akkermansia.muciniphila	diagnosis	CD	-2.65630755368321	0.353007415841719	1595	578	8.78896660097189e-14	3.4237616161995e-13
Parabacteroides.distasonis	diagnosis	UC	2.87991270828182	0.385158511499064	1595	935	1.24797893400193e-13	4.79003679080153e-13
Sutterella.wadsworthensis	diagnosis	UC	-2.88256253890181	0.387077473471955	1595	432	1.55769325041153e-13	5.89214403416535e-13
Roseburia.inulinivorans	diagnosis	CD	-2.20930272354276	0.297784945173375	1595	1074	1.9096283495113e-13	7.12018570317783e-13
Bilophila.unclassified	diagnosis	UC	-2.13067968737517	0.289321058906705	1595	885	2.84278461979607e-13	1.04502364192504e-12
Clostridium.bolteae	diagnosis	CD	2.08670140351175	0.288058280344426	1595	1138	6.75964852539146e-13	2.45037259045441e-12
Bacteroidales.bacterium.ph8	diagnosis	UC	-2.02019902014698	0.279747003288489	1595	472	7.93636696881484e-13	2.83752298474065e-12
Odoribacter.splanchnicus	diagnosis	UC	-0.815488101906133	0.11439132615707	1595	662	1.52872071897606e-12	5.39183929260476e-12
Subdoligranulum.unclassified	diagnosis	CD	-1.00346004870413	0.147106416394406	1595	1546	1.27753911735329e-11	4.44583612838946e-11
Burkholderiales.bacterium.1.1.47	dysbiosis	dysbiosis	-0.81680500251839	0.121099772686503	1595	731	2.13675810576529e-11	7.33807717900975e-11
Bacteroides.finegoldii	diagnosis	CD	-2.17828566615688	0.32307491655065	1595	400	2.1733774369116e-11	7.36690274070034e-11
Coprobacillus.unclassified	diagnosis	UC	1.52924983308257	0.227047219052916	1595	415	2.27715897166505e-11	7.61972425134075e-11
Clostridium.leptum	diagnosis	CD	-1.73530368963168	0.257950941400128	1595	812	2.40415227620205e-11	7.94283220365488e-11
Barnesiella.intestinihominis	diagnosis	UC	-2.40067588088899	0.357173860351556	1595	484	2.50164748249042e-11	8.161624911625e-11
Bacteroides.ovatus	diagnosis	UC	2.30409554401373	0.346796103458087	1595	1319	4.18119320461007e-11	1.34727336592991e-10
Bacteroides.salyersiae	dysbiosis	dysbiosis	-0.53604288015402	0.0814987974643495	1595	167	6.48011123645041e-11	2.06257199111409e-10
Bifidobacterium.pseudocatenulatum	dysbiosis	dysbiosis	-0.473865798495814	0.0724603264615959	1595	230	8.28564877701203e-11	2.60548714554234e-10
Eubacterium.siraeum	diagnosis	UC	-2.53228692508218	0.394785528728261	1595	656	1.86046274544013e-10	5.78072353047468e-10
Ruminococcus.bromii	diagnosis	CD	-1.88507589086502	0.29783286153413	1595	512	3.19488100136973e-10	9.81016401597059e-10
Bacteroides.intestinalis	dysbiosis	dysbiosis	-0.48575794862286	0.0774043564290984	1595	193	4.48077103415223e-10	1.35986190687643e-09
Clostridium.bolteae	diagnosis	UC	1.94750358922067	0.316022620251807	1595	1138	9.05257338848997e-10	2.71577201654699e-09
Alistipes.putredinis	diagnosis	CD	-2.00174069551875	0.336958305243084	1595	940	3.48100769046623e-09	1.03243523546782e-08
Barnesiella.intestinihominis	diagnosis	CD	-1.9310958119327	0.32556811254482	1595	484	3.67631800527266e-09	1.07811123525412e-08
Veillonella.parvula	dysbiosis	dysbiosis	0.718956452155131	0.121807527910948	1595	853	4.36997613442728e-09	1.26729307898391e-08
Bacteroides.fragilis	diagnosis	CD	2.51395081254866	0.426949544660448	1595	891	4.7544880284579e-09	1.36364986310715e-08
Ruminococcus.callidus	diagnosis	CD	-1.30681341671664	0.2221497895768	1595	323	4.91441247427878e-09	1.39419745194213e-08
Ruminococcus.lactaris	diagnosis	CD	-1.68540470904123	0.286609251733267	1595	454	4.97527707877934e-09	1.39628743823807e-08
Parabacteroides.distasonis	diagnosis	CD	2.03690181184801	0.351076446344365	1595	935	7.89764110155251e-09	2.19285566755873e-08
Parabacteroides.goldsteinii	diagnosis	UC	-1.20465699629833	0.210870090191226	1595	187	1.32410154214881e-08	3.63779476316673e-08
Prevotella.copri	diagnosis	CD	-2.17552965280758	0.385722587593169	1595	439	2.00732546694142e-08	5.45741611324698e-08
Parabacteroides.goldsteinii	dysbiosis	dysbiosis	-0.437756828528065	0.0791162235774554	1595	187	3.67333395268802e-08	9.78306287399565e-08
Parasutterella.excrementihominis	dysbiosis	dysbiosis	-0.671096448932608	0.121270809689975	1595	759	3.65731806238553e-08	9.78306287399565e-08
Alistipes.onderdonkii	diagnosis	CD	-1.88993433340465	0.342128597559655	1595	896	3.86376086338325e-08	1.01862786398286e-07
Bacteroides.massiliensis	diagnosis	CD	-2.11266674687893	0.389557659676075	1595	577	6.75448401062017e-08	1.76292032677186e-07
Paraprevotella.clara	dysbiosis	dysbiosis	-0.430369505465635	0.0801252956079798	1595	191	8.97928708690341e-08	2.32039002938791e-07
Bacteroides.ovatus	diagnosis	CD	1.69402737960566	0.316108666881776	1595	1319	9.59581176008851e-08	2.45539889155206e-07
Veillonella.dispar	dysbiosis	dysbiosis	0.518567251230239	0.097359872061693	1595	495	1.14575606260955e-07	2.90332361496206e-07
Parabacteroides.unclassified	diagnosis	UC	1.8125796794318	0.343102220054505	1595	730	1.44731718636601e-07	3.63220947732238e-07
Alistipes.finegoldii	diagnosis	CD	-1.48974811425921	0.283100460814647	1595	788	1.61664823604393e-07	4.0185256153092e-07
Ruminococcus.callidus	diagnosis	UC	-1.25853530767192	0.243715815100006	1595	323	2.72270160731101e-07	6.70401056139786e-07
Bacteroides.eggerthii	dysbiosis	dysbiosis	-0.627769139081707	0.122911985450165	1595	309	3.65850279014665e-07	8.92401147876894e-07
Parabacteroides.unclassified	diagnosis	CD	1.59058197874241	0.312741649355686	1595	730	4.09166758254805e-07	9.88819665782444e-07
Roseburia.intestinalis	diagnosis	CD	-1.88381159268466	0.373210828617066	1595	1001	4.9884402385748e-07	1.1944797268514e-06
Bacteroides.uniformis	diagnosis	CD	1.48033387713196	0.293524243335546	1595	1391	5.09930231254452e-07	1.20992536688556e-06
Clostridium.leptum	diagnosis	UC	-1.41772962173914	0.282992498254932	1595	812	6.05655766343749e-07	1.42410950464611e-06
Ruminococcus.torques	dysbiosis	dysbiosis	-0.263436422430764	0.0556540236163481	1595	1514	2.403062142226e-06	5.59999302786595e-06
Subdoligranulum.unclassified	diagnosis	UC	-0.759820909469705	0.161387324499846	1595	1546	2.71811499585529e-06	6.27812401697549e-06
Burkholderiales.bacterium.1.1.47	diagnosis	UC	1.49906313467077	0.322769703024813	1595	731	3.69178092924491e-06	8.4522352853765e-06
Ruminococcus.obeum	diagnosis	UC	1.03642591660676	0.225447420303295	1595	1346	4.62053231396691e-06	1.04865994256119e-05
Acidaminococcus.unclassified	dysbiosis	dysbiosis	-0.474066127541103	0.104397636265269	1595	194	6.02116870168264e-06	1.35476295787859e-05
Eubacterium.siraeum	diagnosis	CD	-1.62147856247826	0.359851584104058	1595	656	7.08953867270155e-06	1.58151247314111e-05
Acidaminococcus.unclassified	diagnosis	CD	1.12687858686738	0.253630976866565	1595	194	9.48467201171908e-06	2.09788084327007e-05
Bacteroides.xylanisolvens	diagnosis	CD	1.30363433693122	0.294783300547174	1595	1072	1.04254717223938e-05	2.28659505844099e-05
Paraprevotella.unclassified	dysbiosis	dysbiosis	-0.48231902679186	0.112490768767954	1595	243	1.9143595456875e-05	4.1561514297882e-05
Clostridium.symbiosum	diagnosis	CD	1.24432516398854	0.290311256573326	1595	801	1.92679817243054e-05	4.1561514297882e-05
Eubacterium.ventriosum	diagnosis	UC	-1.32709249141419	0.316887170949313	1595	627	2.96975058482487e-05	6.35331887409255e-05
Clostridium.clostridioforme	diagnosis	CD	1.03770749430092	0.251308275070296	1595	518	3.82878971778617e-05	8.12450501091212e-05
Veillonella.atypica	dysbiosis	dysbiosis	0.416368144809489	0.102261800236998	1595	524	4.89874828412191e-05	0.000103110750173856
Veillonella.dispar	diagnosis	CD	-0.932885039888976	0.236532936395859	1595	495	8.36170718421501e-05	0.000174592446006409
Eubacterium.sp.3.1.31	dysbiosis	dysbiosis	0.27670638299676	0.0709372932298952	1595	217	9.99023307504959e-05	0.000206940542268884
Eubacterium.hallii	diagnosis	CD	-0.994201102044996	0.262288771351464	1595	923	0.000155965724383578	0.000320527984756801
Bacteroides.uniformis	diagnosis	UC	1.16433676392086	0.322019212137962	1595	1391	0.00030883357451016	0.000629730960524624
Oscillibacter.unclassified	diagnosis	UC	1.05932315581765	0.294035101796324	1595	1296	0.000324603714410069	0.00065675635241107
Bifidobacterium.longum	dysbiosis	dysbiosis	-0.456840245836081	0.127643753347824	1595	1002	0.000355224529892923	0.000713181556169638
Clostridium.nexile	diagnosis	CD	-0.757450562902005	0.215548943519556	1595	273	0.000453678330661113	0.000903893467958401
Peptostreptococcaceae.noname.unclassified	diagnosis	CD	-0.782989047990333	0.230859085174452	1595	423	0.00071179883813783	0.00140742042995435
Alistipes.unclassified	dysbiosis	dysbiosis	0.334292883168896	0.100653844870354	1595	224	0.000916570218339266	0.0017986829096733
Bacteroides.eggerthii	diagnosis	UC	-1.08267667240059	0.327599830799362	1595	309	0.0009713141661236	0.00187787405450563
Coprobacter.fastidiosus	diagnosis	UC	-0.632843854394828	0.191384232998299	1595	177	0.000965168090444482	0.00187787405450563
Sutterella.wadsworthensis	diagnosis	CD	-1.16339851310753	0.35282560241907	1595	432	0.000997446711402929	0.00191421758585415
Roseburia.unclassified	dysbiosis	dysbiosis	-0.464198544011433	0.143093350841298	1595	513	0.001202982251307	0.00229181290212502
Dorea.longicatena	diagnosis	CD	-0.887545766082803	0.276394678977164	1595	1063	0.00134844289532017	0.00255031591071424
Prevotella.copri	diagnosis	UC	-1.34182958914597	0.423168057088136	1595	439	0.00154856981922283	0.00290774620731769
Flavonifractor.plautii	dysbiosis	dysbiosis	0.339881126287723	0.107689749000231	1595	1068	0.00162882024502868	0.00303658631394633
Bacteroides.fragilis	diagnosis	UC	1.42919137887148	0.468397275917854	1595	891	0.0023166924791471	0.00428834565288931
Coprobacillus.unclassified	diagnosis	CD	0.623100725849338	0.206956171128681	1595	415	0.00264675571093452	0.00486481155319656
Bacteroides.xylanisolvens	diagnosis	UC	0.962191569424284	0.323400497059159	1595	1072	0.00297180297412144	0.00542405997374612
Bacteroides.cellulosilyticus	diagnosis	UC	-1.06284641254357	0.360822348491408	1595	526	0.00326989571634263	0.00592668598587102
Bacteroides.thetaiotaomicron	diagnosis	CD	-1.05576865863369	0.362047071244433	1595	1121	0.0035939160119445	0.0064690488215001
Coprobacter.fastidiosus	dysbiosis	dysbiosis	-0.207842962899322	0.0718053364199833	1595	177	0.0038489909973437	0.00683392279120208
Lachnospiraceae.bacterium.3.1.46FAA	diagnosis	UC	-0.835501780988149	0.288577359640673	1595	992	0.00384034105711758	0.00683392279120208
Flavonifractor.plautii	diagnosis	CD	0.741728666856557	0.26162906761645	1595	1068	0.00463992747659305	0.00818257480669449
Bilophila.unclassified	diagnosis	CD	-0.733055761694559	0.263719497767874	1595	885	0.00550529024410578	0.00964349499135308
Paraprevotella.clara	diagnosis	UC	-0.592339471399067	0.213559590529647	1595	191	0.00560786157830782	0.0097576791462556
Bifidobacterium.bifidum	dysbiosis	dysbiosis	-0.277277130809225	0.104175277262105	1595	425	0.0078543622338402	0.013576083066439
Clostridium.citroniae	diagnosis	CD	0.527097838878146	0.201239548038218	1595	462	0.00889593273549617	0.0152752529208191
Clostridium.hathewayi	diagnosis	UC	0.818978682784014	0.31400882832012	1595	757	0.00918880815090002	0.0156750256691824
Ruminococcus.gnavus	diagnosis	CD	0.74244028183043	0.287689336356308	1595	970	0.00994885500547842	0.0168613711456485
Bacteroides.caccae	diagnosis	UC	-1.04394393882722	0.416694658586123	1595	1072	0.0123341075072206	0.0207690455444166
Dialister.invisus	diagnosis	CD	0.840769776118504	0.336394513017933	1595	777	0.0125419980776061	0.0209837275529179
Veillonella.unclassified	diagnosis	CD	-0.781985030683369	0.316309565441121	1595	995	0.0135318270846578	0.0224955851534758
Oscillibacter.unclassified	diagnosis	CD	0.661974826900424	0.268016402486819	1595	1296	0.0136191819079789	0.0224975093543196
Veillonella.atypica	diagnosis	UC	0.672479879832572	0.272560469446342	1595	524	0.0137194516530886	0.0225206093173341
Bacteroides.finegoldii	diagnosis	UC	-0.869088573467312	0.354438627988379	1595	400	0.0143127147730854	0.0233476159735956
Clostridium.nexile	diagnosis	UC	-0.578641786658638	0.236474167109902	1595	273	0.0145143960437058	0.0235295488658833
Bacteroides.cellulosilyticus	diagnosis	CD	-0.803214157128481	0.328893751761993	1595	526	0.0147075313532966	0.0236954671803112
Bacteroides.intestinalis	diagnosis	CD	0.457642147819514	0.188051599989828	1595	193	0.0150590130833541	0.0241128982500333
Lachnospiraceae.bacterium.1.1.57FAA	diagnosis	UC	-0.622127190110293	0.25953118439108	1595	475	0.0166392837625797	0.0264808113538615
Clostridium.clostridioforme	diagnosis	UC	0.658062680689409	0.275704970132144	1595	518	0.0171102808299506	0.0270653533128309
Odoribacter.splanchnicus	diagnosis	CD	0.244816768043823	0.10426901932801	1595	662	0.0189997762854406	0.0298731422319276
Streptococcus.salivarius	diagnosis	UC	0.637471858259176	0.273426388628675	1595	582	0.0198555222781041	0.0310316845184741
Eubacterium.eligens	diagnosis	CD	-0.740121186758875	0.32041093055069	1595	1015	0.0210204636647108	0.0326567917648186
Veillonella.unclassified	dysbiosis	dysbiosis	0.298147999058053	0.130196915881929	1595	995	0.0221529919633282	0.0342126088901104
Eubacterium.rectale	diagnosis	CD	-0.681877819414611	0.302466156648233	1595	1318	0.024306940072298	0.037100066426139
Eubacterium.rectale	diagnosis	UC	-0.748185429616782	0.331829195283598	1595	1318	0.0242857303291847	0.037100066426139
