"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Alistipes.putredinis"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.35454675969377	0.00444581579379619	0.104346130809048	0	0	0	0	NA	"abundance"	1595	940
"Bacteroides.uniformis"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.85991067113663	0.00444581579379619	0.0944919230561392	0	0	0	0	NA	"abundance"	1595	1391
"Bacteroides.vulgatus"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.42530160274488	0.00444581579379619	0.113233922551928	0	0	0	0	NA	"abundance"	1595	1455
"Clostridium.clostridioforme"	"dysbiosis"	"dysbiosis"	"dysbiosis"	1.52230221734021	0.00444581579379619	0.140286586402643	0	0	0	0	NA	"abundance"	1595	518
"Escherichia.coli"	"dysbiosis"	"dysbiosis"	"dysbiosis"	1.34893506820213	0.00444581579379619	0.0964181447279939	0	0	0	0	NA	"abundance"	1595	975
"Faecalibacterium.prausnitzii"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.92008424720292	0.00444581579379619	0.0580565105623848	0	0	0	0	NA	"abundance"	1595	1534
"Subdoligranulum.unclassified"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.05303501297487	0.00444581579379619	0.0578840931967047	0	0	0	0	NA	"abundance"	1595	1546
"Coprococcus.comes"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.16420700176097	0	0.072067002753068	1.05556704049996e-58	6.11056031222756e-57	2.11113408099994e-58	6.8875749392623e-57	NA	"prevalence"	1595	848
"Ruminococcus.obeum"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.53010779939138	0	0.0955964071578736	1.16195664184366e-57	6.05379410400544e-56	2.32391328368734e-57	6.73934852269328e-56	NA	"prevalence"	1595	1346
"Bacteroides.ovatus"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.30778781351382	0	0.0837420716153376	5.58952567042875e-55	2.64740261299398e-53	1.11790513408575e-54	2.91773239996381e-53	NA	"prevalence"	1595	1319
"Alistipes.onderdonkii"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.09089057474653	0	0.0704503055639702	4.41207003964092e-54	1.91557374221077e-52	8.82414007928185e-54	2.09372778244779e-52	NA	"prevalence"	1595	896
"Parabacteroides.merdae"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.987852183821917	0	0.0661930567057429	2.30736666282991e-50	9.2472156256491e-49	4.61473332565984e-50	1.00370449833102e-48	NA	"prevalence"	1595	911
"Odoribacter.splanchnicus"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.09250044572235	0	0.0735328433296565	6.23775929288524e-50	2.32133756542372e-48	1.24755185857704e-49	2.50470026991237e-48	NA	"prevalence"	1595	662
"Eubacterium.rectale"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.07636730027783	0	0.0765715691260354	6.97725543011758e-45	2.13832357593603e-43	1.39545108602351e-44	2.42808488968091e-43	NA	"prevalence"	1595	1318
"Oscillibacter.unclassified"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-1.03781753392272	0	0.073807662673165	6.58468997662957e-45	2.13832357593603e-43	1.31693799532592e-44	2.42808488968091e-43	NA	"prevalence"	1595	1296
"Bilophila.unclassified"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.907537795404711	0	0.0646445738310503	9.01182194366985e-45	2.60842179591777e-43	1.80236438873398e-44	2.9401069091223e-43	NA	"prevalence"	1595	885
"Alistipes.shahii"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.976893846345679	0	0.07019506930118	5.00520183348703e-44	1.37247902907723e-42	1.00104036669741e-43	1.53689138651779e-42	NA	"prevalence"	1595	757
"Collinsella.aerofaciens"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.896876203285148	0	0.0644683860139552	5.36533468595279e-44	1.3976696856907e-42	1.07306693719056e-43	1.55594705892631e-42	NA	"prevalence"	1595	835
"Eubacterium.eligens"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.893457764741824	0	0.0644297901235501	1.00174413458926e-43	2.48527949581431e-42	2.00348826917854e-43	2.75216020134526e-42	NA	"prevalence"	1595	1015
"Bacteroides.caccae"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.86249368768346	0	0.0630003142791751	1.16016920244932e-42	2.74749161125497e-41	2.32033840489864e-42	3.02804161839272e-41	NA	"prevalence"	1595	1072
"Bacteroides.xylanisolvens"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.833077174349932	0	0.0624018693866862	1.18137997805693e-40	2.67608247203331e-39	2.36275995611387e-40	2.93657308831295e-39	NA	"prevalence"	1595	1072
"Alistipes.finegoldii"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.854457553525755	0	0.064741343741193	9.00714353648698e-40	1.95530074271238e-38	1.80142870729739e-39	2.13714951183918e-38	NA	"prevalence"	1595	788
"Lachnospiraceae.bacterium.3.1.46FAA"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.759552918205469	0	0.0599263105437573	8.15852608306863e-37	1.63484311126106e-35	1.63170521661373e-36	1.85163070233123e-35	NA	"prevalence"	1595	992
"Parabacteroides.distasonis"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.743743721932834	0	0.0601824130639568	4.4013083755176e-35	8.49289505053581e-34	8.80261675103525e-35	9.57284571675084e-34	NA	"prevalence"	1595	935
"Eubacterium.ventriosum"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.833708070917282	0	0.0690424813455388	1.42658243320084e-33	2.56292912999185e-32	2.85316486640167e-33	2.97870412052334e-32	NA	"prevalence"	1595	627
"Dorea.longicatena"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.728413779469656	0	0.0603817459335544	1.6468149001846e-33	2.85996854332059e-32	3.2936298003692e-33	3.3062976072937e-32	NA	"prevalence"	1595	1063
"Eubacterium.hallii"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.72585230352617	0	0.0606626110920103	5.39381421565421e-33	9.0650877624382e-32	1.07876284313084e-32	1.04280408169315e-31	NA	"prevalence"	1595	923
"Bacteroidales.bacterium.ph8"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.883735316621439	0	0.0743607063071977	1.42588311887887e-32	2.32151595292466e-31	2.85176623775774e-32	2.65825352876704e-31	NA	"prevalence"	1595	472
"Clostridium.leptum"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.695304040279414	0	0.0609487403116133	3.81339578258387e-30	6.02054303856423e-29	7.62679156516777e-30	6.86411240865099e-29	NA	"prevalence"	1595	812
"Roseburia.inulinivorans"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.692208646657728	0	0.0612572352226585	1.31171938663245e-29	2.01001706010443e-28	2.62343877326492e-29	2.28239173274048e-28	NA	"prevalence"	1595	1074
"Bacteroides.thetaiotaomicron"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.673177207137217	0	0.0602792583080988	5.87186781429984e-29	8.74069466071491e-28	1.17437356285997e-28	9.88746773891782e-28	NA	"prevalence"	1595	1121
"Bacteroides.cellulosilyticus"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.734769983215091	0	0.0680128500387316	3.31691205592566e-27	4.67057075983046e-26	6.63382411185134e-27	5.41071279122875e-26	NA	"prevalence"	1595	526
"Eubacterium.siraeum"	"dysbiosis"	"dysbiosis"	"dysbiosis"	-0.663774137553169	0	0.0619333785902355	8.42034523975538e-27	1.15447364997699e-25	1.68406904795108e-26	1.33194551974313e-25	NA	"prevalence"	1595	656
