SampleID	observed	diversity_shannon	reads	NumAbund_1Per	NumInNCT
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	100	1.0742583667423	87975.060209289	8	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	174	3.70466042138093	27295.6916067993	28	9
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	29	2.35012765363291	2833.1192484176	17	15
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	116	0.997246566089547	18814.6286588493	5	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	176	2.45963286897277	53156.5395093592	9	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	98	3.5854875381024	4068.58140623435	27	10
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	41	1.76642255704602	16906.1473852569	11	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	150	2.91280352298273	31033.5046156569	12	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	126	3.24945294320687	7462.47473399002	17	7
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	80	2.75629196401575	5745.09617428812	12	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	100	3.46181931829508	23438.1765119587	20	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	72	2.53884965295788	7243.86117060817	16	9
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	114	1.27614764436881	76364.0626020605	10	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	164	3.18325024046751	27703.5797153584	20	8
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	120	2.54997193609541	30434.0667256927	11	3
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	126	2.35847831221871	22246.0549906033	10	6
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	131	2.41948243607407	41426.732034431	11	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	157	3.99840865692408	19920.7546125916	30	10
