SampleID	observed	diversity_shannon	reads	NumAbund_1Per	NumInNCT
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	77	1.00140533569878	859130.722251069	8	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	136	3.63979956350404	9554.22157356968	27	8
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	22	1.92555290707471	3898.5812215564	22	16
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	91	0.882825359623379	51447.9926824793	5	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	137	2.36644625313915	25508.4976197036	8	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	85	3.43764051521079	2989.87837575383	25	10
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	35	1.67356529737133	14659.4755785436	10	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	118	2.8244644815225	16342.8949215954	11	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	111	3.09628843301163	5104.56790866088	15	6
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	64	2.56624243612924	5497.482405037	13	6
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	92	3.41567434138139	5800.33658741563	20	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	56	2.22562334049094	8349.40517113489	13	6
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	85	1.2157805338785	162825.076720032	9	3
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	127	2.89695098705756	14679.1594848798	17	7
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	92	1.81800785930758	19882.3762357512	8	1
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	93	2.12350873083078	7951.22625054612	8	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	101	1.62119597918331	19715.0608149873	5	2
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	120	3.89306461667846	7321.34611587439	32	11
