SampleID	observed	NumAbund_1Per	NumInNCT_Abd	NumPrev_50Per	NumInNCT_prev	NumPrev_Abd	NumInNCT_both
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	77	8	5	73	27	7	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	136	27	8	123	50	27	8
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	22	22	16	22	16	22	16
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	91	5	3	86	39	4	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	137	8	2	125	50	8	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	85	25	10	80	34	24	10
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	35	10	3	32	15	10	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	118	11	3	108	44	11	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	111	15	6	105	41	14	6
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	64	13	6	62	26	13	6
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	92	20	3	89	34	20	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	56	13	6	50	24	12	6
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	85	9	3	81	27	9	3
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	127	17	7	117	48	16	6
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	92	8	1	90	30	7	0
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	93	8	4	90	34	7	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	101	5	2	95	37	4	1
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	120	32	11	112	43	32	11
