SampleID	observed	diversity_shannon	reads	NumAbund_1Per	NumInNCT
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	45	1.1938129337532	27558.7678095084	8	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	147	3.78350960186159	30805.2993750995	28	9
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	39	1.8873446453932	85944.1054496921	7	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	76	1.18877801804806	32584.2769537193	5	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	114	2.69460194384936	68022.6593104251	12	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	94	3.86213844567104	10615.4841321789	26	11
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	53	1.84139697091576	79141.3355141819	11	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	113	3.06147655715123	37822.260271448	12	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	64	1.14211000424055	25382.4381404538	5	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	64	2.68183810350543	34805.0600095891	16	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	129	3.65327651170393	26723.56348815	19	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	87	2.72470796007357	33739.0560958175	18	11
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	30	1.28694204640553	174279.910050617	10	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	138	3.66117463673343	27113.8378752635	24	12
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	47	3.1090815601248	42175.4547847828	23	8
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	40	2.9065926242831	19810.6295386011	18	9
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	55	3.185478169592	15746.4865678922	23	7
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	174	4.27221113264063	10371.3919893238	29	9
