SampleID	observed	diversity_shannon	reads	NumPrev_Abd	NumInNCT
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	45	1.1938129337532	27558.7678095084	2	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	147	3.78350960186159	30805.2993750995	15	6
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	39	1.8873446453932	85944.1054496921	1	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	76	1.18877801804806	32584.2769537193	2	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	114	2.69460194384936	68022.6593104251	3	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	94	3.86213844567104	10615.4841321789	8	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	53	1.84139697091576	79141.3355141819	2	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	113	3.06147655715123	37822.260271448	5	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	64	1.14211000424055	25382.4381404538	0	0
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	64	2.68183810350543	34805.0600095891	2	0
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	129	3.65327651170393	26723.56348815	6	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	87	2.72470796007357	33739.0560958175	6	3
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	30	1.28694204640553	174279.910050617	2	1
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	138	3.66117463673343	27113.8378752635	4	2
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	47	3.1090815601248	42175.4547847828	2	0
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	40	2.9065926242831	19810.6295386011	0	0
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	55	3.185478169592	15746.4865678922	3	1
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	174	4.27221113264063	10371.3919893238	11	6
