SampleID	observed	NumAbund_1Per	NumInNCT_Abd	NumPrev_50Per	NumInNCT_prev	NumPrev_Abd	NumInNCT_both
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	45	8	5	3	2	2	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	147	28	9	21	9	15	6
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	39	7	5	7	5	1	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	76	5	3	14	5	2	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	114	12	4	22	11	3	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	94	26	11	19	8	8	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	53	11	4	8	4	2	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	113	12	3	22	10	5	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	64	5	2	7	3	0	0
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	64	16	5	12	3	2	0
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	129	19	4	24	11	6	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	87	18	11	18	8	6	3
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	30	10	4	4	2	2	1
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	138	24	12	19	8	4	2
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	47	23	8	8	1	2	0
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	40	18	9	2	1	0	0
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	55	23	7	5	3	3	1
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	174	29	9	22	10	11	6
