SampleID	observed	NumAbund_1Per	NumInNCT_Abd	NumPrev_50Per	NumInNCT_prev	NumPrev_Abd	NumInNCT_both	Method
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	211	11	7	140	56	9	6	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	395	24	8	204	91	24	8	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	90	10	6	71	43	10	6	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	237	10	5	150	66	10	5	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	385	15	6	203	88	12	5	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	218	8	4	151	66	8	4	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	62	11	4	48	29	11	4	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	307	15	5	182	82	15	5	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	277	6	3	173	80	2	2	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	182	8	4	127	56	8	4	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	162	16	5	135	56	15	5	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	101	19	12	60	33	14	8	origin
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	242	10	4	129	56	10	4	origin
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	412	17	8	188	87	12	6	origin
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	286	14	6	158	67	10	5	origin
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	306	12	6	160	73	10	5	origin
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	327	13	6	166	76	9	4	origin
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	369	27	9	174	78	27	9	origin
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	172	8	5	107	39	6	4	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	329	28	9	168	70	28	9	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	49	27	20	40	26	22	17	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	193	5	3	119	50	4	3	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	326	11	3	167	69	8	2	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	167	27	11	116	47	23	11	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	52	11	4	41	24	11	4	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	249	12	3	146	61	11	3	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	220	5	2	140	59	1	1	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	135	20	5	97	40	17	5	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	134	18	3	110	42	17	3	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	88	18	11	58	31	13	7	decontam
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	170	10	4	101	40	10	4	decontam
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	283	18	8	151	66	13	5	decontam
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	179	15	5	120	44	3	0	decontam
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	201	18	10	122	50	5	3	decontam
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	218	19	6	128	53	5	2	decontam
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	270	29	9	141	59	29	9	decontam
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	77	8	5	73	27	7	5	Fisher
