SampleID	observed	NumAbund_1Per	NumInNCT_Abd	NumPrev_50Per	NumInNCT_prev	NumPrev_Abd	NumInNCT_both
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	172	8	5	107	39	6	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	329	28	9	168	70	28	9
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	49	27	20	40	26	22	17
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	193	5	3	119	50	4	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	326	11	3	167	69	8	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	167	27	11	116	47	23	11
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	52	11	4	41	24	11	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	249	12	3	146	61	11	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	220	5	2	140	59	1	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	135	20	5	97	40	17	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	134	18	3	110	42	17	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	88	18	11	58	31	13	7
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	170	10	4	101	40	10	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	283	18	8	151	66	13	5
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	179	15	5	120	44	3	0
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	201	18	10	122	50	5	3
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	218	19	6	128	53	5	2
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	270	29	9	141	59	29	9
