SampleID	observed	diversity_shannon	reads	NumPrev_50Per	NumInNCT
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	172	1.22230992155743	77735.6578298941	107	39
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	329	3.83113447483857	34194.4105710837	168	70
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	49	3.09154197470613	9512.20348758549	40	26
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	193	1.25314317192307	35512.7941234338	119	50
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	326	2.71992795444027	78905.8601101138	167	69
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	167	4.08780950047436	14175.7874859798	116	47
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	52	1.84067720366929	273595.614450745	41	24
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	249	3.12707657851677	14202.7278028932	146	61
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	220	1.1813667984962	38740.5764500781	140	59
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	135	3.57064837328387	15323.526509573	97	40
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	134	3.65391289328086	24447.6351676075	110	42
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	88	2.73174503461134	10089.0285092949	58	31
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	170	1.3003716305592	111761.977050036	101	40
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	283	3.47625877432704	13037.7063250231	151	66
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	179	3.01078555120783	16505.8071983434	120	44
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	201	2.96154342187491	74831.2961510914	122	50
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	218	3.21875323412221	9439.67090764109	128	53
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	270	4.23110374138767	11721.6087286478	141	59
