SampleID	observed	NumAbund_1Per	NumInNCT_Abd	NumPrev_50Per	NumInNCT_prev	NumPrev_Abd	NumInNCT_both
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	211	11	7	140	56	9	6
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	395	24	8	204	91	24	8
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	90	10	6	71	43	10	6
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	237	10	5	150	66	10	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	385	15	6	203	88	12	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	218	8	4	151	66	8	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	62	11	4	48	29	11	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	307	15	5	182	82	15	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	277	6	3	173	80	2	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	182	8	4	127	56	8	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	162	16	5	135	56	15	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	101	19	12	60	33	14	8
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	242	10	4	129	56	10	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	412	17	8	188	87	12	6
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	286	14	6	158	67	10	5
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	306	12	6	160	73	10	5
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	327	13	6	166	76	9	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	369	27	9	174	78	27	9
