SampleID	observed	diversity_shannon	reads	NumPrev_50Per	NumInNCT
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	211	1.75576809444004	182417.549044996	140	56
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	395	3.95434354704876	126091.90806614	204	91
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	90	2.13944695289413	137124.605436827	71	43
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	237	2.23202134313592	65474.57075726	150	66
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	385	3.08505858072022	71674.8337185716	203	88
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	218	2.32485917258322	56112.5376294253	151	66
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	62	1.87327497807552	1348361.87414404	48	29
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	307	3.16545342988658	113637.046712046	182	82
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	277	1.39664474456539	68553.3599825284	173	80
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	182	2.05467130865892	41905.7603186302	127	56
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	162	2.9985718166858	202642.252046933	135	56
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	101	2.8740005085089	65915.086633082	60	33
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	242	1.34633480324889	267290.858612757	129	56
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	412	3.67651433829936	20768.9260310821	188	87
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	286	2.68789928038967	93491.2724774294	158	67
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	306	2.69199091788105	56100.3438287295	160	73
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	327	2.80461134750334	59179.9294795698	166	76
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	369	4.45184613263613	34013.8350946773	174	78
