SampleID	observed	NumAbund_1Per	NumInNCT_Abd	NumPrev_50Per	NumInNCT_prev	NumPrev_Abd	NumInNCT_both
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	114	9	6	62	19	5	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	229	27	8	112	40	27	8
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	16	16	10	12	8	12	8
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	125	17	10	75	31	11	6
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	235	10	2	113	40	7	1
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	97	26	7	72	28	21	7
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	35	10	3	27	10	10	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	169	15	2	99	37	13	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	154	3	1	97	34	0	0
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	69	12	3	50	18	10	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	109	20	3	88	32	19	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	67	14	6	46	20	11	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	131	9	3	78	22	9	3
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	208	16	5	108	39	13	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	121	11	4	81	23	3	0
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	138	13	6	82	28	2	1
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	149	14	2	86	30	2	0
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	211	29	10	106	37	29	10
