contrast	estimate	SE	df	t.ratio	p.value
decontam - Fisher	-0.0273611863661749	0.0110302651929404	68	-2.48055562469038	0.107184506738019
decontam - origin	0.0174324087160218	0.0110302651929404	68.0000000000003	1.58041610161638	0.514924063040469
decontam - restrictive	-0.0275859627881902	0.0110302651929404	68	-2.50093377680945	0.102421695052345
decontam - SCRuB	-0.0432214202600983	0.0110302651929404	68	-3.9184389046023	0.00190092174451806
Fisher - origin	0.0447935950821966	0.0110302651929404	68	4.06097172630677	0.00118320174036113
Fisher - restrictive	-0.000224776422015367	0.0110302651929404	68	-0.0203781521190649	0.999999959789039
Fisher - SCRuB	-0.0158602338939235	0.0110302651929404	68	-1.43788327991192	0.605714544799914
origin - restrictive	-0.045018371504212	0.0110302651929404	68	-4.08134987842583	0.00110469508670819
origin - SCRuB	-0.0606538289761201	0.0110302651929404	68	-5.49885500621869	6.0935458756628e-06
restrictive - SCRuB	-0.0156354574719081	0.0110302651929404	68	-1.41750512779286	0.618678618005546
