contrast	estimate	SE	df	t.ratio	p.value
decontam - Fisher	-0.0337959634265015	0.00675582432450885	68.0000000000012	-5.00249293101009	4.08485556205873e-05
decontam - origin	0.0108714244342892	0.00675582432450885	68.0000000000015	1.60919288484896	0.496814920696219
decontam - restrictive	-0.0208751324101616	0.00675582432450885	68.0000000000006	-3.0899460091688	0.023451281668038
decontam - SCRuB	0.0143728470852839	0.00675582432450884	68.0000000000003	2.12747496010842	0.220563126708972
Fisher - origin	0.0446673878607907	0.00675582432450885	68.0000000000006	6.61168581585905	6.98277285993143e-08
Fisher - restrictive	0.01292083101634	0.00675582432450884	68.0000000000003	1.9125469218413	0.320695572457556
Fisher - SCRuB	0.0481688105117855	0.00675582432450884	68	7.12996789111852	8.1853865907533e-09
origin - restrictive	-0.0317465568444507	0.00675582432450884	68.0000000000003	-4.69913889401776	0.000125683930886078
origin - SCRuB	0.00350142265099479	0.00675582432450884	68.0000000000003	0.51828207525946	0.98523900872291
restrictive - SCRuB	0.0352479794954455	0.00675582432450884	68	5.21742096927722	1.80810026420009e-05
