contrast	estimate	SE	df	t.ratio	p.value
decontam - Fisher	-0.120398075667278	0.0129637276697315	68.0000000000006	-9.2873036779684	0
decontam - origin	0.0281111987163065	0.0129637276697315	68.0000000000006	2.16845026619483	0.204193128810863
decontam - restrictive	-0.0445798749376909	0.0129637276697315	68.0000000000003	-3.43881606227958	0.00860162523911634
decontam - SCRuB	0.15334197642998	0.0129637276697315	68.0000000000003	11.8285403964488	0
Fisher - origin	0.148509274383584	0.0129637276697315	68	11.4557539441632	0
Fisher - restrictive	0.0758182007295871	0.0129637276697315	68	5.84848761568882	1.53484424736394e-06
Fisher - SCRuB	0.273740052097258	0.0129637276697315	68	21.1158440744172	0
origin - restrictive	-0.0726910736539973	0.0129637276697315	68	-5.60726632847441	3.98577587357174e-06
origin - SCRuB	0.125230777713673	0.0129637276697315	68	9.66009013025397	0
restrictive - SCRuB	0.197921851367671	0.0129637276697315	68	15.2673564587284	0
