feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Direction
Brevundimonas_sp._DS20,LP,2,3.81148972130375,0.368110656289552,16,12,1.19966144957483e-7,1.1893786371499e-5,LP2
Variovorax_sp._RA8,LP,2,-3.39149279705819,0.229769364882277,16,10,1.6836004597269601e-9,3.89472906350169e-7,LP1
Shigella_flexneri,LP,2,3.31815183132703,0.362898101901437,16,13,5.03256238863041e-7,3.88066477523278e-5,LP2
Hydrogenophaga_taeniospiralis,LP,2,-3.23165310923982,0.358081616134054,16,11,5.83595233433058e-7,4.05015092002542e-5,LP1
Variovorax_paradoxus,LP,2,-3.19580343854298,0.259171310279819,16,16,1.50704184527379e-8,2.61471760155002e-6,LP1
Variovorax_sp._PAMC_28711,LP,2,-3.0323154717027,0.492245732122077,16,9,3.43122543349245e-5,0.0017009074648884,LP1
Variovorax_sp._PBL.H6,LP,2,-2.57599012180562,0.328749338087185,16,8,2.80436277024324e-6,1.6218564687906e-4,LP1
Variovorax_sp._SRS16,LP,2,-2.51953877383423,0.36215788996766,16,15,9.96146072419514e-6,5.3178874943011e-4,LP1
Brevundimonas_fontaquae,LP,2,2.42946874757561,0.284012489662603,16,8,1.06623421356753e-6,6.72696858378063e-5,LP2
Fischerella_sp._NIES.3754,LP,2,-2.41745356288511,0.399836526035275,16,16,4.12497516120456e-5,0.00190848850791731,LP1
Sphingomonas_sinipercae,LP,2,2.39789340597254,0.554667475288224,16,10,8.2709791841563e-4,0.0239169148075186,LP2
Salmonella_enterica,LP,2,2.3219097547748,0.455300453731415,16,9,2.0383911999802e-4,0.00707321746393155,LP2
Escherichia_albertii,LP,2,2.24473644610638,0.410837990224907,16,16,1.0863507948459e-4,0.00443486736248887,LP2
Escherichia_fergusonii,LP,2,2.19418601391856,0.503753385684628,16,10,7.7879060618256e-4,0.0238970126779331,LP2
Calothrix_sp._NIES.3974,LP,2,-2.12760594700637,0.222488878043511,16,16,3.01496379293157e-7,2.61548109036814e-5,LP1
Acinetobacter_baumannii,LP,2,2.03554842627889,0.0484484464833779,16,16,2.8425181253039002e-15,1.9727075789609097e-12,LP2
cyanobacterium_endosymbiont_of_Epithemia_turgida,LP,2,-2.02073689695941,0.340396650164552,16,13,4.93250495451147e-5,0.00213947402401935,LP1
Sphingomonas_suaedae,LP,2,-1.93618920251031,0.490643490005679,16,12,0.00167342443445489,0.0446675599042958,LP1
Sphingomonas_sp._S2.65,LP,2,-1.80073789040321,0.365280202410378,16,14,2.7515332955387e-4,0.00909316241478042,LP1
Sphingomonas_koreensis,LP,2,-1.71967153863296,0.395637269791286,16,16,7.9197592448481e-4,0.0238970126779331,LP1
Acidovorax_sp._KKS102,LP,2,-1.71101019241411,0.398285711611776,16,7,8.6979677647775e-4,0.0241455585150224,LP1
Sphingomonas_panacisoli,LP,2,-0.993687874926557,0.185882084098689,16,16,1.3295112314791e-4,0.00512600441470282,LP1
Sphingomonas_sp._FARSPH,LP,2,-0.987254843069378,0.19247654304813,16,16,1.9357769675594e-4,0.00707068008150661,LP1
Escherichia_coli,LP,2,0.921662350544331,0.04966790469928,16,16,9.753427659326029e-11,3.38443939778613e-8,LP2
Klebsiella_quasipneumoniae,LP,2,-0.766436200678925,0.073616086818163,16,16,1.12498913563331e-7,1.1893786371499e-5,LP1
Stenotrophomonas_maltophilia,LP,2,-0.639318485742424,0.060556903589545,16,16,9.55576688732331e-8,1.1893786371499e-5,LP1
