"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Acidovorax_carolinensis"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-1.09369389632148	0.0656693837795329	0.488719743482443	0.0513190295443206	0.911178828204211	0.10000441629527	0.968549380519774	NA	"abundance"	16	9
"Calothrix_sp._336/3"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	0.954236677371725	0.0656693837795329	0.408690400598188	0.0553251661176266	0.911178828204211	0.10758945822931	0.968549380519774	NA	"abundance"	16	14
"Calothrix_sp._NIES-3974"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	0.718684773887457	0.0656693837795329	0.222821229952307	0.0147883675580655	0.911178828204211	0.0147883675580655	0.968549380519774	NA	"abundance"	16	16
"Hydrogenophaga_taeniospiralis"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-0.868350153504431	0.0656693837795329	0.360551162124701	0.0343032832806137	0.911178828204211	0.0674298513173973	0.968549380519774	NA	"abundance"	16	11
"Phyllobacterium_sp._628"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	1.32439802492834	0.0656693837795329	0.547113684709334	0.0411673187495028	0.911178828204211	0.0806398893659824	0.968549380519774	NA	"abundance"	16	15
"Ralstonia_insidiosa"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-1.84538404605737	0.0656693837795329	0.754842659228318	0.0326375481323295	0.911178828204211	0.0642098867165689	0.968549380519774	NA	"abundance"	16	12
"Salmonella_enterica"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-0.797567265433967	0.0656693837795329	0.305036238690843	0.0321861186345077	0.911178828204211	0.0633362910362607	0.968549380519774	NA	"abundance"	16	9
"Shigella_boydii"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	1.770268671965	0.0656693837795329	0.262813103852584	0.00785900906944659	0.911178828204211	0.0156562541153396	0.968549380519774	NA	"abundance"	16	6
"Sphingomonas_donggukensis"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-0.816443047635038	0.0656693837795329	0.276156991754177	0.0100981667243934	0.911178828204211	0.0200943604775932	0.968549380519774	NA	"abundance"	16	13
"Sphingomonas_sp._NIBR02145"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-0.932033524384053	0.0656693837795329	0.410977853168805	0.0340175762031697	0.911178828204211	0.0668779569156009	0.968549380519774	NA	"abundance"	16	14
"Sphingomonas_sp._SUN019"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-0.49916821728796	0.0656693837795329	0.256192826700244	0.054173174251737	0.911178828204211	0.105411615694965	0.968549380519774	NA	"abundance"	16	15
"Sphingomonas_sp._SUN039"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	1.62806506977418	0.0656693837795329	0.418250129918312	0.0345519024590498	0.911178828204211	0.0679099709545599	0.968549380519774	NA	"abundance"	16	5
"Streptococcus_pneumoniae"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-3.49837257174637	0.0656693837795329	0.274276389028001	0.0454044514222434	0.911178828204211	0.0887473386355319	0.968549380519774	NA	"abundance"	16	4
"Variovorax_paradoxus"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-0.686928512821251	0.0656693837795329	0.259256473806742	0.0148887942358456	0.911178828204211	0.0148887942358456	0.968549380519774	NA	"abundance"	16	16
"Variovorax_sp._PAMC_28711"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-1.66925586437513	0.0656693837795329	0.659263674728107	0.0344639229405722	0.911178828204211	0.0677400838966907	0.968549380519774	NA	"abundance"	16	9
"Variovorax_sp._PBL-E5"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-1.15581396518158	0.0656693837795329	0.428706207283425	0.0155839302324565	0.911178828204211	0.0309250015834229	0.968549380519774	NA	"abundance"	16	15
"Variovorax_sp._PMC12"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-0.973180453390236	0.0656693837795329	0.345382775032764	0.0112439621361013	0.911178828204211	0.0112439621361013	0.968549380519774	NA	"abundance"	16	16
"Variovorax_sp._RA8"	"HOOD_BENCH"	"BENCH"	"HOOD_BENCHBENCH"	-0.636101522047372	0.0656693837795329	0.222667411894501	0.0194230431971705	0.911178828204211	0.0384688317873019	0.968549380519774	NA	"abundance"	16	10
